,Unnamed: 0,Unnamed: 0_x,County_x,City,2017 Population,2017 Violent Crime,2017 Murder,2017 Rape,2017 Robbery,2017 Aggravated Assault,Unnamed: 0_y,County_y,2016 Population,2016 Violent Crime,2016 Murder,2016 Rape,2016 Robbery,2016 Aggravated Assault,Unnamed: 0_x.1,County_x.1,2015 Population,2015 Violent Crime,2015 Murder,2015 Rape,2015 Robbery,2015 Aggravated Assault,Unnamed: 0_y.1,County_y.1,2014 Population,2014 Violent Crime,2014 Murder,2014 Rape,2014 Robbery,2014 Aggravated Assault,Unnamed: 0.1,County,2013 Population,2013 Violent Crime,2013 Murder,2013 Rape,2013 Robbery,2013 Aggravated Assault,RegionID,StateName,SizeRank,2012 Median Price,2013 Median Price,2014 Median Price,2015 Median Price,2016 Median Price,2017 Median Price
77,205,400,Mahoning County,Boardman,39276,61,0,14,31,16,392.0,Mahoning County,39692.0,54.0,0.0,6.0,22.0,26.0,404.0,Mahoning County,39887.0,67.0,0.0,8.0,35.0,24.0,454.0,Mahoning County,40047.0,65.0,1.0,15.0,35.0,14.0,468.0,Mahoning County,40277.0,40.0,1.0,3.0,34.0,2.0,3731,Ohio,1259,0,0,0,537600,1061300,1072100
30,116,202,Franklin County,Dublin,39242,27,1,10,8,8,196.0,Franklin County,38892.0,20.0,0.0,8.0,5.0,7.0,206.0,Franklin County,38074.0,21.0,0.0,7.0,8.0,6.0,232.0,Franklin County,37361.0,7.0,0.0,0.0,6.0,1.0,234.0,Franklin County,36712.0,9.0,0.0,1.0,7.0,1.0,4426,Ohio,851,0,0,0,0,0,2323100
87,243,466,Dayton,Huber Heights,37001,75,0,15,20,40,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,18647,Ohio,1218,0,876400,996800,1073700,1183100,1272400
47,120,206,Franklin County,Hilliard,36144,17,0,6,2,9,200.0,Franklin County,34832.0,33.0,0.0,11.0,9.0,13.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,238.0,Franklin County,31352.0,26.0,1.0,8.0,8.0,9.0,38999,Ohio,1135,0,0,0,1487000,2797800,2915100
45,117,203,Franklin County,Gahanna,35243,25,1,13,5,6,197.0,Franklin County,34859.0,20.0,0.0,10.0,6.0,4.0,207.0,Franklin County,34508.0,23.0,0.0,10.0,8.0,5.0,233.0,Franklin County,34249.0,24.0,0.0,6.0,16.0,2.0,235.0,Franklin County,34011.0,23.0,1.0,7.0,8.0,7.0,18226,Ohio,1389,1817400,2067000,2325800,2171700,2364500,2444200
48,122,208,Franklin County,Upper Arlington,35214,12,0,3,6,3,202.0,Franklin County,35150.0,16.0,1.0,4.0,8.0,3.0,211.0,Franklin County,34838.0,10.0,0.0,2.0,7.0,1.0,237.0,Franklin County,34600.0,4.0,0.0,0.0,4.0,0.0,240.0,Franklin County,34369.0,10.0,0.0,1.0,7.0,2.0,7540,Ohio,1303,3329800,3469300,3486600,3843600,3968900,4276500
80,217,425,Medina County,Brunswick,34838,21,1,2,4,14,418.0,Medina County,34774.0,25.0,0.0,1.0,0.0,24.0,430.0,Medina County,34692.0,17.0,1.0,2.0,2.0,12.0,481.0,Medina County,34620.0,19.0,0.0,1.0,2.0,16.0,498.0,Medina County,34402.0,16.0,1.0,1.0,5.0,9.0,50327,Ohio,1053,1293000,1793000,1933400,1876100,1858200,2103500
116,313,592,Summit County,Stow,34692,32,1,19,6,6,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,597.0,Summit County,34762.0,23.0,0.0,10.0,12.0,1.0,675.0,Summit County,34755.0,24.0,1.0,13.0,5.0,5.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7279,Ohio,1296,0,0,1001500,1704300,1820100,1921800
72,193,377,Lorain County,North Ridgeville,33586,17,1,7,2,7,369.0,Lorain County,33095.0,12.0,1.0,4.0,3.0,4.0,381.0,Lorain County,32469.0,11.0,2.0,3.0,3.0,3.0,429.0,Lorain County,31706.0,11.0,0.0,3.0,4.0,4.0,444.0,Lorain County,30905.0,14.0,0.0,3.0,5.0,6.0,13034,Ohio,1393,1645100,1732500,1753900,1796800,1910000,2074100
106,292,567,Stark County,Massillon,32265,52,0,14,11,27,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,572.0,Stark County,32301.0,85.0,1.0,26.0,21.0,37.0,650.0,Stark County,32196.0,86.0,1.0,13.0,28.0,44.0,669.0,Stark County,32159.0,73.0,0.0,15.0,31.0,27.0,25784,Ohio,646,0,411400,1270200,1314900,1376500,1425700
20,79,140,Cuyahoga County,North Olmsted,31779,26,0,6,11,9,138.0,Cuyahoga County,31851.0,26.0,1.0,6.0,13.0,6.0,148.0,Cuyahoga County,31999.0,4.0,0.0,0.0,4.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,46803,Ohio,1424,1286000,1409900,1483300,1527500,1580500,1736300
123,349,670,Wood County,Bowling Green,31779,41,0,20,6,15,663.0,Wood County,31404.0,42.0,0.0,19.0,8.0,15.0,679.0,Wood County,31878.0,48.0,0.0,15.0,8.0,25.0,768.0,Wood County,32145.0,38.0,0.0,16.0,9.0,13.0,791.0,Wood County,31844.0,49.0,0.0,22.0,10.0,17.0,23789,Ohio,1156,585800,1664700,1758700,1774400,1780600,1932600
33,123,209,Franklin County,Westerville,30887,35,0,9,13,13,203.0,Franklin County,30397.0,16.0,0.0,5.0,7.0,4.0,212.0,Franklin County,27775.0,14.0,0.0,8.0,6.0,0.0,238.0,Franklin County,29630.0,22.0,0.0,7.0,12.0,3.0,241.0,Franklin County,29306.0,11.0,0.0,4.0,5.0,2.0,14584,Ohio,635,2481300,2522500,2654500,2626400,2845000,3144600
21,80,141,Cuyahoga County,North Royalton,30313,7,3,0,0,4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,40070,Ohio,1477,0,0,0,0,0,1320000
100,268,521,Portage County,Kent,30270,44,0,1,11,32,513.0,Portage County,29995.0,67.0,1.0,0.0,13.0,53.0,526.0,Portage County,29831.0,65.0,1.0,2.0,9.0,53.0,594.0,Portage County,32582.0,76.0,0.0,2.0,15.0,59.0,612.0,Portage County,30121.0,56.0,0.0,5.0,26.0,25.0,5398,Ohio,1046,1319600,1358700,1477400,1647400,1635000,1732300
101,269,521,Portage County,Kent,30270,44,0,1,11,32,513.0,Portage County,29995.0,67.0,1.0,0.0,13.0,53.0,526.0,Portage County,29831.0,65.0,1.0,2.0,9.0,53.0,594.0,Portage County,32582.0,76.0,0.0,2.0,15.0,59.0,615.0,Portage County,0.0,1.0,0.0,1.0,0.0,0.0,5398,Ohio,1046,1319600,1358700,1477400,1647400,1635000,1732300
41,121,207,Franklin County,Reynoldsburg,27631,71,1,16,35,19,201.0,Franklin County,27474.0,61.0,5.0,6.0,26.0,24.0,210.0,Franklin County,27084.0,6.0,0.0,2.0,2.0,2.0,236.0,Franklin County,26889.0,42.0,0.0,14.0,14.0,14.0,239.0,Franklin County,26729.0,52.0,1.0,5.0,35.0,11.0,40554,Ohio,1212,0,0,0,702300,1790800,1931900
122,342,661,Wayne County,Wooster,27172,102,0,30,24,48,654.0,Wayne County,26883.0,73.0,0.0,24.0,14.0,35.0,670.0,Wayne County,26651.0,57.0,2.0,18.0,14.0,23.0,756.0,Wayne County,26455.0,73.0,1.0,32.0,17.0,23.0,777.0,Wayne County,26468.0,42.0,0.0,12.0,15.0,15.0,21386,Ohio,1051,1404000,1467700,1503700,1506000,1661200,1641600
