RegionID,RegionName,StateName,SizeRank,2012,2013,2014,2015,2016,2017
56087,Olmsted Falls,Ohio,1993,0,0,892600,1710500,1802200,1944100
50815,Avon,Ohio,1995,0,1712100,3216000,3178200,3344900,2979400
52591,Hudson,Ohio,1996,3431000,3382200,3577500,3344900,3754600,3854900
8165,Chardon,Ohio,2000,2272000,2180700,2436800,2261100,2433200,2563400
10764,Centerville,Ohio,2013,1632300,1842400,1873600,1770600,1963900,1979400
34049,South Euclid,Ohio,2038,0,395700,808800,790900,847400,983200
22553,Springboro,Ohio,2070,0,0,0,0,2276600,2892600
30723,Canal Winchester,Ohio,2101,2048900,2121400,2286300,2184800,2373900,2659300
14933,Avon Lake,Ohio,2121,0,0,0,0,1901100,2515200
46320,Louisville,Ohio,2146,116200,1382300,1480300,1459100,1474000,1579200
16560,Parma Heights,Ohio,2152,918800,979100,1078500,1058900,1192400,1372700
19628,Niles,Ohio,2185,0,0,0,0,220800,693700
13043,Northfield,Ohio,2187,0,1600700,1880600,1885900,1849200,2040900
31993,Heath,Ohio,2211,0,0,0,0,0,1504400
19698,Norwood,Ohio,2213,0,0,0,0,993800,1568500
54194,Rocky River,Ohio,2260,2190400,2276900,2326500,2427400,2359900,2553900
5846,Mayfield Heights,Ohio,2286,0,0,0,896800,1440200,1621200
17184,Brook Park,Ohio,2287,0,0,0,853400,1287500,1377200
10363,Berea,Ohio,2294,0,0,927600,1378900,1407800,1454800
52056,Forest Park,Ohio,2295,0,0,0,0,436100,1310400
51827,Eastlake,Ohio,2333,0,0,878100,1087500,1282100,1266200
24182,Concord,Ohio,2343,2246200,2421800,2395000,2395100,2498600,2528200
16122,Tipp City,Ohio,2362,0,0,0,474300,2010800,2041300
55314,Copley,Ohio,2393,0,0,0,780500,2040400,2151300
23228,Dover,Ohio,2395,1209100,1423400,1388800,1461900,1532800,1449500
20745,Tallmadge,Ohio,2396,0,1084600,1753500,1697000,1735400,1868000
15156,Eaton,Ohio,2476,635700,1076500,1207200,1291100,1316500,1448700
55335,Cortland,Ohio,2477,0,0,0,0,410700,1363800
47131,Piqua,Ohio,2491,0,659400,756200,783200,834700,991800
8640,Fairview Park,Ohio,2499,1567000,1486600,1639500,1659700,1743200,1842600
4119,Clayton,Ohio,2562,331500,1259100,1329100,1327500,1406700,1475300
36612,Amherst,Ohio,2574,1027800,1622500,1520200,1752700,1675600,1780700
19346,Middleburg Heights,Ohio,2579,0,0,904900,1537000,1694700,1783900
16847,Aurora,Ohio,2582,0,1550400,2769000,2825100,2833800,3072800
29540,Trenton,Ohio,2590,0,0,0,0,1065600,1750500
55262,Worthington,Ohio,2618,2469800,2548600,2703500,2810900,3270600,3419100
46783,North Canton,Ohio,2635,119600,1485900,1566800,1405700,1571000,1608900
50571,Vandalia,Ohio,2710,0,0,0,0,1026000,1465800
16231,Uniontown,Ohio,2723,437500,1932800,1885100,1842300,2005700,2139400
23178,New Franklin,Ohio,2732,1293600,1437100,1331600,1454700,1500900,1615200
34857,Willowick,Ohio,2754,0,0,0,506200,1212600,1295500
7677,Vermilion,Ohio,2773,0,0,611400,1521400,1702500,1587100
33348,Pataskala,Ohio,2786,0,0,0,955100,2333600,2266400
8823,Lyndhurst,Ohio,2796,1248000,1241900,1338200,1265800,1345300,1410200
20448,Sharonville,Ohio,2825,0,0,0,0,1295600,1668400
52194,Geneva,Ohio,2836,0,0,0,0,0,770200
39963,New Albany,Ohio,2860,1984700,4896800,4655800,5024200,5159200,5888300
3808,Bridgetown,Ohio,2880,0,0,0,0,1076800,1352500
50933,Bedford,Ohio,2881,0,0,453000,668500,692000,822700
7932,Wickliffe,Ohio,2887,0,0,0,338500,1155900,1243300
44208,Blue Ash,Ohio,2889,0,0,0,0,1440200,2985100
50898,Bay Village,Ohio,2897,2293200,2249900,2235700,2374600,2561000,2641300
17277,Canal Fulton,Ohio,2900,0,0,0,0,0,1160400
7832,West Carrollton,Ohio,2921,0,0,0,0,0,712300
20310,Saint Marys,Ohio,2932,0,0,799900,1020100,1213200,1209400
12137,Johnstown,Ohio,2942,0,0,2499200,2910500,2375500,2588200
6015,Monroe,Ohio,2953,132700,1802500,1900200,1871700,2034600,2193300
51911,Englewood,Ohio,3005,0,1044800,1215000,1304100,1296700,1408600
5746,Macedonia,Ohio,3055,0,1411800,2146200,2209600,2159000,2284100
36194,Springdale,Ohio,3062,0,0,0,0,0,1346000
4993,Greenville,Ohio,3071,0,0,0,0,0,567600
44601,Circleville,Ohio,3090,0,0,0,0,714200,1455200
50934,Bedford Heights,Ohio,3097,0,0,0,0,0,851300
20114,Reading,Ohio,3122,0,0,0,312100,1434000,1429100
26587,Port Clinton,Ohio,3135,0,0,652800,1520000,1604400,1526200
201790,Lincoln Village,Ohio,3195,0,0,0,0,759900,1108000
49201,Huron,Ohio,3227,0,0,0,0,1500300,1933700
6278,Oakwood,Ohio,3238,0,0,0,0,2707600,3113700
199551,Blacklick Estates,Ohio,3252,0,0,0,184600,889400,1114100
8565,Howard,Ohio,3325,0,0,0,0,0,1606200
7042,Sheffield Lake,Ohio,3350,0,0,0,0,297400,1216300
39491,London,Ohio,3376,0,0,0,0,1048300,1535600
34378,Union,Ohio,3397,0,0,0,0,996500,1216200
203786,Summerside,Ohio,3401,0,0,0,0,0,877700
