,County,City,POPULATION,VIOLENT CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT
347,Lake County,Madison,15380,4,0,0,0,4
356,Franklin County,Reynoldsburg,9137,25,0,6,12,7
357,Franklin County,New Albany,168,0,0,0,0,0
359,Licking County,Granville,5787,0,0,0,0,0
361,Licking County,Johnstown,5025,2,0,1,0,1
365,Logan County,Bellefontaine,13144,14,0,6,2,6
366,Logan County,Russells Point,1367,4,1,2,0,1
367,Logan County,West Liberty,1785,1,0,0,0,1
369,Lorain County,Elyria,53586,191,3,39,64,85
370,Lorain County,Vermilion,5778,2,0,1,0,1
371,Lorain County,Amherst,12090,5,0,0,2,3
372,Lorain County,Avon Lake,23839,8,0,0,1,7
373,Lorain County,Lorain,63672,373,2,30,87,254
374,Lorain County,Oberlin,8321,13,0,6,0,7
375,Lorain County,North Ridgeville,33586,17,1,7,2,7
376,Lorain County,Sheffield Lake,8983,7,0,5,2,0
377,Lorain County,Grafton,6182,1,0,1,0,0
379,Lucas County,Toledo,277116,2829,35,180,780,1834
380,Fulton County,Swanton,145,0,0,0,0,0
381,Lucas County,Maumee,13809,5,0,0,3,2
382,Lucas County,Oregon,19991,36,1,10,8,17
386,Lucas County,Holland,1662,7,0,1,4,2
387,Lucas County,Waterville,5518,1,0,0,0,1
388,Lucas County,Whitehouse,4622,2,0,0,1,1
395,Madison County,London,10202,14,0,2,2,10
396,Madison County,West Jefferson,4347,2,0,0,0,2
398,Mahoning County,Boardman,39276,61,0,14,31,16
399,Mahoning County,Youngstown,63878,447,23,32,151,241
400,Columbiana County,Columbiana,650,0,0,0,0,0
401,Columbiana County,Salem,4,0,0,0,0,0
403,Mahoning County,Austintown,35303,62,0,9,14,39
405,Mahoning County,Canfield,7246,3,0,1,0,2
409,Mahoning County,Struthers,10228,15,0,1,4,10
410,Mahoning County,Craig Beach,1129,1,0,1,0,0
411,Mahoning County,New Middletown,1553,0,0,0,0,0
414,Clermont County,Goshen,3072,3,0,2,0,1
416,Mahoning County,North Jackson,2018,2,0,0,0,2
419,Stark County,Alliance,35,0,0,0,0,0
423,Medina County,Brunswick,34838,21,1,2,4,14
424,Medina County,Medina,26199,17,1,5,5,6
425,Medina County,Wadsworth,23388,24,0,4,1,19
427,Medina County,Spencer,777,2,0,1,0,1
428,Medina County,Hinckley,7970,1,0,0,0,1
432,Wayne County,Rittman,114,0,0,0,0,0
433,Wayne County,Creston,91,0,0,0,0,0
441,Mercer County,Coldwater,4519,3,0,3,0,0
442,Mercer County,Fort Recovery,1436,1,0,0,0,1
443,Mercer County,Rockford,1099,0,0,0,0,0
444,Mercer County,Saint Henry,2527,1,0,0,0,1
446,Miami County,Piqua,20973,54,1,33,11,9
447,Miami County,Tipp City,9957,4,0,4,0,0
448,Miami County,Troy,25865,38,1,20,6,11
449,Miami County,Covington,2637,3,0,0,0,3
450,Dayton,Huber Heights,995,2,0,0,1,1
454,Dayton,Dayton,140171,1232,30,122,393,687
455,Dayton,Centerville,23780,14,0,2,4,8
456,Dayton,Germantown,5477,4,0,2,1,1
457,Dayton,Kettering,54681,70,0,23,26,21
459,Dayton,Miamisburg,19928,14,0,4,2,8
460,Dayton,Moraine,6360,27,0,8,10,9
461,Dayton,Clayton,13149,5,0,0,4,1
462,Dayton,Trotwood,24308,69,3,15,35,16
463,Dayton,Vandalia,15022,26,0,10,11,5
464,Dayton,Huber Heights,37001,75,0,15,20,40
465,Dayton,West Carrollton,12898,23,1,5,11,6
466,Dayton,Brookville,5896,6,0,3,3,0
467,Dayton,Englewood,13504,19,0,1,7,11
468,Dayton,New Lebanon,3966,10,0,2,4,4
472,Mahoning County,North Jackson,3658,1,0,0,0,1
477,Warren County,Springboro,1273,0,0,0,0,0
482,Muskingum County,Zanesville,25457,100,0,19,21,60
