County,City,POPULATION,VIOLENT CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT
#N/A,#N/A,3292,12,0,0,4,8
#N/A,#N/A,8531,3,0,0,3,0
#N/A,#N/A,0,39,0,31,1,7
#N/A,#N/A,58996,100,1,14,41,44
#N/A,#N/A,58853,52,0,14,19,19
#N/A,#N/A,0,0,0,0,0,0
#N/A,#N/A,116663,183,4,44,54,81
#N/A,#N/A,0,0,0,0,0,0
Allen County,Bluffton,170,0,0,0,0,0
Hancock County,Findlay,41474,128,3,25,24,76
Hancock County,McComb,1655,0,0,0,0,0
#N/A,#N/A,30069,8,0,2,0,6
#N/A,#N/A,5551,2,0,2,0,0
#N/A,#N/A,8190,9,0,5,0,4
#N/A,#N/A,1433,0,0,0,0,0
#N/A,#N/A,16279,5,0,3,0,2
#N/A,#N/A,309,0,0,0,0,0
#N/A,#N/A,8410,13,0,2,4,7
#N/A,#N/A,16181,14,0,4,2,8
Highland County,Greenfield,4582,13,3,3,2,5
Highland County,Hillsboro,6576,9,0,7,1,1
Highland County,Leesburg,1295,1,0,0,0,1
Highland County,Lynchburg,1480,0,0,0,0,0
#N/A,#N/A,352,1,0,0,0,1
#N/A,#N/A,28507,28,2,9,7,10
Hocking County,Logan,7077,18,0,5,3,10
Hocking County,Laurelville,507,1,0,0,1,0
#N/A,#N/A,20632,25,0,4,1,20
Ashland County,Loudonville,61,0,0,0,0,0
#N/A,#N/A,3186,1,0,1,0,0
#N/A,#N/A,40759,0,0,0,0,0
Erie County,Milan,356,0,0,0,0,0
#N/A,#N/A,16811,13,0,5,3,5
#N/A,#N/A,6032,7,0,0,4,3
#N/A,#N/A,1365,0,0,0,0,0
#N/A,#N/A,875,0,0,0,0,0
#N/A,#N/A,6305,9,0,2,2,5
#N/A,#N/A,5534,11,0,2,1,8
#N/A,#N/A,1504,3,0,0,1,2
#N/A,#N/A,18650,22,1,11,1,9
Jefferson County,Steubenville,17979,49,3,4,11,31
#N/A,#N/A,3278,4,0,0,1,3
#N/A,#N/A,4814,14,0,1,0,13
#N/A,#N/A,3750,2,0,1,1,0
#N/A,#N/A,582,1,0,0,0,1
#N/A,#N/A,447,0,0,0,0,0
#N/A,#N/A,1302,0,0,0,0,0
#N/A,#N/A,1265,0,0,0,0,0
#N/A,#N/A,2671,0,0,0,0,0
#N/A,#N/A,21314,3,0,0,0,3
Knox County,Mount Vernon,16553,22,1,6,0,15
#N/A,#N/A,1004,1,0,0,0,1
Knox County,Fredericktown,2461,4,0,0,0,4
#N/A,#N/A,20,0,0,0,0,0
#N/A,#N/A,40890,56,2,26,1,27
Lake County,Eastlake,18056,14,1,2,5,6
#N/A,#N/A,3050,7,0,1,1,5
#N/A,#N/A,638,0,0,0,0,0
Lake County,Mentor,46663,72,0,11,17,44
#N/A,#N/A,7359,9,0,0,1,8
Lake County,Painesville,19719,11,1,1,0,9
#N/A,#N/A,449,1,0,0,0,1
Lake County,Wickliffe,12679,9,0,0,4,5
Lake County,Willoughby,22857,34,0,1,17,16
Lake County,Madison,15380,4,0,0,0,4
#N/A,#N/A,0,0,0,0,0,0
#N/A,#N/A,6759,1,0,0,0,1
#N/A,#N/A,45532,303,0,29,45,229
#N/A,#N/A,0,2,1,0,0,1
#N/A,#N/A,2137,0,0,0,0,0
#N/A,#N/A,10853,15,0,2,5,8
#N/A,#N/A,3935,2,0,1,0,1
#N/A,#N/A,42911,62,7,11,5,39
Franklin County,Reynoldsburg,9137,25,0,6,12,7
Franklin County,New Albany,168,0,0,0,0,0
#N/A,#N/A,49389,91,1,47,14,29
Licking County,Granville,5787,0,0,0,0,0
#N/A,#N/A,10681,23,0,7,2,14
Licking County,Johnstown,5025,2,0,1,0,1
#N/A,#N/A,537,0,0,0,0,0
#N/A,#N/A,2179,3,0,0,0,3
#N/A,#N/A,65171,60,4,19,12,25
Logan County,Bellefontaine,13144,14,0,6,2,6
Logan County,Russells Point,1367,4,1,2,0,1
Logan County,West Liberty,1785,1,0,0,0,1
#N/A,#N/A,25465,20,1,11,0,8
Lorain County,Elyria,53586,191,3,39,64,85
Lorain County,Vermilion,5778,2,0,1,0,1
Lorain County,Amherst,12090,5,0,0,2,3
Lorain County,Avon Lake,23839,8,0,0,1,7
Lorain County,Lorain,63672,373,2,30,87,254
Lorain County,Oberlin,8321,13,0,6,0,7
Lorain County,North Ridgeville,33586,17,1,7,2,7
Lorain County,Sheffield Lake,8983,7,0,5,2,0
Lorain County,Grafton,6182,1,0,1,0,0
#N/A,#N/A,61609,55,0,14,9,32
Lucas County,Toledo,277116,2829,35,180,780,1834
