,Index,RegionID,RegionName,City,State,Metro,SizeRank,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,ORI,AGENCY NAME,CountyName,County Name,POPULATION,VIOLENT CRIME,PROPERTY CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT,BURGLARY,LARCENY,MTR VEHICLE THEFT,ARSON
37,1,77007,44107,Lakewood,OH,Cleveland-Elyria,84,1580500,1477700,1398100,1432300,1398200,1413800,1473500,1533100,1577400,1758600,2002200,2181800,OH01853,VALLEY VIEW,CUYAHOGA COUNTY,CUYAHOGA COUNTY,"2,007",1,47,0,0,0,1,7,34,6,1
38,1,77007,44107,Lakewood,OH,Cleveland-Elyria,84,1580500,1477700,1398100,1432300,1398200,1413800,1473500,1533100,1577400,1758600,2002200,2181800,OH01854,WALTON HILLS,CUYAHOGA COUNTY,CUYAHOGA COUNTY,"2,308",1,19,0,1,0,0,7,11,1,0
39,1,77007,44107,Lakewood,OH,Cleveland-Elyria,84,1580500,1477700,1398100,1432300,1398200,1413800,1473500,1533100,1577400,1758600,2002200,2181800,OH01856,HIGHLAND HILLS,CUYAHOGA COUNTY,CUYAHOGA COUNTY,944,0,0,0,0,0,0,0,0,0,0
40,1,77007,44107,Lakewood,OH,Cleveland-Elyria,84,1580500,1477700,1398100,1432300,1398200,1413800,1473500,1533100,1577400,1758600,2002200,2181800,OH01857,WESTLAKE,CUYAHOGA COUNTY,CUYAHOGA COUNTY,"32,330",13,366,0,1,9,3,25,326,15,0
41,1,77007,44107,Lakewood,OH,Cleveland-Elyria,84,1580500,1477700,1398100,1432300,1398200,1413800,1473500,1533100,1577400,1758600,2002200,2181800,OH01859,WOODMERE VILLAGE,CUYAHOGA COUNTY,CUYAHOGA COUNTY,859,1,41,0,0,1,0,0,36,5,0
42,1,77007,44107,Lakewood,OH,Cleveland-Elyria,84,1580500,1477700,1398100,1432300,1398200,1413800,1473500,1533100,1577400,1758600,2002200,2181800,OH01861,CLEVELAND STATE UNIVERSITY,CUYAHOGA COUNTY,CUYAHOGA COUNTY,0,13,146,0,3,10,0,6,124,16,0
43,1,77007,44107,Lakewood,OH,Cleveland-Elyria,84,1580500,1477700,1398100,1432300,1398200,1413800,1473500,1533100,1577400,1758600,2002200,2181800,OH01862,LINNDALE,CUYAHOGA COUNTY,CUYAHOGA COUNTY,177,0,0,0,0,0,0,0,0,0,0
44,1,77007,44107,Lakewood,OH,Cleveland-Elyria,84,1580500,1477700,1398100,1432300,1398200,1413800,1473500,1533100,1577400,1758600,2002200,2181800,OH01863,CLEVELAND METRO PARKS,CUYAHOGA COUNTY,CUYAHOGA COUNTY,0,14,106,0,3,5,6,2,98,6,4
45,1,77007,44107,Lakewood,OH,Cleveland-Elyria,84,1580500,1477700,1398100,1432300,1398200,1413800,1473500,1533100,1577400,1758600,2002200,2181800,OH01864,CUYAHOGA COMMUNITY COLLEGE,CUYAHOGA COUNTY,CUYAHOGA COUNTY,0,0,32,0,0,0,0,2,29,1,0
46,1,77007,44107,Lakewood,OH,Cleveland-Elyria,84,1580500,1477700,1398100,1432300,1398200,1413800,1473500,1533100,1577400,1758600,2002200,2181800,OH01800,CUYAHOGA COUNTY SHERIFF,CUYAHOGA COUNTY,CUYAHOGA COUNTY,0,3,3,1,1,0,1,0,3,0,0
47,2,76953,44035,Elyria,OH,Cleveland-Elyria,92,1301200,1220800,1133900,1081600,966400,917200,949000,943000,986100,1025700,1057600,1135700,OH04704,ELYRIA,LORAIN COUNTY,LORAIN COUNTY,"53,586",191,"1,146",3,39,64,85,248,842,56,12
48,2,76953,44035,Elyria,OH,Cleveland-Elyria,92,1301200,1220800,1133900,1081600,966400,917200,949000,943000,986100,1025700,1057600,1135700,OH02204,VERMILION,LORAIN COUNTY,LORAIN COUNTY,"5,778",2,54,0,1,0,1,8,45,1,0
49,2,76953,44035,Elyria,OH,Cleveland-Elyria,92,1301200,1220800,1133900,1081600,966400,917200,949000,943000,986100,1025700,1057600,1135700,OH04701,AMHERST,LORAIN COUNTY,LORAIN COUNTY,"12,090",5,157,0,0,2,3,14,140,3,1
50,2,76953,44035,Elyria,OH,Cleveland-Elyria,92,1301200,1220800,1133900,1081600,966400,917200,949000,943000,986100,1025700,1057600,1135700,OH04703,AVON LAKE,LORAIN COUNTY,LORAIN COUNTY,"23,839",8,124,0,0,1,7,21,97,6,1
51,2,76953,44035,Elyria,OH,Cleveland-Elyria,92,1301200,1220800,1133900,1081600,966400,917200,949000,943000,986100,1025700,1057600,1135700,OH04705,LORAIN,LORAIN COUNTY,LORAIN COUNTY,"63,672",373,"2,019",2,30,87,254,590,"1,335",94,11
52,2,76953,44035,Elyria,OH,Cleveland-Elyria,92,1301200,1220800,1133900,1081600,966400,917200,949000,943000,986100,1025700,1057600,1135700,OH04706,OBERLIN,LORAIN COUNTY,LORAIN COUNTY,"8,321",13,171,0,6,0,7,33,136,2,1
53,2,76953,44035,Elyria,OH,Cleveland-Elyria,92,1301200,1220800,1133900,1081600,966400,917200,949000,943000,986100,1025700,1057600,1135700,OH04707,NORTH RIDGEVILLE,LORAIN COUNTY,LORAIN COUNTY,"33,586",17,140,1,7,2,7,47,89,4,0
54,2,76953,44035,Elyria,OH,Cleveland-Elyria,92,1301200,1220800,1133900,1081600,966400,917200,949000,943000,986100,1025700,1057600,1135700,OH04708,SHEFFIELD LAKE,LORAIN COUNTY,LORAIN COUNTY,"8,983",7,115,0,5,2,0,23,84,8,0
55,2,76953,44035,Elyria,OH,Cleveland-Elyria,92,1301200,1220800,1133900,1081600,966400,917200,949000,943000,986100,1025700,1057600,1135700,OH04710,GRAFTON,LORAIN COUNTY,LORAIN COUNTY,"6,182",1,40,0,1,0,0,16,24,0,0
56,2,76953,44035,Elyria,OH,Cleveland-Elyria,92,1301200,1220800,1133900,1081600,966400,917200,949000,943000,986100,1025700,1057600,1135700,OH04700,LORAIN COUNTY SHERIFF,LORAIN COUNTY,LORAIN COUNTY,"61,609",55,563,0,14,9,32,203,344,16,9
57,3,76511,43081,Westerville,OH,Columbus,117,2227300,2195200,2153000,2107300,2014100,2032200,2101700,2195000,2323400,2524700,2726900,2927600,OHCOP00,COLUMBUS,FRANKLIN COUNTY,FRANKLIN COUNTY,"853,424","4,379","33,652",139,899,"1,919","1,422","6,955","22,613","4,084",370
58,3,76511,43081,Westerville,OH,Columbus,117,2227300,2195200,2153000,2107300,2014100,2032200,2101700,2195000,2323400,2524700,2726900,2927600,OH02307,LITHOPOLIS,FRANKLIN COUNTY,FRANKLIN COUNTY,42,0,0,0,0,0,0,0,0,0,0
