,Index,RegionID,RegionName,City,State,Metro,CountyName,SizeRank,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Unnamed: 0,County,ORI,AGENCY NAME,POPULATION,VIOLENT CRIME,PROPERTY CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT,BURGLARY,LARCENY,MTR VEHICLE THEFT,ARSON
48,32,76599,43232,Columbus,OH,Columbus,FRANKLIN COUNTY,887,1207400,1141300,1028900,1002300,918400,828900,759200,809200,949200,982100,1143700,1325000,185.0,FRANKLIN COUNTY,OHCOP00,COLUMBUS,"10,505",54,412,2.0,11.0,24,17,85,277,50,5.0
49,32,76599,43232,Columbus,OH,Columbus,FRANKLIN COUNTY,887,1207400,1141300,1028900,1002300,918400,828900,759200,809200,949200,982100,1143700,1325000,197.0,FRANKLIN COUNTY,OHCOP00,COLUMBUS,"853,424","4,379","33,652",139.0,899.0,"1,919","1,422","6,955","22,613","4,084",370.0
50,33,76463,43016,Dublin,OH,Columbus,FRANKLIN COUNTY,961,3053900,3024700,2956500,2931200,2870900,2912600,2997200,3144700,3304700,3489700,3738400,3974900,173.0,FRANKLIN COUNTY,OH02503,DUBLIN,"4,534",3,53,0.0,1.0,1,1,6,45,2,0.0
51,33,76463,43016,Dublin,OH,Columbus,FRANKLIN COUNTY,961,3053900,3024700,2956500,2931200,2870900,2912600,2997200,3144700,3304700,3489700,3738400,3974900,202.0,FRANKLIN COUNTY,OH02503,DUBLIN,"39,242",27,456,1.0,10.0,8,8,51,388,17,1.0
52,33,76463,43016,Dublin,OH,Columbus,FRANKLIN COUNTY,961,3053900,3024700,2956500,2931200,2870900,2912600,2997200,3144700,3304700,3489700,3738400,3974900,633.0,FRANKLIN COUNTY,OH02503,DUBLIN,"2,510",1,29,0.0,1.0,0,0,3,25,1,0.0
53,34,77296,44691,Wooster,OH,Wooster,WAYNE COUNTY,984,1502100,1452100,1437000,1376100,1361700,1389100,1439300,1461300,1499700,1549000,1638500,1735600,661.0,WAYNE COUNTY,OH08503,WOOSTER,"27,172",102,916,0.0,30.0,24,48,157,722,37,6.0
54,35,76592,43224,Columbus,OH,Columbus,FRANKLIN COUNTY,1004,1087400,1028300,987200,931700,785000,695200,673800,716600,794900,875300,1057800,1223600,168.0,FRANKLIN COUNTY,OHCOP00,COLUMBUS,"8,276",45,344,1.0,9.0,20,15,71,231,42,4.0
55,35,76592,43224,Columbus,OH,Columbus,FRANKLIN COUNTY,1004,1087400,1028300,987200,931700,785000,695200,673800,716600,794900,875300,1057800,1223600,185.0,FRANKLIN COUNTY,OHCOP00,COLUMBUS,"10,505",54,412,2.0,11.0,24,17,85,277,50,5.0
56,35,76592,43224,Columbus,OH,Columbus,FRANKLIN COUNTY,1004,1087400,1028300,987200,931700,785000,695200,673800,716600,794900,875300,1057800,1223600,197.0,FRANKLIN COUNTY,OHCOP00,COLUMBUS,"853,424","4,379","33,652",139.0,899.0,"1,919","1,422","6,955","22,613","4,084",370.0
57,36,77068,44212,Brunswick,OH,Cleveland-Elyria,MEDINA COUNTY,1030,1986500,1930600,1884800,1823500,1710400,1677300,1753600,1862900,1914700,1948300,2054600,2155900,425.0,MEDINA COUNTY,OH05201,BRUNSWICK,"34,838",21,194,1.0,2.0,4,14,22,161,11,0.0
58,37,77374,44870,Sandusky,OH,Sandusky,ERIE COUNTY,1053,1122800,1069700,1027800,982700,946300,949200,959300,987100,969800,974700,1004400,1031100,177.0,ERIE COUNTY,OH02203,SANDUSKY,"24,861",70,995,1.0,13.0,31,25,187,769,39,2.0
59,38,76573,43204,Columbus,OH,Columbus,FRANKLIN COUNTY,1118,1153600,1085400,990200,948500,819600,742500,803500,830700,896100,957800,1109500,1286300,168.0,FRANKLIN COUNTY,OHCOP00,COLUMBUS,"8,276",45,344,1.0,9.0,20,15,71,231,42,4.0
60,38,76573,43204,Columbus,OH,Columbus,FRANKLIN COUNTY,1118,1153600,1085400,990200,948500,819600,742500,803500,830700,896100,957800,1109500,1286300,185.0,FRANKLIN COUNTY,OHCOP00,COLUMBUS,"10,505",54,412,2.0,11.0,24,17,85,277,50,5.0
61,38,76573,43204,Columbus,OH,Columbus,FRANKLIN COUNTY,1118,1153600,1085400,990200,948500,819600,742500,803500,830700,896100,957800,1109500,1286300,197.0,FRANKLIN COUNTY,OHCOP00,COLUMBUS,"853,424","4,379","33,652",139.0,899.0,"1,919","1,422","6,955","22,613","4,084",370.0
62,39,77011,44111,Cleveland,OH,Cleveland-Elyria,CUYAHOGA COUNTY,1134,1081300,929700,850200,828600,707800,601900,648800,683900,676200,692700,790800,929400,117.0,CUYAHOGA COUNTY,OHCLP00,CLEVELAND,"385,351","5,999","18,944",107.0,497.0,"2,697","2,698","5,853","9,696","3,395",253.0
63,39,77011,44111,Cleveland,OH,Cleveland-Elyria,CUYAHOGA COUNTY,1134,1081300,929700,850200,828600,707800,601900,648800,683900,676200,692700,790800,929400,128.0,CUYAHOGA COUNTY,OH01817,EAST CLEVELAND,"17,178",136,339,5.0,8.0,83,40,100,89,150,3.0
64,40,77522,45231,Finneytown,OH,Cincinnati,HAMILTON COUNTY,1167,1350500,1232400,1080600,1043800,1005500,983500,973000,984000,1018100,1046500,1175500,1342500,,,,,,,,,,,,,,,
65,41,76745,43551,Perrysburg,OH,Toledo,WOOD COUNTY,1191,2016500,1950100,1911200,1916000,1892800,1959200,1982000,2041900,2117200,2255700,2388900,2432200,672.0,WOOD COUNTY,OH08703,PERRYSBURG,"21,732",7,232,0.0,3.0,4,0,10,221,1,0.0
66,42,77018,44118,Cleveland Heights,OH,Cleveland-Elyria,CUYAHOGA COUNTY,1218,1887700,1669100,1587700,1551800,1501400,1429400,1466600,1509400,1519300,1523200,1580500,1686900,127.0,CUYAHOGA COUNTY,OH01815,CLEVELAND HEIGHTS,"44,525",131,879,2.0,16.0,79,34,125,655,99,1.0
67,43,77085,44240,Kent,OH,Akron,PORTAGE COUNTY,1232,1619400,1581400,1547300,1509100,1461300,1451200,1459000,1470900,1475300,1547300,1644400,1688900,521.0,PORTAGE COUNTY,OH06703,KENT,"30,270",44,451,0.0,1.0,11,32,75,359,17,1.0
68,44,77065,44203,Barberton,OH,Akron,SUMMIT COUNTY,1243,1199200,1112200,1060500,986500,878700,831300,860800,912200,916900,933900,1006400,1166900,584.0,SUMMIT COUNTY,OH07702,BARBERTON,"26,050",103,881,1.0,19.0,14,69,158,682,41,8.0
69,45,76996,44094,Willoughby,OH,Cleveland-Elyria,LAKE COUNTY,1278,2237100,2123500,1953900,1886800,1771300,1814100,1846600,1922800,1917400,1996400,2069900,2252400,348.0,LAKE COUNTY,OH04312,WILLOUGHBY,"22,857",34,440,0.0,1.0,17,16,37,385,18,1.0
70,46,77315,44720,North Canton,OH,Canton-Massillon,STARK COUNTY,1305,1768200,1718500,1625200,1598000,1543500,1556900,1634900,1694200,1723800,1810500,1902300,1975800,576.0,STARK COUNTY,OH07611,NORTH CANTON,"17,348",12,281,0.0,4.0,3,5,41,232,8,0.0
71,47,77009,44109,Cleveland,OH,Cleveland-Elyria,CUYAHOGA COUNTY,1313,1021400,910200,772800,716900,633700,559500,511000,596900,632500,629100,707100,828700,117.0,CUYAHOGA COUNTY,OHCLP00,CLEVELAND,"385,351","5,999","18,944",107.0,497.0,"2,697","2,698","5,853","9,696","3,395",253.0
72,47,77009,44109,Cleveland,OH,Cleveland-Elyria,CUYAHOGA COUNTY,1313,1021400,910200,772800,716900,633700,559500,511000,596900,632500,629100,707100,828700,128.0,CUYAHOGA COUNTY,OH01817,EAST CLEVELAND,"17,178",136,339,5.0,8.0,83,40,100,89,150,3.0
73,48,76570,43201,Columbus,OH,Columbus,FRANKLIN COUNTY,1345,1944400,1938400,1862900,1853400,1830500,1925500,1989600,2080100,2312200,2774000,3086600,3252400,168.0,FRANKLIN COUNTY,OHCOP00,COLUMBUS,"8,276",45,344,1.0,9.0,20,15,71,231,42,4.0
74,48,76570,43201,Columbus,OH,Columbus,FRANKLIN COUNTY,1345,1944400,1938400,1862900,1853400,1830500,1925500,1989600,2080100,2312200,2774000,3086600,3252400,185.0,FRANKLIN COUNTY,OHCOP00,COLUMBUS,"10,505",54,412,2.0,11.0,24,17,85,277,50,5.0
75,48,76570,43201,Columbus,OH,Columbus,FRANKLIN COUNTY,1345,1944400,1938400,1862900,1853400,1830500,1925500,1989600,2080100,2312200,2774000,3086600,3252400,197.0,FRANKLIN COUNTY,OHCOP00,COLUMBUS,"853,424","4,379","33,652",139.0,899.0,"1,919","1,422","6,955","22,613","4,084",370.0
76,49,77076,44224,Stow,OH,Akron,SUMMIT COUNTY,1347,2003900,1930700,1907500,1880500,1811900,1774800,1806300,1875500,1920800,1978100,2108300,2226100,592.0,SUMMIT COUNTY,OH07712,STOW,"34,692",32,690,1.0,19.0,6,6,102,584,4,0.0
77,50,77034,44134,Parma,OH,Cleveland-Elyria,CUYAHOGA COUNTY,1398,1421600,1304200,1254700,1218900,1131800,1056200,1032800,1017600,1033200,1156000,1305700,1392500,144.0,CUYAHOGA COUNTY,OH01842,PARMA,"79,340",141,906,0.0,39.0,37,65,199,633,74,2.0
78,51,77502,45211,Cincinnati,OH,Cincinnati,HAMILTON COUNTY,1401,1339400,1227500,1117600,1040300,1005800,988800,983100,989800,1011600,1033900,1162600,1245600,257.0,HAMILTON COUNTY,OHCIP00,CINCINNATI,"299,116","2,833","15,105",70.0,292.0,"1,196","1,275","3,448","10,172","1,485",1.0
79,52,76464,43017,Dublin,OH,Columbus,FRANKLIN COUNTY,1554,3729300,3580600,3501800,3562600,3518600,3547300,3694300,3839800,4041800,4220400,4468000,4621400,173.0,FRANKLIN COUNTY,OH02503,DUBLIN,"4,534",3,53,0.0,1.0,1,1,6,45,2,0.0
80,52,76464,43017,Dublin,OH,Columbus,FRANKLIN COUNTY,1554,3729300,3580600,3501800,3562600,3518600,3547300,3694300,3839800,4041800,4220400,4468000,4621400,202.0,FRANKLIN COUNTY,OH02503,DUBLIN,"39,242",27,456,1.0,10.0,8,8,51,388,17,1.0
81,52,76464,43017,Dublin,OH,Columbus,FRANKLIN COUNTY,1554,3729300,3580600,3501800,3562600,3518600,3547300,3694300,3839800,4041800,4220400,4468000,4621400,633.0,FRANKLIN COUNTY,OH02503,DUBLIN,"2,510",1,29,0.0,1.0,0,0,3,25,1,0.0
82,53,77639,45385,Xenia,OH,Dayton,GREENE COUNTY,1590,1286400,1309400,1226500,1202700,1143100,1117000,1069900,1114300,1207300,1219100,1264900,1418500,243.0,GREENE COUNTY,OH02903,XENIA,"26,331",55,811,1.0,16.0,8,30,141,636,34,6.0
83,54,77022,44122,Shaker Heights,OH,Cleveland-Elyria,CUYAHOGA COUNTY,1599,2627200,2434200,2369700,2399500,2273300,2268400,2388800,2467900,2559100,2617100,2810500,2914900,,,,,,,,,,,,,,,
84,55,77603,45342,Miamisburg,OH,Dayton,MONTGOMERY COUNTY,1606,1731700,1693200,1561300,1572300,1466100,1465600,1500300,1506400,1543800,1626600,1739600,1870800,461.0,DAYTON,OH05708,MIAMISBURG,"19,928",14,257,0.0,4.0,2,8,46,204,7,3.0
85,56,76498,43065,Powell,OH,Columbus,DELAWARE COUNTY,1649,3629000,3523900,3398400,3386600,3361400,3385600,3491400,3634700,3772800,3980200,4165200,4377800,170.0,DELAWARE COUNTY,OH02105,POWELL,"13,029",6,103,0.0,2.0,2,2,12,90,1,0.0
