,Unnamed: 0_x,County_x,City,AGENCY NAME_x,POPULATION_x,VIOLENT CRIME_x,PROPERTY CRIME_x,MURDER_x,RAPE_x,ROBBERY_x,AGGRAVATED ASSAULT_x,BURGLARY_x,LARCENY_x,MTR VEHICLE THEFT_x,ARSON_x,Unnamed: 0_y,County_y,ORI,AGENCY NAME_y,POPULATION_y,VIOLENT CRIME_y,PROPERTY CRIME_y,MURDER_y,RAPE_y,ROBBERY_y,AGGRAVATED ASSAULT_y,BURGLARY_y,LARCENY_y,MTR VEHICLE THEFT_y,ARSON_y
33,44.0,BELMONT COUNTY,Bethesda,BETHESDA,"1,243",0,0,0.0,0.0,0,0,0,0,0,0.0,,,,,,,,,,,,,,,
34,53.0,BUTLER COUNTY,Fairfield,FAIRFIELD,"42,810",110,"1,045",1.0,17.0,21,71,144,866,35,2.0,52.0,BUTLER COUNTY,OH00901,FAIRFIELD,"42,627",90,932,1.0,11.0,12,66,99,782,51,2.0
35,53.0,BUTLER COUNTY,Fairfield,FAIRFIELD,"42,810",110,"1,045",1.0,17.0,21,71,144,866,35,2.0,194.0,BUTLER COUNTY,OH02300,FAIRFIELD,"75,853",38,962,0.0,15.0,6,17,153,793,16,2.0
36,54.0,BUTLER COUNTY,Hamilton,HAMILTON,"62,423",320,"3,316",9.0,64.0,131,116,942,"2,365",9,26.0,53.0,BUTLER COUNTY,OH00902,HAMILTON,"62,094",312,"2,608",3.0,75.0,111,123,716,"1,890",2,33.0
37,55.0,BUTLER COUNTY,Middletown,MIDDLETOWN,"46,067",242,"3,115",5.0,41.0,67,129,735,"2,253",127,0.0,54.0,BUTLER COUNTY,OH00903,MIDDLETOWN,"46,069",235,"2,788",5.0,39.0,82,109,645,"1,973",170,0.0
38,55.0,BUTLER COUNTY,Middletown,MIDDLETOWN,"46,067",242,"3,115",5.0,41.0,67,129,735,"2,253",127,0.0,641.0,BUTLER COUNTY,OH00903,MIDDLETOWN,"2,759",14,168,0.0,2.0,5,7,39,119,10,0.0
39,56.0,BUTLER COUNTY,Monroe,MONROE,"15,789",24,432,0.0,3.0,3,18,26,402,4,1.0,,,,,,,,,,,,,,,
40,58.0,BUTLER COUNTY,Oxford,OXFORD,"22,197",23,270,1.0,3.0,4,15,53,206,11,2.0,57.0,BUTLER COUNTY,OH00907,OXFORD,"22,459",18,488,0.0,5.0,7,6,82,400,6,2.0
41,58.0,BUTLER COUNTY,Oxford,OXFORD,"22,197",23,270,1.0,3.0,4,15,53,206,11,2.0,58.0,BUTLER COUNTY,OH00913,OXFORD TOWNSHIP,"2,181",2,25,0.0,0.0,0,2,4,16,5,0.0
42,60.0,BUTLER COUNTY,West Chester,WEST CHESTER TOWNSHIP,"61,080",43,"1,340",0.0,15.0,14,14,155,"1,161",24,4.0,59.0,BUTLER COUNTY,OH00915,WEST CHESTER TOWNSHIP,"61,386",64,"1,300",0.0,21.0,15,28,170,"1,086",44,5.0
43,72.0,CLARK COUNTY,Springfield,SPRINGFIELD,"59,503",411,"4,040",5.0,34.0,184,188,963,"2,817",260,58.0,71.0,CLARK COUNTY,OH01202,SPRINGFIELD,"58,843",370,"4,024",9.0,25.0,177,159,"1,040","2,691",293,76.0
44,73.0,CLARK COUNTY,Enon,ENON,"2,389",0,2,0.0,0.0,0,0,1,1,0,0.0,72.0,CLARK COUNTY,OH01206,ENON,"2,381",0,2,0.0,0.0,0,0,1,0,1,0.0
45,74.0,CLARK COUNTY,South Charleston,SOUTH CHARLESTON,"1,655",2,23,0.0,0.0,0,2,3,18,2,0.0,73.0,CLARK COUNTY,OH01209,SOUTH CHARLESTON,"1,640",2,37,0.0,0.0,0,2,5,28,4,0.0
46,75.0,CLARK COUNTY,South Vienna,SOUTH VIENNA,378,1,14,0.0,0.0,0,1,1,12,1,0.0,75.0,CLARK COUNTY,OH01211,SOUTH VIENNA,375,0,8,0.0,0.0,0,0,1,4,3,0.0
47,77.0,CLERMONT COUNTY,Batavia,BATAVIA,"1,654",6,55,0.0,1.0,2,3,11,42,2,2.0,77.0,CLERMONT COUNTY,OH01301,BATAVIA,"1,656",0,57,0.0,0.0,0,0,7,46,4,0.0
48,78.0,CLERMONT COUNTY,Bethel,BETHEL,"2,782",6,95,0.0,1.0,0,5,9,84,2,0.0,78.0,CLERMONT COUNTY,OH01302,BETHEL,"2,791",3,87,0.0,0.0,0,3,14,71,2,0.0
49,79.0,CLERMONT COUNTY,Milford,MILFORD,"6,881",9,230,0.0,1.0,5,3,25,201,4,0.0,79.0,CLERMONT COUNTY,OH01303,MILFORD,"6,910",14,191,0.0,4.0,1,9,22,158,11,0.0
50,79.0,CLERMONT COUNTY,Milford,MILFORD,"6,881",9,230,0.0,1.0,5,3,25,201,4,0.0,258.0,CLERMONT COUNTY,OH01303,MILFORD,29,0,1,0.0,0.0,0,0,0,1,0,0.0
51,80.0,CLERMONT COUNTY,Amelia,AMELIA,"4,957",0,25,0.0,0.0,0,0,5,20,0,0.0,80.0,CLERMONT COUNTY,OH01304,AMELIA,"4,982",3,63,0.0,0.0,0,3,2,58,3,0.0
52,81.0,CLERMONT COUNTY,Felicity,FELICITY,830,2,42,0.0,0.0,0,2,6,36,0,0.0,81.0,CLERMONT COUNTY,OH01306,FELICITY,825,3,31,0.0,1.0,0,2,4,26,1,0.0
53,82.0,CLERMONT COUNTY,New Richmond,NEW RICHMOND,"2,651",12,74,0.0,3.0,2,7,22,47,5,1.0,82.0,CLERMONT COUNTY,OH01310,NEW RICHMOND,"2,663",6,61,0.0,0.0,0,6,13,45,3,0.0
54,85.0,CLERMONT COUNTY,Williamsburg,WILLIAMSBURG,"2,560",3,63,0.0,0.0,1,2,9,54,0,0.0,85.0,CLERMONT COUNTY,OH01313,WILLIAMSBURG,"2,565",4,58,0.0,1.0,0,3,11,45,2,1.0
55,86.0,CLERMONT COUNTY,Goshen,GOSHEN TOWNSHIP,"15,787",6,166,0.0,3.0,1,2,33,126,7,1.0,86.0,CLERMONT COUNTY,OH01314,GOSHEN TOWNSHIP,"15,860",7,165,0.0,5.0,1,1,32,118,15,1.0
56,86.0,CLERMONT COUNTY,Goshen,GOSHEN TOWNSHIP,"15,787",6,166,0.0,3.0,1,2,33,126,7,1.0,416.0,CLERMONT COUNTY,OH05018,GOSHEN TOWNSHIP,"3,072",3,55,0.0,2.0,0,1,6,44,5,1.0
57,90.0,CLERMONT COUNTY,Loveland,LOVELAND,"2,036",0,21,0.0,0.0,0,0,3,16,2,0.0,90.0,CLERMONT COUNTY,OH03120,LOVELAND,"2,070",2,18,0.0,1.0,0,1,4,13,1,0.0
