,Unnamed: 0_x,County_x,City,AGENCY NAME_x,POPULATION_x,VIOLENT CRIME_x,PROPERTY CRIME_x,MURDER_x,RAPE_x,ROBBERY_x,AGGRAVATED ASSAULT_x,BURGLARY_x,LARCENY_x,MTR VEHICLE THEFT_x,ARSON_x,Unnamed: 0_y,County_y,ORI,AGENCY NAME_y,POPULATION_y,VIOLENT CRIME_y,PROPERTY CRIME_y,MURDER_y,RAPE_y,ROBBERY_y,AGGRAVATED ASSAULT_y,BURGLARY_y,LARCENY_y,MTR VEHICLE THEFT_y,ARSON_y
60,94,CLINTON COUNTY,Sabina,SABINA,"2,530",2,63,0,1,0,1,14,46,3,0,94,CLINTON COUNTY,OH01403,SABINA,"2,534",3,52,0,2,0,1,15,37,0,1
61,95,CLINTON COUNTY,Wilmington,WILMINGTON,"12,443",18,578,0,9,2,7,59,499,20,2,95,CLINTON COUNTY,OH01404,WILMINGTON,"12,416",23,645,0,3,8,12,72,562,11,0
62,98,COLUMBIANA COUNTY,Columbiana,COLUMBIANA,"5,604",3,79,0,2,0,1,20,59,0,2,98,COLUMBIANA COUNTY,OH01501,COLUMBIANA,"5,583",3,33,0,1,1,1,3,30,0,0
63,98,COLUMBIANA COUNTY,Columbiana,COLUMBIANA,"5,604",3,79,0,2,0,1,20,59,0,2,402,COLUMBIANA COUNTY,OH01501,COLUMBIANA,650,0,4,0,0,0,0,0,4,0,0
64,99,COLUMBIANA COUNTY,East Palestine,EAST PALESTINE,"4,548",6,62,0,1,2,3,21,39,2,0,99,COLUMBIANA COUNTY,OH01503,EAST PALESTINE,"4,503",11,82,0,2,1,8,22,58,2,1
65,100,COLUMBIANA COUNTY,Lisbon,LISBON,"2,709",0,39,0,0,0,0,5,33,1,0,100,COLUMBIANA COUNTY,OH01505,LISBON,"2,680",1,26,0,1,0,0,6,19,1,0
66,101,COLUMBIANA COUNTY,Salem,SALEM,"11,939",9,310,0,1,1,7,18,286,6,1,101,COLUMBIANA COUNTY,OH01506,SALEM,"11,883",21,348,0,4,1,16,20,324,4,1
67,101,COLUMBIANA COUNTY,Salem,SALEM,"11,939",9,310,0,1,1,7,18,286,6,1,403,COLUMBIANA COUNTY,OH01506,SALEM,4,0,0,0,0,0,0,0,0,0,0
68,103,COLUMBIANA COUNTY,New Waterford,NEW WATERFORD,"1,195",0,2,0,0,0,0,1,1,0,0,104,COLUMBIANA COUNTY,OH01510,NEW WATERFORD,"1,183",0,3,0,0,0,0,1,2,0,0
69,109,COSHOCTON COUNTY,West Lafayette,WEST LAFAYETTE,"2,279",3,8,0,2,0,1,1,7,0,0,111,COSHOCTON COUNTY,OH01606,WEST LAFAYETTE,"2,287",3,6,0,2,0,1,1,5,0,0
