County,City,ORI,AGENCY NAME,POPULATION,VIOLENT CRIME,PROPERTY CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT,BURGLARY,LARCENY,MTR VEHICLE THEFT,ARSON
#N/A,#N/A,OH03101,ADDYSTON,936,3,21,0,1,0,2,5,15,1,0
#N/A,#N/A,OH03102,AMBERLEY VILLAGE,"3,607",0,29,0,0,0,0,1,28,0,0
Hamilton County,Blue Ash,OH03104,BLUE ASH,"12,248",16,278,2,2,4,8,42,229,7,0
#N/A,#N/A,OH03105,CHEVIOT,"8,269",15,231,0,1,9,5,33,177,21,0
Hamilton County,Cleves,OH03106,CLEVES,"3,418",0,1,0,0,0,0,0,1,0,0
Hamilton County,Deer Park,OH03107,DEER PARK,"5,665",6,51,0,1,0,5,4,44,3,0
#N/A,#N/A,OH03108,DELHI TOWNSHIP,"29,619",15,416,0,5,3,7,71,319,26,1
#N/A,#N/A,OH03109,ELMWOOD PLACE,"2,179",1,1,0,0,0,1,0,1,0,0
#N/A,#N/A,OH03110,EVENDALE,"2,767",9,233,0,0,1,8,8,218,7,0
#N/A,#N/A,OH03111,FAIRFAX,"1,702",3,253,1,0,2,0,2,249,2,0
Hamilton County,Forest Park,OH03112,FOREST PARK,"18,665",50,435,1,7,20,22,70,345,20,1
#N/A,#N/A,OH03113,GLENDALE,"2,157",0,10,0,0,0,0,2,8,0,0
Hamilton County,Greenhills,OH03115,GREENHILLS,"3,584",1,43,0,0,0,1,4,38,1,0
Hamilton County,Harrison,OH03116,HARRISON,"11,246",6,182,1,0,5,0,16,157,9,0
#N/A,#N/A,OH03117,INDIAN HILL,"5,830",2,43,0,2,0,0,5,35,3,0
#N/A,#N/A,OH03119,LOCKLAND,"3,427",16,131,1,1,3,11,27,85,19,1
Clermont County,Loveland,OH03120,LOVELAND,"9,953",10,86,0,5,1,4,19,61,6,1
#N/A,#N/A,OH03122,MARIEMONT,"3,435",0,41,0,0,0,0,5,34,2,0
Hamilton County,Montgomery,OH03123,MONTGOMERY,"10,638",4,152,0,2,1,1,8,139,5,0
#N/A,#N/A,OH03124,MOUNT HEALTHY,"6,020",29,249,0,6,10,13,56,170,23,1
#N/A,#N/A,OH03125,NEWTOWN,"2,679",1,21,0,0,0,1,5,16,0,0
#N/A,#N/A,OH03127,NORTH COLLEGE HILL,"9,311",44,310,1,8,17,18,48,236,26,3
Hamilton County,Norwood,OH03128,NORWOOD,"19,994",68,895,0,15,28,25,132,707,56,2
Hamilton County,Reading,OH03129,READING,"10,307",28,291,1,4,7,16,52,232,7,0
Hamilton County,Springdale,OH03133,SPRINGDALE,"11,203",0,0,0,0,0,0,0,0,0,0
#N/A,#N/A,OH03134,SPRINGFIELD TOWNSHIP,"36,571",73,674,1,6,31,35,131,495,48,7
#N/A,#N/A,OH03135,WOODLAWN,"3,292",12,129,0,0,4,8,4,120,5,0
#N/A,#N/A,OH03136,WYOMING,"8,531",3,85,0,0,3,0,15,68,2,0
#N/A,#N/A,OH03137,UNIVERSITY OF CINCINNATI,0,39,283,0,31,1,7,15,261,7,0
#N/A,#N/A,OH03142,COLERAIN TOWNSHIP,"58,996",100,"1,708",1,14,41,44,223,"1,400",85,7
#N/A,#N/A,OH03144,GREEN TOWNSHIP,"58,853",52,"1,237",0,14,19,19,218,963,56,0
#N/A,#N/A,OH03158,MOUNT ST. JOSEPH UNIVERSITY,0,0,5,0,0,0,0,2,3,0,0
#N/A,#N/A,OH03100,HAMILTONCOUNTY SHERIFF,"116,663",183,"2,507",4,44,54,81,399,"1,918",190,6
#N/A,#N/A,OH03146,HAMILTON COUNTY PARKS,0,0,75,0,0,0,0,3,72,0,1
Allen County,Bluffton,OH00201,BLUFFTON,170,0,2,0,0,0,0,0,2,0,0
Hancock County,Findlay,OH03201,FINDLAY,"41,474",128,"1,304",3,25,24,76,216,"1,050",38,3
Hancock County,McComb,OH03207,MCCOMB,"1,655",0,0,0,0,0,0,0,0,0,0
#N/A,#N/A,OH03200,HANCOCK,"30,069",8,185,0,2,0,6,38,146,1,1
#N/A,#N/A,OH03301,ADA,"5,551",2,30,0,2,0,0,5,24,1,0
#N/A,#N/A,OH03302,KENTON,"8,190",9,382,0,5,0,4,84,285,13,3
#N/A,#N/A,OH03305,FOREST,"1,433",0,7,0,0,0,0,2,5,0,0
#N/A,#N/A,OH03300,HARDIN COUNTY SHERIFF,"16,279",5,124,0,3,0,2,41,79,4,4
#N/A,#N/A,OH03408,NEW ATHENS,309,0,0,0,0,0,0,0,0,0,0
#N/A,#N/A,OH03501,NAPOLEON,"8,410",13,177,0,2,4,7,27,147,3,0
#N/A,#N/A,OH03500,HENRY COUNTY SHERIFF,"16,181",14,159,0,4,2,8,63,93,3,0
Highland County,Greenfield,OH03601,GREENFIELD,"4,582",13,99,3,3,2,5,28,50,21,2
Highland County,Hillsboro,OH03602,HILLSBORO,"6,576",9,168,0,7,1,1,23,134,11,1
Highland County,Leesburg,OH03603,VILLAGE OF LEESBURG,"1,295",1,54,0,0,0,1,5,47,2,0
Highland County,Lynchburg,OH03604,LYNCHBURG,"1,480",0,29,0,0,0,0,2,25,2,0
#N/A,#N/A,OH03606,MOWRYSTOWN,352,1,2,0,0,0,1,0,2,0,0
#N/A,#N/A,OH03600,HIGHLAND COUNTY SHERIFF,"28,507",28,348,2,9,7,10,95,227,26,2
Hocking County,Logan,OH03701,LOGAN,"7,077",18,289,0,5,3,10,21,254,14,2
Hocking County,Laurelville,OH03702,LAURELVILLE,507,1,3,0,0,1,0,0,3,0,0
#N/A,#N/A,OH03700,HOCKING COUNTY SHERIFF,"20,632",25,351,0,4,1,20,85,245,21,2
Ashland County,Loudonville,OH00302,LOUDONVILLE,61,0,1,0,0,0,0,0,1,0,0
#N/A,#N/A,OH03801,MILLERSBURG,"3,186",1,104,0,1,0,0,3,100,1,0
#N/A,#N/A,OH03800,HOLMES COUNTY SHERIFF,"40,759",0,15,0,0,0,0,4,10,1,0
Erie County,Milan,OH02208,MILAN,356,0,3,0,0,0,0,0,3,0,0
#N/A,#N/A,OH03902,NORWALK,"16,811",13,336,0,5,3,5,40,288,8,0
#N/A,#N/A,OH03903,WILLARD,"6,032",7,288,0,0,4,3,59,218,11,0
#N/A,#N/A,OH03907,MONROEVILLE,"1,365",0,0,0,0,0,0,0,0,0,0
#N/A,#N/A,OH07003,PLYMOUTH,875,0,0,0,0,0,0,0,0,0,0
#N/A,#N/A,OH04001,JACKSON,"6,305",9,141,0,2,2,5,12,126,3,0
#N/A,#N/A,OH04002,WELLSTON,"5,534",11,89,0,2,1,8,21,63,5,0
#N/A,#N/A,OH04004,OAK HILL,"1,504",3,41,0,0,1,2,7,34,0,0
#N/A,#N/A,OH04000,JACKSON COUNTY SHERIFF,"18,650",22,222,1,11,1,9,54,148,20,2
Jefferson County,Steubenville,OH04103,STEUBENVILLE,"17,979",49,"1,132",3,4,11,31,89,"1,021",22,6
#N/A,#N/A,OH04102,MINGO JUNCTION,"3,278",4,12,0,0,1,3,6,6,0,1
#N/A,#N/A,OH04104,TORONTO,"4,814",14,20,0,1,0,13,4,15,1,0
#N/A,#N/A,OH04105,WINTERSVILLE,"3,750",2,68,0,1,1,0,8,58,2,0
#N/A,#N/A,OH04106,YORKVILLE,582,1,4,0,0,0,1,1,3,0,0
#N/A,#N/A,OH04114,MOUNT PLEASANT,447,0,2,0,0,0,0,1,1,0,0
#N/A,#N/A,OH04120,TILTONSVILLE,"1,302",0,1,0,0,0,0,0,1,0,0
#N/A,#N/A,OH04122,SALINE TOWNSHIP,"1,265",0,9,0,0,0,0,1,4,4,0
#N/A,#N/A,OH04124,WELLS TOWNSHIP,"2,671",0,14,0,0,0,0,6,6,2,0
#N/A,#N/A,OH04100,JEFFERSON COUNTY SHERIFF,"21,314",3,17,0,0,0,3,5,11,1,0
Knox County,Mount Vernon,OH04201,MOUNT VERNON,"16,553",22,621,1,6,0,15,89,525,7,3
#N/A,#N/A,OH04203,DANVILLE,"1,004",1,33,0,0,0,1,7,24,2,0
Knox County,Fredericktown,OH04204,FREDERICKTOWN,"2,461",4,55,0,0,0,4,12,43,0,0
#N/A,#N/A,OH04513,UTICA,20,0,0,0,0,0,0,0,0,0,0
#N/A,#N/A,OH04200,KNOX COUNTY SHERIFF,"40,890",56,384,2,26,1,27,108,276,0,0
Lake County,Eastlake,OH04301,EASTLAKE,"18,056",14,330,1,2,5,6,38,282,10,1
#N/A,#N/A,OH04302,FAIRPORT HARBOR,"3,050",7,73,0,1,1,5,14,57,2,2
#N/A,#N/A,OH04304,KIRTLAND HILLS,638,0,0,0,0,0,0,0,0,0,0
Lake County,Mentor,OH04306,MENTOR,"46,663",72,908,0,11,17,44,105,780,23,6
#N/A,#N/A,OH04307,MENTOR-ON-THE-LAKE,"7,359",9,81,0,0,1,8,14,61,6,0
Lake County,Painesville,OH04308,PAINESVILLE,"19,719",11,22,1,1,0,9,7,13,2,0
#N/A,#N/A,OH04310,WAITE HILL,449,1,0,0,0,0,1,0,0,0,0
Lake County,Wickliffe,OH04311,WICKLIFFE,"12,679",9,152,0,0,4,5,26,118,8,0
Lake County,Willoughby,OH04312,WILLOUGHBY,"22,857",34,440,0,1,17,16,37,385,18,1
Lake County,Madison,OH04318,MADISON TOWNSHIP,"15,380",4,67,0,0,0,4,8,57,2,0
#N/A,#N/A,OH04321,LAKELAND COMMUNITY,0,0,14,0,0,0,0,0,14,0,0
#N/A,#N/A,OH04322,KIRTLAND,"6,759",1,18,0,0,0,1,5,13,0,0
#N/A,#N/A,OH04300,LAKE COUNTY SHERIFF,"45,532",303,334,0,29,45,229,61,269,4,1
#N/A,#N/A,OH04324,LAKE METROPARKS,0,2,4,1,0,0,1,0,4,0,0
#N/A,#N/A,OH04401,COAL GROVE,"2,137",0,0,0,0,0,0,0,0,0,0
#N/A,#N/A,OH04402,IRONTON,"10,853",15,249,0,2,5,8,65,169,15,1
#N/A,#N/A,OH04407,SOUTH POINT,"3,935",2,42,0,1,0,1,8,31,3,0
#N/A,#N/A,OH04400,LAWRENCE COUNTY SHERIFF,"42,911",62,662,7,11,5,39,173,436,53,6
Franklin County,Reynoldsburg,OH02508,REYNOLDSBURG,"9,137",25,256,0,6,12,7,32,216,8,1
Franklin County,New Albany,OH02521,NEW ALBANY,168,0,1,0,0,0,0,0,1,0,0
#N/A,#N/A,OH04501,NEWARK,"49,389",91,"1,628",1,47,14,29,331,"1,154",143,12
Licking County,Granville,OH04503,GRANVILLE,"5,787",0,39,0,0,0,0,5,32,2,0
#N/A,#N/A,OH04507,HEATH,"10,681",23,598,0,7,2,14,77,493,28,0
Licking County,Johnstown,OH04509,JOHNSTOWN,"5,025",2,63,0,1,0,1,4,56,3,0
#N/A,#N/A,OH04510,KIRKERSVILLE,537,0,2,0,0,0,0,0,2,0,0
#N/A,#N/A,OH04513,UTICA,"2,179",3,28,0,0,0,3,7,20,1,0
#N/A,#N/A,OH04500,LICKING COUNTY SHERIFF,"65,171",60,983,4,19,12,25,291,613,79,1
Logan County,Bellefontaine,OH04601,BELLEFONTAINE,"13,144",14,331,0,6,2,6,46,280,5,2
Logan County,Russells Point,OH04602,RUSSELLS POINT,"1,367",4,22,1,2,0,1,3,19,0,0
Logan County,West Liberty,OH04610,WEST LIBERTY,"1,785",1,5,0,0,0,1,1,3,1,0
#N/A,#N/A,OH04600,LOGAN COUNTY SHERIFF,"25,465",20,255,1,11,0,8,68,177,10,3
Lorain County,Elyria,OH04704,ELYRIA,"53,586",191,"1,146",3,39,64,85,248,842,56,12
Lorain County,Vermilion,OH02204,VERMILION,"5,778",2,54,0,1,0,1,8,45,1,0
Lorain County,Amherst,OH04701,AMHERST,"12,090",5,157,0,0,2,3,14,140,3,1
Lorain County,Avon Lake,OH04703,AVON LAKE,"23,839",8,124,0,0,1,7,21,97,6,1
Lorain County,Lorain,OH04705,LORAIN,"63,672",373,"2,019",2,30,87,254,590,"1,335",94,11
Lorain County,Oberlin,OH04706,OBERLIN,"8,321",13,171,0,6,0,7,33,136,2,1
Lorain County,North Ridgeville,OH04707,NORTH RIDGEVILLE,"33,586",17,140,1,7,2,7,47,89,4,0
Lorain County,Sheffield Lake,OH04708,SHEFFIELD LAKE,"8,983",7,115,0,5,2,0,23,84,8,0
Lorain County,Grafton,OH04710,GRAFTON,"6,182",1,40,0,1,0,0,16,24,0,0
#N/A,#N/A,OH04700,LORAIN COUNTY SHERIFF,"61,609",55,563,0,14,9,32,203,344,16,9
Lucas County,Toledo,OH04807,TOLEDO,"277,116","2,829","11,095",35,180,780,"1,834","3,103","7,247",745,0
Fulton County,Swanton,OH02604,SWANTON,145,0,1,0,0,0,0,0,1,0,0
Lucas County,Maumee,OH04801,MAUMEE,"13,809",5,305,0,0,3,2,31,265,9,0
Lucas County,Oregon,OH04802,OREGON,"19,991",36,779,1,10,8,17,75,682,22,1
#N/A,#N/A,OH04803,OTTAWA HILLS,"4,488",0,50,0,0,0,0,11,35,4,0
#N/A,#N/A,OH04805,SYLVANIA,"18,908",6,86,0,3,0,3,12,67,7,0
#N/A,#N/A,OH04806,SYLVANIA TOWNSHIP,"29,536",39,688,0,4,12,23,73,577,38,0
Lucas County,Holland,OH04810,HOLLAND,"1,662",7,349,0,1,4,2,10,335,4,3
Lucas County,Waterville,OH04811,WATERVILLE,"5,518",1,25,0,0,0,1,3,22,0,0
Lucas County,Whitehouse,OH04812,WHITEHOUSE,"4,622",2,8,0,0,1,1,1,7,0,0
#N/A,#N/A,OH04813,UNIVERSITY OF TOLED,0,7,185,0,0,5,2,5,177,3,0
#N/A,#N/A,OH04815,WASHINGTON TOWNSHIP,"3,241",0,2,0,0,0,0,1,1,0,0
#N/A,#N/A,OH04818,WATERVILLE TOWNSHIP,"1,655",0,0,0,0,0,0,0,0,0,0
#N/A,#N/A,OH04819,TOLEDO FIRE DEPARTMENT,0,0,0,0,0,0,0,0,0,0,111
#N/A,#N/A,OH04822,TOLEDO METRO PARK,0,1,1,0,0,0,1,0,1,0,0
#N/A,#N/A,OH04800,LUCAS COUNTY SHERIFF,"51,193",90,991,0,19,25,46,224,706,61,4
Madison County,London,OH04901,LONDON,"10,202",14,254,0,2,2,10,52,189,13,1
Madison County,West Jefferson,OH04902,WEST JEFFERSON,"4,347",2,58,0,0,0,2,5,51,2,0
#N/A,#N/A,OH04900,MADISON COUNTY SHERIFF,"25,093",14,347,0,4,2,8,102,224,21,3
Mahoning County,Boardman,OH05002,BOARDMAN,"39,276",61,"1,482",0,14,31,16,164,"1,289",29,6
Mahoning County,Youngstown,OH05009,YOUNGSTOWN,"63,878",447,"2,362",23,32,151,241,847,"1,283",232,82
Columbiana County,Columbiana,OH01501,COLUMBIANA,650,0,4,0,0,0,0,0,4,0,0
Columbiana County,Salem,OH01506,SALEM,4,0,0,0,0,0,0,0,0,0,0
#N/A,#N/A,OH01513,WASHINGTONVILLE,335,0,1,0,0,0,0,0,1,0,0
Mahoning County,Austintown,OH05001,AUSTINTOWN,"35,303",62,789,0,9,14,39,109,659,21,1
#N/A,#N/A,OH05003,CAMPBELL,"7,875",9,50,0,0,2,7,19,25,6,0
Mahoning County,Canfield,OH05004,CANFIELD,"7,246",3,46,0,1,0,2,10,36,0,2
#N/A,#N/A,OH05005,LOWELLVILLE,"1,097",0,1,0,0,0,0,1,0,0,0
#N/A,#N/A,OH05006,POLAND VILLAGE,"2,444",0,8,0,0,0,0,0,6,2,1
#N/A,#N/A,OH05007,SEBRING,"4,232",11,111,0,4,0,7,14,92,5,0
Mahoning County,Struthers,OH05008,STRUTHERS,"10,228",15,216,0,1,4,10,58,148,10,0
Mahoning County,Craig Beach,OH05011,CRAIG BEACH,"1,129",1,6,0,1,0,0,1,4,1,0
Mahoning County,New Middletown,OH05012,NEW MIDDLETOWN,"1,553",0,15,0,0,0,0,4,9,2,0
#N/A,#N/A,OH05013,BEAVER TOWNSHIP,"6,427",2,102,0,1,0,1,23,74,5,1
#N/A,#N/A,OH05016,SPRINGFIELD TOWNSHIP,"6,374",7,55,0,2,0,5,17,34,4,1
Clermont County,Goshen,OH05018,GOSHEN TOWNSHIP,"3,072",3,55,0,2,0,1,6,44,5,1
#N/A,#N/A,OH05020,MILTON TOWNSHIP,"2,445",2,36,0,1,1,0,7,27,2,1
Mahoning County,North Jackson,OH05021,JACKSON TOWNSHIP,"2,018",2,32,0,0,0,2,14,18,0,0
#N/A,#N/A,OH05022,POLAND TOWNSHIP,"11,921",3,53,0,1,1,1,14,39,0,0
#N/A,#N/A,OH05023,COITSVILLE TOWNSHIP,"1,326",3,44,0,1,0,2,16,24,4,0
Stark County,Alliance,OH07601,ALLIANCE,35,0,1,0,0,0,0,0,1,0,0
#N/A,#N/A,OH05000,MAHONING COUNTY SHERIFF,"16,141",4,67,0,0,0,4,19,40,8,0
#N/A,#N/A,OH05101,MARION,"36,230",100,995,3,40,28,29,316,649,30,11
#N/A,#N/A,OH05100,MARION COUNTY SHERIFF,"28,813",22,821,1,9,2,10,113,693,15,4
Medina County,Brunswick,OH05201,BRUNSWICK,"34,838",21,194,1,2,4,14,22,161,11,0
Medina County,Medina,OH05202,MEDINA,"26,199",17,324,1,5,5,6,55,269,0,0
Medina County,Wadsworth,OH05203,WADSWORTH,"23,388",24,333,0,4,1,19,28,301,4,1
#N/A,#N/A,OH05207,WESTFIELD CENTER,"1,164",0,1,0,0,0,0,1,0,0,0
Medina County,Spencer,OH05210,SPENCER,777,2,6,0,1,0,1,1,5,0,0
Medina County,Hinckley,OH05212,HINCKLEY TOWNSHIP,"7,970",1,17,0,0,0,1,3,13,1,0
#N/A,#N/A,OH05213,MONTVILLE TOWNSHIP,"11,718",0,61,0,0,0,0,15,46,0,0
#N/A,#N/A,OH05214,MEDINA TOWNSHIP,"8,940",5,109,0,1,0,4,3,101,5,0
#N/A,#N/A,OH05215,BRUNSWICK HILLS TOWNSHIP,"10,309",2,40,0,1,0,1,11,27,2,0
Wayne County,Rittman,OH08502,RITTMAN,114,0,2,0,0,0,0,1,1,0,0
Wayne County,Creston,OH08507,CRESTON,91,0,1,0,0,0,0,0,1,0,0
#N/A,#N/A,OH05200,MEDINA COUNTY SHERIFF,"47,744",0,89,0,0,0,0,28,61,0,0
#N/A,#N/A,OH05301,MIDDLEPORT,"2,455",0,13,0,0,0,0,5,7,1,0
#N/A,#N/A,OH05302,POMEROY,"1,808",0,4,0,0,0,0,0,3,1,0
#N/A,#N/A,OH05303,RACINE,655,0,1,0,0,0,0,0,1,0,0
#N/A,#N/A,OH05304,RUTLAND,376,0,0,0,0,0,0,0,0,0,0
#N/A,#N/A,OH05305,SYRACUSE,816,0,0,0,0,0,0,0,0,0,0
#N/A,#N/A,OH05300,MEIGS COUNTY SHERIFF,"16,976",25,194,0,7,3,15,45,126,23,1
Mercer County,Coldwater,OH05404,COLDWATER,"4,519",3,53,0,3,0,0,6,47,0,0
Mercer County,Fort Recovery,OH05405,FORT RECOVERY,"1,436",1,12,0,0,0,1,3,8,1,0
Mercer County,Rockford,OH05408,ROCKFORD,"1,099",0,4,0,0,0,0,0,4,0,0
Mercer County,Saint Henry,OH05409,ST. HENRY,"2,527",1,8,0,0,0,1,1,7,0,0
#N/A,#N/A,OH05400,MERCER COUNTY SHERIFF,"21,146",5,106,0,3,0,2,15,87,4,0
Miami County,Piqua,OH05502,PIQUA,"20,973",54,819,1,33,11,9,120,681,18,2
Miami County,Tipp City,OH05503,TIPP CITY,"9,957",4,140,0,4,0,0,11,119,10,4
Miami County,Troy,OH05504,TROY,"25,865",38,502,1,20,6,11,60,434,8,0
Miami County,Covington,OH05506,COVINGTON,"2,637",3,16,0,0,0,3,2,14,0,0
Dayton,Huber Heights,OH05714,HUBER HEIGHTS,995,2,24,0,0,1,1,3,20,1,0
#N/A,#N/A,OH05500,MIAMI COUNTY SHERIFF,"40,126",25,390,0,14,1,10,101,262,27,1
#N/A,#N/A,OH05601,WOODSFIELD,"2,312",0,0,0,0,0,0,0,0,0,0
#N/A,#N/A,OH05600,MONROE,"11,875",7,51,0,1,1,5,17,26,8,0
Dayton,Dayton,OH05702,DAYTON,"140,171","1,232","6,083",30,122,393,687,"1,779","3,688",616,26
Dayton,Centerville,OH05701,CENTERVILLE,"23,780",14,373,0,2,4,8,30,327,16,0
Dayton,Germantown,OH05703,GERMANTOWN,"5,477",4,68,0,2,1,1,15,49,4,0
Dayton,Kettering,OH05705,KETTERING,"54,681",70,852,0,23,26,21,190,610,52,3
#N/A,#N/A,OH05707,MIAMI TOWNSHIP,"28,996",28,953,0,5,6,17,71,839,43,2
Dayton,Miamisburg,OH05708,MIAMISBURG,"19,928",14,257,0,4,2,8,46,204,7,3
Dayton,Moraine,OH05709,MORAINE,"6,360",27,541,0,8,10,9,60,456,25,4
Dayton,Clayton,OH05711,CLAYTON,"13,149",5,118,0,0,4,1,17,92,9,0
Dayton,Trotwood,OH05712,TROTWOOD,"24,308",69,891,3,15,35,16,257,489,145,6
Dayton,Vandalia,OH05713,VANDALIA,"15,022",26,310,0,10,11,5,66,219,25,2
Dayton,Huber Heights,OH05714,HUBER HEIGHTS,"37,001",75,927,0,15,20,40,114,762,51,5
Dayton,West Carrollton,OH05715,WEST CARROLLTON,"12,898",23,285,1,5,11,6,66,198,21,4
Dayton,Brookville,OH05716,BROOKVILLE,"5,896",6,67,0,3,3,0,15,47,5,0
Dayton,Englewood,OH05718,ENGLEWOOD,"13,504",19,443,0,1,7,11,8,423,12,5
Dayton,New Lebanon,OH05720,NEW LEBANON,"3,966",10,95,0,2,4,4,22,70,3,1
#N/A,#N/A,OH05722,RIVERSIDE,"24,939",22,270,0,8,7,7,27,131,112,8
#N/A,#N/A,OH05724,BUTLER TOWNSHIP,"7,799",24,425,0,5,9,10,29,372,24,2
#N/A,#N/A,OH05725,GERMAN TOWNSHIP,"2,876",2,20,0,0,0,2,7,11,2,0
Mahoning County,North Jackson,OH05727,JACKSON TOWNSHIP,"3,658",1,13,0,0,0,1,4,8,1,0
#N/A,#N/A,OH05728,PERRY TOWNSHIP,"3,322",0,3,0,0,0,0,2,1,0,0
#N/A,#N/A,OH05729,CLAY TOWNSHIP,"4,193",8,22,0,3,0,5,7,14,1,0
#N/A,#N/A,OH05733,SINCLAIR COMMUNITY COLLEGE,0,1,39,0,0,1,0,11,28,0,0
#N/A,#N/A,OH08308,CARLISLE,201,0,1,0,0,0,0,0,1,0,0
Warren County,Springboro,OH08314,SPRINGBORO,"1,273",0,8,0,0,0,0,1,7,0,0
#N/A,#N/A,OH05700,MONTGOMERY COUNTY SHERIFF,"62,832",237,"1,278",2,36,96,103,360,693,225,19
#N/A,#N/A,OH05801,MCCONNELSVILLE,"1,804",5,22,0,1,0,4,3,17,2,0
#N/A,#N/A,OH05800,MORGAN COUNTY SHERIFF,"12,996",29,128,0,5,0,24,42,64,22,1
#N/A,#N/A,OH05902,CARDINGTON,"2,064",4,23,0,2,0,2,9,14,0,0
Muskingum County,Zanesville,OH06001,ZANESVILLE,"25,457",100,"1,157",0,19,21,60,203,897,57,16
Muskingum County,Dresden,OH06003,DRESDEN,"1,707",0,5,0,0,0,0,1,4,0,0
Muskingum County,Frazeysburg,OH06004,FRAZEYSBURG,"1,294",1,9,0,0,0,1,4,5,0,0
Muskingum County,New Concord,OH06006,NEW CONCORD,"2,337",0,7,0,0,0,0,0,7,0,0
Muskingum County,Roseville,OH06009,ROSEVILLE,763,1,10,0,1,0,0,2,6,2,0
#N/A,#N/A,OH06010,SOUTH ZANESVILLE,"1,970",1,34,0,0,0,1,4,29,1,0
#N/A,#N/A,OH06013,MUSKINGUM UNIVERSITY,0,1,4,0,0,0,1,1,3,0,0
#N/A,#N/A,OH06000,MUSKINGUM COUNTY SHERIFF,"52,740",59,903,0,38,10,11,233,610,60,4
#N/A,#N/A,OH06100,NOBLE,"12,577",1,107,0,1,0,0,37,62,8,0
Ottawa County,Oak Harbor,OH06201,OAK HARBOR,"2,731",1,36,0,1,0,0,8,28,0,0
Ottawa County,Port Clinton,OH06202,PORT CLINTON,"5,928",21,170,0,12,3,6,31,126,13,0
Ottawa County,Genoa,OH06205,GENOA,"2,276",1,7,0,0,0,1,2,5,0,1
Ottawa County,Put in Bay,OH06207,PUT-IN-BAY,135,0,1,0,0,0,0,0,0,1,0
#N/A,#N/A,OH06213,CATAWBA ISLAND TOWNSHIP,"3,504",1,4,0,0,0,1,1,2,1,0
#N/A,#N/A,OH06214,CARROLL TOWNSHIP,"2,085",2,17,1,0,0,1,3,14,0,0
#N/A,#N/A,OH06200,OTTAWA COUNTY SHERIFF,"19,687",4,217,0,4,0,0,43,166,8,0
#N/A,#N/A,OH06310,PAYNE,"1,147",1,8,0,1,0,0,2,6,0,0
#N/A,#N/A,OH06300,PAULDING COUNTY SHERIFF,"13,223",8,98,0,2,1,5,32,66,0,2
Muskingum County,Roseville,OH06009,ROSEVILLE,"1,083",3,12,0,1,1,1,2,8,2,0
Perry County,Crooksville,OH06401,CROOKSVILLE,"2,491",0,0,0,0,0,0,0,0,0,0
Perry County,New Lexington,OH06402,NEW LEXINGTON,"4,716",11,134,0,6,1,4,14,112,8,1
#N/A,#N/A,OH06403,NEW STRAITSVILLE,709,0,1,0,0,0,0,0,1,0,0
#N/A,#N/A,OH06407,JUNCTION CITY,803,1,6,0,0,0,1,2,4,0,0
#N/A,#N/A,OH06410,SHAWNEE,641,0,1,0,0,0,0,0,0,1,0
Perry County,Somerset,OH06411,SOMERSET,"1,460",0,4,0,0,0,0,1,3,0,0
Perry County,Thornville,OH06412,THORNVILLE,997,0,3,0,0,0,0,1,2,0,0
#N/A,#N/A,OH06400,PERRY COUNTY SHERIFF,"22,534",12,72,0,5,3,4,24,47,1,1
Pickaway County,Circleville,OH06501,CIRCLEVILLE,"13,972",57,714,0,13,21,23,136,550,28,4
Pickaway County,Ashville,OH06502,ASHVILLE,"4,211",3,53,1,0,1,1,9,40,4,0
#N/A,#N/A,OH06503,COMMERCIAL POINT,"1,617",0,21,0,0,0,0,6,14,1,0
#N/A,#N/A,OH06508,SOUTH BLOOMFIELD,"1,884",0,39,0,0,0,0,2,34,3,0
#N/A,#N/A,OH06500,PICKAWAY COUNTY SHERIFF,"35,609",24,656,0,6,5,13,182,449,25,5
#N/A,#N/A,OH06601,WAVERLY,"4,357",4,59,1,0,0,3,0,58,1,0
#N/A,#N/A,OH06606,PIKETON,"2,190",3,7,0,0,0,3,1,6,0,0
#N/A,#N/A,OH06600,PIKE COUNTY SHERIFF,"21,592",33,319,2,12,2,17,84,211,24,14
Portage County,Aurora,OH06701,AURORA,"15,932",3,187,0,0,1,2,17,168,2,0
Portage County,Garrettsville,OH06702,GARRETTSVILLE,"2,321",0,20,0,0,0,0,1,17,2,0
Portage County,Kent,OH06703,KENT,"30,270",44,451,0,1,11,32,75,359,17,1
Portage County,Windham,OH06706,WINDHAM,"2,199",4,36,0,0,0,4,10,24,2,0
#N/A,#N/A,OH06707,BRADY LAKE,460,0,0,0,0,0,0,0,0,0,0
Portage County,Hiram,OH06708,HIRAM,"1,164",3,0,0,1,0,2,0,0,0,0
#N/A,#N/A,OH06711,KENT STATE UNIVERSITY,0,3,167,0,0,0,3,2,164,1,0
Portage County,Streetsboro,OH06712,STREETSBORO,"16,308",11,343,0,2,5,4,24,309,10,0
#N/A,#N/A,OH06713,BRIMFIELD TOWNSHIP,"10,348",7,291,0,1,2,4,28,254,9,0
#N/A,#N/A,OH06714,UNV HOSP PORTAGE ME,0,0,1,0,0,0,0,0,1,0,0
Portage County,Mogadore,OH07708,MOGADORE,"1,002",0,12,0,0,0,0,3,9,0,0
Summit County,Tallmadge,OH07713,TALLMADGE,287,0,5,0,0,0,0,1,4,0,0
