County,City,ORI,AGENCY NAME,POPULATION,VIOLENT CRIME,PROPERTY CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT,BURGLARY,LARCENY,MTR VEHICLE THEFT,ARSON
Fairfield County,Baltimore,OH02303,BALTIMORE,"2,973",0,15,0,0,0,0,3,11,1,1
Fairfield County,Carroll,OH02306,CARROLL,520,0,3,0,0,0,0,2,1,0,0
Fairfield County,Lithopolis,OH02307,LITHOPOLIS,"1,448",0,13,0,0,0,0,4,9,0,0
Fairfield County,Millersport,OH02308,MILLERSPORT,"1,050",0,2,0,0,0,0,1,1,0,0
Fairfield County,Pickerington,OH02309,PICKERINGTON,"20,297",38,351,0,6,12,20,20,315,16,0
Fairfield County,Sugar Grove,OH02312,SUGAR GROVE,433,0,1,0,0,0,0,0,1,0,0
Franklin County,Reynoldsburg,OH02508,REYNOLDSBURG,936,3,26,0,1,1,1,3,22,1,0
Butler County,Fairfield,OH02300,FAIRFIELD,"75,853",38,962,0,15,6,17,153,793,16,2
Fayette County,Washington Court House,OH02401,WASHINGTON COURT HO,"14,136",41,548,0,16,14,11,79,459,10,4
Fulton County,Fayette,OH02400,FAYETTE,"14,453",37,432,1,5,3,28,109,308,15,1
Franklin County,Columbus,OHCOP00,COLUMBUS,"853,424","4,379","33,652",139,899,"1,919","1,422","6,955","22,613","4,084",370
Fairfield County,Lithopolis,OH02307,LITHOPOLIS,42,0,0,0,0,0,0,0,0,0,0
Fairfield County,Pickerington,OH02309,PICKERINGTON,76,0,1,0,0,0,0,0,1,0,0
#N/A,#N/A,OH025A1,CAPITAL UNIVERSITY,0,0,53,0,0,0,0,10,41,2,0
Franklin County,Bexley,OH02501,BEXLEY,"13,773",20,420,1,4,10,5,104,301,15,0
Franklin County,Dublin,OH02503,DUBLIN,"39,242",27,456,1,10,8,8,51,388,17,1
Franklin County,Gahanna,OH02504,GAHANNA,"35,243",25,791,1,13,5,6,87,677,27,6
Franklin County,Grandview Heights,OH02505,GRANDVIEW HEIGHTS,"7,831",0,43,0,0,0,0,5,37,1,0
Franklin County,Grove City,OH02506,GROVE CITY,"40,421",47,"1,365",4,14,24,5,112,"1,197",56,0
Franklin County,Hilliard,OH02507,HILLIARD,"36,144",17,404,0,6,2,9,75,293,36,2
Franklin County,Reynoldsburg,OH02508,REYNOLDSBURG,"27,631",71,780,1,16,35,19,98,656,26,3
Franklin County,Upper Arlington,OH02509,UPPER ARLINGTON,"35,214",12,512,0,3,6,3,88,417,7,2
Franklin County,Westerville,OH02510,WESTERVILLE,"30,887",35,740,0,9,13,13,60,667,13,2
Franklin County,Whitehall,OH02511,WHITEHALL,"18,835",125,"1,269",0,11,69,45,187,"1,001",81,12
Franklin County,Worthington,OH02512,WORTHINGTON,"14,692",11,267,2,2,3,4,27,227,13,1
