,County,City,POPULATION,VIOLENT CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT,Crime_Percent2017
335,Knox County,Mount Vernon,16553,22,1,6,0,15,132.9064218
337,Knox County,Fredericktown,2461,4,0,0,0,4,162.5355547
340,Lake County,Eastlake,18056,14,1,2,5,6,77.53655295
343,Lake County,Mentor,46663,72,0,11,17,44,154.2978377
345,Lake County,Painesville,19719,11,1,1,0,9,55.78376185
347,Lake County,Wickliffe,12679,9,0,0,4,5,70.98351605
348,Lake County,Willoughby,22857,34,0,1,17,16,148.7509297
349,Lake County,Madison,15380,4,0,0,0,4,26.00780234
358,Franklin County,Reynoldsburg,9137,25,0,6,12,7,273.6127832
359,Franklin County,New Albany,168,0,0,0,0,0,0
361,Licking County,Granville,5787,0,0,0,0,0,0
363,Licking County,Johnstown,5025,2,0,1,0,1,39.80099502
367,Logan County,Bellefontaine,13144,14,0,6,2,6,106.5124772
368,Logan County,Russells Point,1367,4,1,2,0,1,292.6115582
369,Logan County,West Liberty,1785,1,0,0,0,1,56.02240896
371,Lorain County,Elyria,53586,191,3,39,64,85,356.4363826
372,Lorain County,Vermilion,5778,2,0,1,0,1,34.61405331
373,Lorain County,Amherst,12090,5,0,0,2,3,41.35649297
374,Lorain County,Avon Lake,23839,8,0,0,1,7,33.55845463
375,Lorain County,Lorain,63672,373,2,30,87,254,585.8148009
376,Lorain County,Oberlin,8321,13,0,6,0,7,156.2312222
377,Lorain County,North Ridgeville,33586,17,1,7,2,7,50.61632823
378,Lorain County,Sheffield Lake,8983,7,0,5,2,0,77.92496939
379,Lorain County,Grafton,6182,1,0,1,0,0,16.17599482
381,Lucas County,Toledo,277116,2829,35,180,780,1834,1020.872126
382,Fulton County,Swanton,145,0,0,0,0,0,0
383,Lucas County,Maumee,13809,5,0,0,3,2,36.20826997
384,Lucas County,Oregon,19991,36,1,10,8,17,180.0810365
388,Lucas County,Holland,1662,7,0,1,4,2,421.179302
389,Lucas County,Waterville,5518,1,0,0,0,1,18.12250816
390,Lucas County,Whitehouse,4622,2,0,0,1,1,43.27131112
397,Madison County,London,10202,14,0,2,2,10,137.2279945
398,Madison County,West Jefferson,4347,2,0,0,0,2,46.00874166
400,Mahoning County,Boardman,39276,61,0,14,31,16,155.3111315
401,Mahoning County,Youngstown,63878,447,23,32,151,241,699.7714393
402,Columbiana County,Columbiana,650,0,0,0,0,0,0
403,Columbiana County,Salem,4,0,0,0,0,0,0
405,Mahoning County,Austintown,35303,62,0,9,14,39,175.6224683
407,Mahoning County,Canfield,7246,3,0,1,0,2,41.40215291
411,Mahoning County,Struthers,10228,15,0,1,4,10,146.6562378
412,Mahoning County,Craig Beach,1129,1,0,1,0,0,88.57395926
413,Mahoning County,New Middletown,1553,0,0,0,0,0,0
416,Clermont County,Goshen,3072,3,0,2,0,1,97.65625
418,Mahoning County,North Jackson,2018,2,0,0,0,2,99.10802775
421,Stark County,Alliance,35,0,0,0,0,0,0
425,Medina County,Brunswick,34838,21,1,2,4,14,60.27900568
426,Medina County,Medina,26199,17,1,5,5,6,64.88797282
427,Medina County,Wadsworth,23388,24,0,4,1,19,102.6167265
429,Medina County,Spencer,777,2,0,1,0,1,257.4002574
430,Medina County,Hinckley,7970,1,0,0,0,1,12.54705144
434,Wayne County,Rittman,114,0,0,0,0,0,0
435,Wayne County,Creston,91,0,0,0,0,0,0
443,Mercer County,Coldwater,4519,3,0,3,0,0,66.38636867
444,Mercer County,Fort Recovery,1436,1,0,0,0,1,69.63788301
445,Mercer County,Rockford,1099,0,0,0,0,0,0
446,Mercer County,Saint Henry,2527,1,0,0,0,1,39.57261575
448,Miami County,Piqua,20973,54,1,33,11,9,257.473895
449,Miami County,Tipp City,9957,4,0,4,0,0,40.17274279
450,Miami County,Troy,25865,38,1,20,6,11,146.9166828
451,Miami County,Covington,2637,3,0,0,0,3,113.7656428
452,Dayton,Huber Heights,995,2,0,0,1,1,201.0050251
456,Dayton,Dayton,140171,1232,30,122,393,687,878.9264541
457,Dayton,Centerville,23780,14,0,2,4,8,58.87300252
458,Dayton,Germantown,5477,4,0,2,1,1,73.03268213
459,Dayton,Kettering,54681,70,0,23,26,21,128.0152155
461,Dayton,Miamisburg,19928,14,0,4,2,8,70.25291048
462,Dayton,Moraine,6360,27,0,8,10,9,424.5283019
463,Dayton,Clayton,13149,5,0,0,4,1,38.02570538
464,Dayton,Trotwood,24308,69,3,15,35,16,283.8571664
