,County,City,POPULATION,VIOLENT CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT
565,Ottawa County,Genoa,2319.0,3.0,,1.0,,2.0
566,Ottawa County,Marblehead,889.0,2.0,,,,2.0
570,Paulding County,Paulding,3530.0,,,,,
571,Paulding County,Oakwood,594.0,,,,,
576,Perry County,Crooksville,2514.0,2.0,,2.0,,
577,Perry County,New Lexington,4753.0,20.0,,7.0,4.0,9.0
580,Perry County,Somerset,1470.0,,,,,
581,Perry County,Thornville,991.0,2.0,,,,2.0
584,Pickaway County,Circleville,13469.0,34.0,,17.0,7.0,10.0
585,Pickaway County,Ashville,4113.0,2.0,,,,2.0
586,Pickaway County,Commercial Point,1577.0,2.0,,,,2.0
593,Portage County,Aurora,15586.0,9.0,,1.0,1.0,7.0
594,Portage County,Kent,32582.0,76.0,,2.0,15.0,59.0
595,Portage County,Windham,2186.0,6.0,,1.0,,5.0
597,Portage County,Hiram,1283.0,,,,,
599,Portage County,Streetsboro,16152.0,11.0,,3.0,3.0,5.0
602,Portage County,Mogadore,1007.0,1.0,,,,1.0
606,Preble County,Camden,1977.0,1.0,,,,1.0
608,Preble County,West Alexandria,1350.0,,,,,
611,Putnam County,Ottawa,4391.0,1.0,,1.0,,
612,Putnam County,Columbus Grove,2073.0,1.0,,,,1.0
613,Putnam County,Leipsic,2035.0,,,,,
615,Putnam County,Pandora,1143.0,,,,,
619,Richland County,Mansfield,46145.0,215.0,3.0,43.0,88.0,81.0
621,Richland County,Plymouth,919.0,,,,,
622,Richland County,Shelby,9089.0,4.0,,2.0,2.0,
623,Richland County,Bellville,1880.0,1.0,,,,1.0
624,Richland County,Butler,917.0,1.0,,,1.0,
627,Ross County,Chillicothe,21896.0,81.0,,8.0,30.0,43.0
630,Sandusky County,Bellevue,4441.0,3.0,,1.0,,2.0
631,Sandusky County,Clyde,6277.0,3.0,,1.0,1.0,1.0
632,Sandusky County,Fremont,16377.0,24.0,3.0,2.0,7.0,12.0
641,Seneca County,Tiffin,17806.0,16.0,,3.0,9.0,4.0
644,Shelby County,Sidney,20961.0,37.0,2.0,11.0,15.0,9.0
645,Shelby County,Fort Loramie,1501.0,,,,,
646,Shelby County,Jackson Center,1468.0,2.0,,,,2.0
649,Stark County,Canton,72391.0,730.0,7.0,91.0,229.0,403.0
650,Stark County,Massillon,32196.0,86.0,1.0,13.0,28.0,44.0
651,Stark County,Alliance,22152.0,75.0,1.0,9.0,19.0,46.0
652,Stark County,Brewster,2162.0,2.0,,,,2.0
653,Stark County,Canal Fulton,5506.0,4.0,,1.0,,3.0
654,Stark County,East Canton,1594.0,,,,,
655,Stark County,Hartville,2956.0,1.0,,,,1.0
656,Stark County,Louisville,9150.0,12.0,,3.0,1.0,8.0
657,Stark County,Minerva,1941.0,1.0,,,,1.0
658,Stark County,Navarre,1937.0,2.0,,,,2.0
659,Stark County,North Canton,17503.0,14.0,,5.0,2.0,7.0
660,Stark County,Beach City,1008.0,,,,,
661,Stark County,Waynesburg,922.0,,,,,
664,Stark County,Uniontown,3322.0,4.0,,1.0,,3.0
665,Stark County,Magnolia,713.0,2.0,,,,2.0
668,Summit County,Akron,197891.0,1366.0,26.0,176.0,436.0,728.0
669,Summit County,Barberton,26286.0,68.0,,13.0,14.0,41.0
670,Summit County,Cuyahoga Falls,49196.0,49.0,1.0,10.0,9.0,29.0
671,Summit County,Hudson,22526.0,4.0,,2.0,,2.0
673,Summit County,Northfield,3653.0,8.0,1.0,,,7.0
675,Summit County,Stow,34755.0,24.0,1.0,13.0,5.0,5.0
676,Summit County,Tallmadge,17254.0,23.0,,10.0,3.0,10.0
677,Summit County,Twinsburg,18882.0,5.0,,1.0,2.0,2.0
679,Summit County,Munroe Falls,5027.0,,,,,
680,Summit County,Peninsula,563.0,,,,,
685,Summit County,New Franklin,14328.0,4.0,,1.0,2.0,1.0
690,Trumbull County,Warren,40592.0,182.0,2.0,29.0,87.0,64.0
692,Trumbull County,Hubbard,7724.0,9.0,,2.0,2.0,5.0
694,Trumbull County,Newton Falls,4701.0,9.0,,4.0,2.0,3.0
695,Trumbull County,Niles,18848.0,64.0,,4.0,36.0,24.0
696,Trumbull County,Cortland,6999.0,2.0,,,,2.0
708,Tuscarawas County,Dennison,2642.0,,,,,
722,Union County,Plain City,829.0,,,,,
723,Union County,Marysville,22460.0,11.0,,1.0,4.0,6.0
724,Union County,Richwood,2235.0,1.0,,1.0,,
728,Van Wert County,Van Wert,10763.0,31.0,,8.0,1.0,22.0
738,Warren County,Mason,31416.0,11.0,,7.0,1.0,3.0
741,Warren County,Maineville,1024.0,,,,,
742,Warren County,Springboro,16722.0,12.0,,6.0,2.0,4.0
746,Washington County,Belpre,6429.0,5.0,,1.0,,4.0
747,Washington County,Marietta,14051.0,10.0,,3.0,1.0,6.0
749,Washington County,Beverly,1295.0,2.0,,1.0,,1.0
754,Wayne County,Orrville,8445.0,6.0,,3.0,2.0,1.0
755,Wayne County,Rittman,6437.0,2.0,,,2.0,
756,Wayne County,Wooster,26455.0,73.0,1.0,32.0,17.0,23.0
757,Wayne County,Apple Creek,1181.0,,,,,
758,Wayne County,Creston,2075.0,5.0,,1.0,2.0,2.0
759,Wayne County,Marshallville,759.0,,,,,
760,Wayne County,Smithville,1261.0,,,,,
