Index,RegionID,RegionName,City,State,Metro,CountyName,SizeRank,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
86,76753,43560,Sylvania,OH,Toledo,Lucas County,2737,2180800,2037000,1911900,1929500,1833200,1886700,1961400,2045800,2107700,2194000,2274200,2404200
87,77109,44281,Wadsworth,OH,Cleveland-Elyria,Medina County,2755,1822300,1784500,1771700,1716300,1681800,1682600,1726400,1775700,1875300,1932500,2052500,2199200
88,76671,43420,Fremont,OH,Fremont,Sandusky County,2789,901900,936600,1105100,1104100,1069200,1040800,1060900,1069200,1078800,1111200,1162200,1233600
89,76588,43220,Upper Arlington,OH,Columbus,Franklin County,2858,3641000,3457200,3448500,3401500,3384400,3424600,3525200,3828400,4073300,4440200,4721800,4928800
90,77006,44106,Cleveland,OH,Cleveland-Elyria,Cuyahoga County,2885,1561600,1439500,1177700,1049000,963300,911900,800900,841800,887200,1023900,1267500,1303800
91,77219,44515,Austintown,OH,Youngstown-Warren-Boardman,Mahoning County,2891,1068900,1040000,977700,963300,943100,887700,909200,963300,978100,1001100,1076100,1138200
92,76482,43040,Marysville,OH,Columbus,Union County,2911,1991300,1938700,1899800,1906200,1799900,1800100,1847600,1922500,2011600,2102900,2214200,2362300
93,77399,45005,Franklin,OH,Cincinnati,Warren County,2926,1536600,1467400,1439800,1405100,1340700,1278500,1315700,1387700,1405400,1476700,1542400,1638600
94,77683,45459,Centerville,OH,Dayton,Montgomery County,2980,2491800,2370600,2240100,2195400,2104300,2161800,2215500,2276200,2302500,2425900,2618300,2737100
95,77127,44313,Akron,OH,Akron,Summit County,2984,1804000,1714800,1607400,1566200,1482200,1507600,1538700,1570600,1599100,1655200,1763200,1865000
96,77029,44129,Parma,OH,Cleveland-Elyria,Cuyahoga County,2989,1398500,1278900,1209800,1211600,1079500,965400,951900,969900,981900,1087400,1240800,1348300
97,77767,45701,Athens,OH,Athens,Athens County,3005,1757100,1746400,1750700,1731900,1739100,1740600,1718900,1792300,1863200,1924800,2057500,2083300
98,76735,43537,Maumee,OH,Toledo,Lucas County,3033,1966700,1842600,1751900,1717500,1673700,1683500,1695800,1772600,1866200,1914400,1992100,2097800
99,77668,45429,Kettering,OH,Dayton,Montgomery County,3042,1745500,1664400,1606000,1600700,1480400,1449700,1502500,1546700,1574900,1674400,1771500,1876600
100,77661,45420,Dayton,OH,Dayton,Montgomery County,3071,1084100,1035400,963500,932700,871200,824800,811500,786000,812900,851700,916500,985200
101,76771,43612,Toledo,OH,Toledo,Lucas County,3081,1011400,918400,800400,718600,637200,576000,555800,568900,591400,590400,646500,688000
102,76965,44052,Lorain,OH,Cleveland-Elyria,Lorain County,3113,1014700,933000,827500,770400,648600,596300,536900,565700,612500,642200,696600,746800
103,77521,45230,Cincinnati,OH,Cincinnati,Hamilton County,3125,1827100,1801300,1710700,1689800,1642400,1669300,1678000,1703500,1788600,1885400,1965400,2083900
104,76580,43212,Grandview Heights,OH,Columbus,Franklin County,3172,2925500,2910900,2952800,2923100,2909600,3109100,3328700,3567100,4050500,4504600,4848400,4970900
105,76489,43050,Mount Vernon,OH,Mount Vernon,Knox County,3174,991000,992100,953100,931500,893300,837000,862800,925900,1197400,1311800,1429400,1458500
106,76577,43209,Bexley,OH,Columbus,Franklin County,3177,2200400,2106800,2075200,2056900,1994100,2031700,2078500,2226100,2393700,2700100,3021100,3276900
107,77623,45365,Sidney,OH,Sidney,Shelby County,3204,1358100,1341300,1253200,1242800,1191000,1207700,1258400,1275200,1301900,1333900,1404300,1469600
108,77025,44125,Garfield Heights,OH,Cleveland-Elyria,Cuyahoga County,3209,1275600,1100000,929700,863300,767500,657100,638500,654900,657400,680200,765500,795800
109,77530,45239,White Oak,OH,Cincinnati,Hamilton County,3227,1406400,1301200,1138300,1074800,1052200,1024900,1021900,1020500,1040700,1106500,1231700,1349800
110,76512,43082,Westerville,OH,Columbus,Franklin County,3288,3426000,3334700,3257300,3250400,3190600,3197200,3275600,3424800,3590900,3785600,4023000,4323700
111,76712,43512,Defiance,OH,Defiance,Defiance County,3318,0,0,0,568700,1013800,1051300,1089400,1065600,1097800,1160100,1170400,1251700
112,76587,43219,Columbus,OH,Columbus,Franklin County,3329,0,0,0,0,0,0,0,606600,680300,635600,690800,833800
113,77527,45236,Deer Park,OH,Cincinnati,Hamilton County,3385,1631800,1575400,1521800,1478200,1435800,1456600,1472000,1497800,1529500,1597600,1755000,1853100
114,77382,44883,Tiffin,OH,Tiffin,Seneca County,3415,1199500,1132000,1075800,1097000,1004000,978900,1027500,1037800,1100000,1119400,1193400,1270300
115,77035,44135,Cleveland,OH,Cleveland-Elyria,Cuyahoga County,3427,1097400,980500,868500,851100,758200,690500,732500,739200,709900,783900,834900,955700
116,77794,45750,Marietta,OH,Marietta,Washington County,3457,1164900,1178600,1134900,1156900,1118700,1120300,1199800,1209400,1299500,1330400,1353400,1460500
117,77416,45042,Middletown,OH,Cincinnati,Butler County,3515,1470600,1407700,1313600,1256100,1101400,1111200,1087200,1125700,1239000,1303600,1348300,1477000
118,77308,44708,Canton,OH,Canton-Massillon,Stark County,3575,1341900,1237000,1150700,1076000,975400,976600,1008400,1053600,1068800,1131600,1227200,1316700
119,77291,44685,Uniontown,OH,Canton-Massillon,Stark County,3601,1964900,1864700,1790100,1778600,1750700,1769600,1814900,1916000,1947200,2020300,2155100,2321800
120,77043,44143,Richmond Heights,OH,Cleveland-Elyria,Cuyahoga County,3631,2339100,2137100,2062500,1954300,1863700,1888100,1869400,1902600,1922600,2019900,2138700,2286000
121,77036,44136,Strongsville,OH,Cleveland-Elyria,Cuyahoga County,3768,2348900,2220700,2093400,2126300,2047000,2048900,2122800,2161500,2191300,2293000,2448600,2602000
122,76533,43119,Columbus,OH,Columbus,Franklin County,3800,1665300,1601800,1568400,1577600,1474300,1406700,1467800,1527200,1635600,1738100,1912000,2057400
123,76479,43035,Columbus,OH,Columbus,Franklin County,3865,3230900,3160500,3104200,3114700,2997400,2978200,3083400,3241300,3422400,3624200,3910100,4220800
124,77190,44460,Salem,OH,Salem,Columbiana County,3866,1155500,1102700,1066500,1016600,950900,994200,1003700,1055100,1104800,1132700,1175900,1265800
125,77531,45240,Forest Park,OH,Cincinnati,Hamilton County,3887,1540100,1429000,1278400,1221700,1196400,1151200,1147500,1157700,1259500,1323000,1459400,1586300
126,77535,45244,Dry Run,OH,Cincinnati,Hamilton County,3913,2692500,2558300,2455600,2406800,2363900,2434700,2437100,2481800,2610000,2820200,2955000,3146800
127,76452,43004,Blacklick,OH,Columbus,Franklin County,3965,2187900,2083400,2018000,1965600,1871800,1806100,1895500,1999500,2097700,2223400,2452300,2673400
128,76490,43054,New Albany,OH,Columbus,Franklin County,3991,4223300,3893400,3697400,3574800,3417600,3492200,3744800,3880200,4147100,4336100,4591700,4717600
129,77196,44483,Warren,OH,Youngstown-Warren-Boardman,Trumbull County,4009,911500,868200,819100,779200,711400,684100,627500,662000,691200,677400,721500,794300
130,76515,43085,Worthington,OH,Columbus,Franklin County,4037,2623500,2589800,2577900,2569000,2515000,2551400,2662000,2826200,3046800,3317500,3569000,3727900
131,77616,45356,Piqua,OH,Dayton,Miami County,4057,1082100,1042500,989200,953100,935500,928500,932200,942600,930700,919400,982400,1025500
132,77503,45212,Norwood,OH,Cincinnati,Hamilton County,4082,1402900,1329200,1252200,1216800,1164700,1163000,1180600,1199300,1263000,1372100,1498600,1600700
133,76571,43202,Columbus,OH,Columbus,Franklin County,4107,1920800,1941400,1949800,1965700,1890500,1872500,2002400,2120900,2330300,2560000,2865400,3088700
134,76765,43606,Toledo,OH,Toledo,Lucas County,4148,1484200,1396400,1279200,1201600,1096700,1075800,1083200,1129200,1174700,1218500,1337900,1359000
135,77389,44903,Mansfield,OH,Mansfield,Richland County,4155,1208600,1120900,1070900,1010500,1000200,995900,1001900,1034000,1071100,1104100,1095800,1291900
136,77460,45133,Hillsboro,OH,,Highland County,4230,1244700,1171600,1082200,1030100,1010800,1008000,1032100,1071500,1114700,1137200,1197700,1269000
137,77413,45039,Maineville,OH,Cincinnati,Warren County,4245,2229200,2140600,2062900,2018500,1947000,1983500,2050600,2122700,2193800,2292700,2503200,2635000
138,77532,45241,Sharonville,OH,Cincinnati,Hamilton County,4277,2516200,2409700,2268200,2210200,2122600,2169300,2169500,2253400,2316900,2491100,2670200,2923800
139,77132,44319,Portage Lakes,OH,Akron,Summit County,4331,1604100,1493900,1404500,1404500,1313700,1263800,1342900,1393200,1374700,1450200,1533700,1673600
140,77016,44116,Rocky River,OH,Cleveland-Elyria,Cuyahoga County,4335,2500800,2356000,2286300,2375800,2333200,2365100,2540000,2634500,2700900,2849300,3076100,3270400
141,76942,44012,Avon Lake,OH,Cleveland-Elyria,Lorain County,4336,2625800,2532000,2439900,2474000,2363600,2320400,2442700,2600600,2724200,2888300,3024200,3224500
142,76594,43227,Columbus,OH,Columbus,Franklin County,4401,1102900,990100,875300,852300,755500,678200,570900,631900,710900,777900,890200,1111700
143,77218,44514,Boardman,OH,Youngstown-Warren-Boardman,Mahoning County,4407,1403500,1393000,1299500,1273300,1267800,1182100,1271100,1287200,1356000,1426600,1489300,1598800
144,77044,44144,Cleveland,OH,Cleveland-Elyria,Cuyahoga County,4420,1235900,1139600,1061200,1032300,896500,803600,806400,819200,837800,875600,1001600,1111000
145,77539,45248,Bridgetown,OH,Cincinnati,Hamilton County,4423,1838800,1707700,1623700,1558300,1530300,1540000,1536900,1550200,1611100,1629800,1663500,1795100
146,77493,45202,Cincinnati,OH,Cincinnati,Hamilton County,4449,2547200,2473000,2401200,2384400,2288200,2327800,2361800,2525100,2925500,3152400,3439300,3859600
147,77124,44310,Akron,OH,Akron,Summit County,4456,928200,836000,748700,680700,586000,475300,526700,517700,579300,510100,592100,727400
148,76529,43113,Circleville,OH,Columbus,Pickaway County,4476,1466900,1450400,1396400,1394100,1356500,1346700,1395400,1438600,1489800,1594200,1707600,1802700
149,77822,45805,Lima,OH,Lima,Allen County,4518,1172200,1117200,1068400,1056400,1002200,980100,1004300,1016600,1033100,1066900,1103800,1138200
150,77197,44484,Warren,OH,Youngstown-Warren-Boardman,Trumbull County,4521,1132800,1113800,1063500,1021400,963900,960400,975000,1000200,1008900,1066500,1147200,1233000
151,77037,44137,Maple Heights,OH,Cleveland-Elyria,Cuyahoga County,4529,1267600,1092500,891100,790500,612300,516200,504700,541000,569700,612800,655000,688300
152,76890,43920,East Liverpool,OH,Salem,Columbiana County,4550,672000,649100,642000,625100,581800,597100,589100,600800,603500,576700,630400,728600
153,77538,45247,White Oak,OH,Cincinnati,Hamilton County,4570,2435400,2251300,2111100,2054000,2019600,2028400,2036900,2026500,2146800,2206700,2331500,2497800
154,77528,45237,Cincinnati,OH,Cincinnati,Hamilton County,4628,1238700,1104300,927300,894300,883400,869900,839200,843800,874500,880800,1007900,1120900
155,77038,44138,Olmsted Falls,OH,Cleveland-Elyria,Cuyahoga County,4662,2010800,1869300,1812700,1812900,1740900,1703300,1740900,1804400,1835800,1905300,2018700,2162000
156,77677,45440,Kettering,OH,Dayton,Montgomery County,4699,1993900,1911000,1812400,1816800,1795600,1767900,1774400,1861700,1929600,1997000,2102600,2275200
157,77182,44446,Niles,OH,Youngstown-Warren-Boardman,Trumbull County,4718,892600,848800,803600,768100,707900,645500,649400,657900,656900,648800,700800,779200
158,76947,44024,Chardon,OH,Cleveland-Elyria,Geauga County,4732,2532000,2329500,2263200,2325400,2238400,2205900,2256400,2348300,2351100,2457800,2595600,2745100
159,77151,44406,Canfield,OH,Youngstown-Warren-Boardman,Mahoning County,4739,1892800,1903400,1850000,1804200,1749000,1770500,1859400,1917100,1938200,2060500,2221200,2336600
160,77491,45177,Wilmington,OH,Wilmington,Clinton County,4761,1910200,1860800,1762400,1496300,1390600,1374800,1428900,1415700,1486300,1602500,1666000,1776700
161,77431,45066,Springboro,OH,Cincinnati,Warren County,4767,2586500,2519100,2438200,2409200,2305300,2394700,2493600,2608300,2672700,2753600,2930700,3076900
162,76780,43623,Toledo,OH,Toledo,Lucas County,4770,1496300,1383200,1260900,1176600,1110000,1101300,1150300,1195500,1272800,1352500,1391000,1401700
163,77515,45224,Cincinnati,OH,Cincinnati,Hamilton County,4788,1368800,1267000,1090600,1061400,1038200,1020500,1019200,1013800,1029500,1104600,1239700,1326300
164,77533,45242,Blue Ash,OH,Cincinnati,Hamilton County,4791,3050700,2904900,2860500,2826100,2797300,2895800,2957500,3000000,3297400,3710700,3951600,4360300
165,77440,45102,Amelia,OH,Cincinnati,Clermont County,4792,1827100,1704600,1620200,1645500,1579700,1551600,1601800,1627300,1686900,1753600,1889400,1974800
166,77120,44306,Akron,OH,Akron,Summit County,4807,785000,685400,529300,440600,436900,342100,371200,371300,384800,392100,417200,489300
167,76562,43160,Washington Court House,OH,Washington Court House,Fayette County,4816,1257400,1218200,1176400,1108600,1026600,975100,997100,1055100,1072300,1135800,1214000,1288800
168,77083,44236,Hudson,OH,Akron,Summit County,4853,3553100,3401900,3299100,3132000,3184800,3199300,3311800,3391700,3502700,3692300,3940600,4070100
169,77039,44139,Solon,OH,Cleveland-Elyria,Cuyahoga County,4863,3248600,3055300,2909800,2810700,2746700,2806500,2868200,3008000,3030200,3111300,3304500,3460100
170,77119,44305,Akron,OH,Akron,Summit County,4871,936300,851800,750000,691300,574700,514700,554000,602700,627300,590000,659500,729300
171,77546,45255,Cincinnati,OH,Cincinnati,Hamilton County,4893,2228900,2188400,2040700,2025200,1977000,2004900,2027300,2048200,2153800,2353900,2611300,2722600
172,77499,45208,Cincinnati,OH,Cincinnati,Hamilton County,4919,3849400,3751000,3699600,3754300,3635000,3748100,3847100,3913000,4268400,4707000,5179300,5275500
173,77655,45414,Dayton,OH,Dayton,Montgomery County,4933,1147700,1057900,1005200,992600,889800,852800,814800,838300,894800,905200,951200,977100
174,77584,45322,Englewood,OH,Dayton,Montgomery County,4949,1448000,1391500,1328600,1299000,1177100,1132400,1148700,1142800,1155600,1229000,1311500,1413700
175,76809,43725,Cambridge,OH,Cambridge,Guernsey County,4987,1040800,1012100,1003800,962500,956200,961100,1000400,1067600,1085600,1089200,1135300,1211000
