,County,City,MONTH,ORI,AGENCY NAME,POPULATION,VIOLENT CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT
380,Lorain County,Oberlin,12,OH04706,OBERLIN,"8,215",18,1.0,11.0,4,2
381,Lorain County,North Ridgeville,12,OH04707,NORTH RIDGEVILLE,"32,469",11,2.0,3.0,3,3
382,Lorain County,Sheffield Lake,7,OH04708,SHEFFIELD LAKE,"9,039",2,0.0,0.0,1,1
383,Lorain County,Grafton,12,OH04710,GRAFTON,"5,981",6,0.0,3.0,0,3
386,Lucas County,Toledo,12,OH04807,TOLEDO,"279,552","3,156",24.0,228.0,902,"2,002"
388,Lucas County,Maumee,12,OH04801,MAUMEE,"13,978",14,0.0,1.0,5,8
389,Lucas County,Oregon,12,OH04802,OREGON,"20,160",35,0.0,3.0,10,22
392,Lucas County,Holland,12,OH04810,HOLLAND,"1,702",10,0.0,0.0,9,1
393,Lucas County,Waterville,12,OH04811,WATERVILLE,"5,515",0,0.0,0.0,0,0
394,Lucas County,Whitehouse,12,OH04812,WHITEHOUSE,"4,473",3,0.0,2.0,0,1
400,Madison County,London,12,OH04901,LONDON,"10,094",20,0.0,6.0,5,9
401,Madison County,West Jefferson,12,OH04902,WEST JEFFERSON,"4,284",2,0.0,0.0,2,0
404,Mahoning County,Boardman,12,OH05002,BOARDMAN,"39,887",67,0.0,8.0,35,24
405,Mahoning County,Youngstown,12*,OH05009,YOUNGSTOWN,"64,597",478,19.0,37.0,144,278
411,Mahoning County,Canfield,12,OH05004,CANFIELD,"8,439",4,0.0,1.0,1,2
415,Mahoning County,Struthers,12,OH05008,STRUTHERS,"10,380",22,0.0,3.0,6,13
423,Mahoning County,North Jackson,12,OH05021,JACKSON TOWNSHIP,"2,053",1,0.0,0.0,0,1
430,Medina County,Brunswick,12,OH05201,BRUNSWICK,"34,692",17,1.0,2.0,2,12
431,Medina County,Medina,12,OH05202,MEDINA,"26,496",29,2.0,7.0,7,13
432,Medina County,Wadsworth,12,OH05203,WADSWORTH,"21,966",17,1.0,5.0,3,8
434,Medina County,Lodi,5,OH05208,LODI,"2,799",4,0.0,0.0,1,3
435,Medina County,Spencer,10,OH05210,SPENCER,771,4,0.0,0.0,0,4
436,Medina County,Hinckley,12,OH05212,HINCKLEY TOWNSHIP,"7,993",5,0.0,0.0,2,3
448,Mercer County,Celina,10,OH05401,CELINA,"10,366",15,0.0,1.0,1,13
449,Mercer County,Coldwater,11,OH05404,COLDWATER,"4,459",0,0.0,0.0,0,0
450,Mercer County,Fort Recovery,8,OH05405,FORT RECOVERY,"1,419",0,0.0,0.0,0,0
451,Mercer County,Rockford,7,OH05408,ROCKFORD,"1,106",0,0.0,0.0,0,0
452,Mercer County,Saint Henry,10,OH05409,ST. HENRY,"2,503",0,0.0,0.0,0,0
454,Miami County,Piqua,12,OH05502,PIQUA,"20,821",52,0.0,17.0,28,7
455,Miami County,Tipp City,12,OH05503,TIPP CITY,"9,900",8,0.0,1.0,6,1
456,Miami County,Troy,12,OH05504,TROY,"25,649",61,0.0,25.0,10,26
457,Miami County,Covington,12,OH05506,COVINGTON,"2,624",1,0.0,0.0,0,1
462,Montgomery County,Dayton,12,OH05702,DAYTON,"140,683","1,339",27.0,155.0,483,674
463,Montgomery County,Centerville,12*,OH05701,CENTERVILLE,"23,886",14,0.0,2.0,6,6
464,Montgomery County,Germantown,12,OH05703,GERMANTOWN,"5,496",2,0.0,0.0,0,2
465,Montgomery County,Kettering,12*,OH05705,KETTERING,"55,106",71,1.0,24.0,35,11
467,Montgomery County,Miamisburg,12,OH05708,MIAMISBURG,"20,064",18,0.0,6.0,6,6
468,Montgomery County,Moraine,12,OH05709,MORAINE,"6,378",35,0.0,7.0,21,7
469,Montgomery County,Clayton,12,OH05711,CLAYTON,"13,156",8,1.0,0.0,6,1
470,Montgomery County,Trotwood,12,OH05712,TROTWOOD,"24,100",84,4.0,17.0,42,21
471,Montgomery County,Vandalia,12,OH05713,VANDALIA,"15,106",26,0.0,6.0,11,9
473,Montgomery County,West Carrollton,12,OH05715,WEST CARROLLTON,"12,983",38,0.0,14.0,17,7
474,Montgomery County,Brookville,12,OH05716,BROOKVILLE,"5,895",3,0.0,2.0,1,0
475,Montgomery County,Englewood,12,OH05718,ENGLEWOOD,"13,450",18,0.0,11.0,4,3
476,Montgomery County,New Lebanon,12,OH05720,NEW LEBANON,"3,986",6,0.0,1.0,1,4
492,Muskingum County,Zanesville,12,OH06001,ZANESVILLE,"25,337",92,1.0,11.0,19,61
493,Muskingum County,Dresden,6,OH06003,DRESDEN,"1,733",0,0.0,0.0,0,0
494,Muskingum County,Frazeysburg,12,OH06004,FRAZEYSBURG,"1,315",0,0.0,0.0,0,0
495,Muskingum County,New Concord,12,OH06006,NEW CONCORD,"2,299",0,0.0,0.0,0,0
496,Muskingum County,Roseville,12*,OH06009,ROSEVILLE,750,2,0.0,0.0,0,2
