County,City,POPULATION,VIOLENT CRIME,MURDER,FORCIBLE RAPE,ROBBERY,AGG ASSAULT
#N/A,#N/A,2496,10,1,2,6,1
#N/A,#N/A,3684,,,,,
#N/A,#N/A,18270,16,,,7,9
#N/A,#N/A,2427,4,,,2,2
#N/A,#N/A,,1,,,1,
#N/A,#N/A,,1,,,,1
#N/A,#N/A,,,,,,
#N/A,#N/A,68231,130,2,6,64,58
#N/A,#N/A,,,,,,
Fulton County,Delta,3088,,,,,
#N/A,#N/A,1278,2,,2,,
Fulton County,Swanton,3565,,,,,
Fulton County,Wauseon,7301,6,,2,1,3
#N/A,#N/A,22948,24,1,3,,20
#N/A,#N/A,,,,,,
#N/A,#N/A,3644,8,,1,3,4
#N/A,#N/A,835,2,,,,2
#N/A,#N/A,,,,,,
#N/A,#N/A,26357,18,2,4,7,5
#N/A,#N/A,,,,,,
#N/A,#N/A,115,,,,,
Geauga County,Chardon,5139,12,3,,1,8
Geauga County,Burton,1453,,,,,
Geauga County,Middlefield,2690,,,,,
#N/A,#N/A,3803,1,,,,1
#N/A,#N/A,5180,,,,,
#N/A,#N/A,,,,,,
#N/A,#N/A,53231,19,,5,4,10
#N/A,#N/A,,,,,,
#N/A,#N/A,32618,57,2,11,24,20
Greene County,Xenia,25923,60,,14,20,26
Greene County,Yellow Springs,3516,3,,,1,2
Greene County,Bellbrook,7001,3,,1,1,1
#N/A,#N/A,2008,1,,1,,
Greene County,Beavercreek,45563,25,,6,13,6
#N/A,#N/A,,6,,5,,1
#N/A,#N/A,8104,5,,1,,4
#N/A,#N/A,,1,,,,1
#N/A,#N/A,2,,,,,
#N/A,#N/A,471,,,,,
#N/A,#N/A,37630,25,1,12,4,8
#N/A,#N/A,,,,,,
Guernsey County,Cambridge,10592,62,1,8,13,40
#N/A,#N/A,26450,6,2,1,3,
#N/A,#N/A,,,,,,
Hamilton County,Cincinnati,296204,2903,47,199,1726,931
#N/A,#N/A,29,,,,,
#N/A,#N/A,935,,,,,
#N/A,#N/A,3576,2,,,2,
#N/A,#N/A,742,2,,1,,1
Hamilton County,Blue Ash,12082,7,,,3,4
#N/A,#N/A,8352,9,,1,7,1
Hamilton County,Cleves,3225,1,,,,1
Hamilton County,Deer Park,5723,11,,1,2,8
#N/A,#N/A,29433,13,,3,6,4
#N/A,#N/A,2183,1,,,,1
#N/A,#N/A,2761,5,,,4,1
Hamilton County,Forest Park,18672,28,1,4,23,
#N/A,#N/A,2150,1,,,1,
Hamilton County,Greenhills,3605,1,,,,1
Hamilton County,Harrison,9870,8,,1,4,3
#N/A,#N/A,5771,,,,,
#N/A,#N/A,3279,24,1,4,12,7
#N/A,#N/A,3441,25,2,,16,7
#N/A,#N/A,9323,2,,1,,1
Hamilton County,Madeira,8704,,,,,
#N/A,#N/A,3393,,,,,
Hamilton County,Montgomery,10224,1,,,1,
#N/A,#N/A,6084,1,,1,,
#N/A,#N/A,2665,,,,,
#N/A,#N/A,9371,6,,,4,2
Hamilton County,Norwood,19158,64,1,9,43,11
#N/A,#N/A,11167,11,,5,5,1
#N/A,#N/A,4769,6,,,5,1
#N/A,#N/A,11194,41,,4,26,11
#N/A,#N/A,36225,47,1,3,28,15
#N/A,#N/A,3286,11,,1,4,6
#N/A,#N/A,8407,7,,,,7
#N/A,#N/A,,13,,1,4,8
#N/A,#N/A,58345,16,,,,16
#N/A,#N/A,,,,,,
#N/A,#N/A,163708,275,4,54,136,81
#N/A,#N/A,,1,,1,,
#N/A,#N/A,,,,,,
#N/A,#N/A,175,,,,,
Hancock County,Findlay,41348,77,,19,20,38
Hancock County,McComb,1655,,,,,
#N/A,#N/A,2942,4,,1,1,2
#N/A,#N/A,28931,4,,1,,3
#N/A,#N/A,,,,,,
#N/A,#N/A,5947,6,,3,1,2
#N/A,#N/A,8251,6,,1,4,1
#N/A,#N/A,1458,1,,,1,
