County,City,AGENCY NAME,POPULATION,VIOLENT CRIME,PROPERTY CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT,BURGLARY,LARCENY,MTR VEHICLE THEFT,ARSON
Cuyahoga County,Bay Village,BAY VILLAGE,"15,346",2,64,0,1,0,1,12,49,3,0
Cuyahoga County,Bedford,BEDFORD,"12,678",30,255,0,1,18,11,29,187,39,0
#N/A,#N/A,BEDFORD HEIGHTS,"10,594",28,290,0,4,9,15,71,176,43,0
#N/A,#N/A,BENTLEYVILLE VILLAGE,855,0,1,0,0,0,0,0,1,0,0
Cuyahoga County,Berea,BEREA,"18,805",11,181,0,2,5,4,19,154,8,1
Cuyahoga County,Brecksville,BRECKSVILLE,"13,390",4,54,0,0,2,2,5,47,2,1
Cuyahoga County,Broadview Heights,BROADVIEW HEIGHTS,"19,186",0,24,0,0,0,0,7,17,0,0
#N/A,#N/A,BROOKLYN,"10,841",29,673,2,5,15,7,44,585,44,0
#N/A,#N/A,CHAGRIN FALLS,"4,003",4,27,2,1,0,1,3,24,0,0
Cuyahoga County,Cleveland Heights,CLEVELAND HEIGHTS,"44,696",145,997,3,9,80,53,118,781,98,3
#N/A,#N/A,EAST CLEVELAND,"17,240",111,342,7,4,66,34,94,131,117,4
Cuyahoga County,Euclid,EUCLID,"47,416",275,"1,329",8,17,107,143,343,804,182,5
Cuyahoga County,Fairview Park,FAIRVIEW PARK,"16,318",32,227,0,0,6,26,35,183,9,0
Cuyahoga County,Garfield Heights,GARFIELD HEIGHTS,"27,938",37,190,0,7,17,13,74,116,0,2
#N/A,#N/A,GLENWILLOW,926,0,7,0,0,0,0,0,6,1,0
#N/A,#N/A,HIGHLAND HEIGHTS,"8,402",1,99,0,0,1,0,5,93,1,0
#N/A,#N/A,INDEPENDENCE,"7,132",11,120,0,0,1,10,6,111,3,0
Cuyahoga County,Lakewood,LAKEWOOD,"50,349",63,876,3,8,32,20,144,665,67,4
Cuyahoga County,Lyndhurst,LYNDHURST,"13,624",14,194,0,5,6,3,19,169,6,2
#N/A,#N/A,MAYFIELD HEIGHTS,"18,770",14,189,0,0,9,5,11,176,2,0
#N/A,#N/A,MORELAND HILLS,"3,303",1,10,0,0,1,0,3,7,0,0
Cuyahoga County,North Olmsted,NORTH OLMSTED,"31,851",26,619,1,6,13,6,69,512,38,0
#N/A,#N/A,OLMSTED TOWNSHIP,"13,228",1,43,0,0,1,0,15,25,3,0
Cuyahoga County,Olmsted Falls,OLMSTED FALLS,"8,859",3,30,0,0,0,3,11,17,2,0
Cuyahoga County,Parma,PARMA,"79,576",108,"1,102",0,26,43,39,271,712,119,11
#N/A,#N/A,PEPPER PIKE,"6,247",1,32,0,0,1,0,6,25,1,0
Cuyahoga County,Richmond Heights,RICHMOND HEIGHTS,"10,445",27,249,0,2,15,10,56,165,28,0
Cuyahoga County,Rocky River,ROCKY RIVER,"20,400",7,81,0,1,0,6,15,62,4,0
Cuyahoga County,Seven Hills,SEVEN HILLS,"11,661",4,64,0,1,1,2,16,46,2,0
Cuyahoga County,Solon,SOLON,"22,971",11,175,1,5,1,4,15,154,6,1
Cuyahoga County,South Euclid,SOUTH EUCLID,"21,686",35,570,0,4,23,8,57,474,39,0
Cuyahoga County,Strongsville,STRONGSVILLE,"44,626",19,882,0,0,14,5,65,797,20,1
#N/A,#N/A,UNIVERSITY HEIGHTS,"13,131",45,305,0,7,27,11,29,260,16,4
#N/A,#N/A,VALLEY VIEW,"2,007",0,35,0,0,0,0,8,23,4,0
#N/A,#N/A,WALTON HILLS,"2,236",0,29,0,0,0,0,3,24,2,0
Cuyahoga County,Westlake,WESTLAKE,"32,353",14,461,0,0,5,9,37,403,21,3
#N/A,#N/A,WOODMERE VILLAGE,859,2,56,0,1,0,1,1,38,17,0
#N/A,#N/A,CLEVELAND STATE UNIVERSITY,0,8,187,0,4,3,1,3,178,6,0
#N/A,#N/A,LINNDALE,175,0,1,0,0,0,0,1,0,0,0
#N/A,#N/A,CLEVELAND METRO PARK,0,12,164,0,5,5,2,3,159,2,3
#N/A,#N/A,CUYAHOGA COMMUNITY COLLEGE,0,3,66,0,1,1,1,4,58,4,0
#N/A,#N/A,GREENVILLE,"12,962",44,315,0,13,8,23,74,217,24,14
#N/A,#N/A,UNION CITY,"1,632",0,8,0,0,0,0,1,7,0,0
#N/A,#N/A,DARKE COUNTY SHERIFF,"33,140",6,44,0,0,0,6,16,27,1,2
Defiance County,Defiance,DEFIANCE,"16,697",25,341,0,16,1,8,42,291,8,3
#N/A,#N/A,DEFIANCE COUNTY SHERIFF,"18,017",22,141,1,13,3,5,38,102,1,0
#N/A,#N/A,COLUMBUS,"8,024",41,316,1,8,19,13,70,214,32,4
#N/A,#N/A,DELAWARE,"38,658",73,890,0,35,14,24,154,714,22,7
Delaware County,Ostrander,OSTRANDER,697,1,0,0,0,0,1,0,0,0,0
Delaware County,Powell,POWELL,"13,273",0,106,0,0,0,0,24,80,2,0
#N/A,#N/A,SHAWNEE HILLS,746,0,6,0,0,0,0,2,4,0,0
#N/A,#N/A,SUNBURY,"5,242",0,56,0,0,0,0,9,46,1,0
#N/A,#N/A,DUBLIN,"4,476",2,51,0,1,0,1,10,40,1,0
#N/A,#N/A,WESTERVILLE,"8,411",5,202,0,2,2,1,16,183,3,1
#N/A,#N/A,DELAWARE COUNTY SHERIFF,"90,604",63,"1,107",1,23,14,25,246,847,14,5
Erie County,Sandusky,SANDUSKY,"25,078",45,911,1,6,19,19,199,680,32,3
#N/A,#N/A,VERMILION,"4,621",1,47,0,0,0,1,6,40,1,0
#N/A,#N/A,BAY VIEW,609,0,3,0,0,0,0,1,2,0,0
Erie County,Milan,MILAN,984,1,19,0,1,0,0,4,15,0,0
#N/A,#N/A,PERKINS TOWNSHIP,"11,844",16,308,0,0,7,9,5,303,0,0
#N/A,#N/A,CEDAR POINT,0,0,16,0,0,0,0,1,15,0,0
#N/A,#N/A,BELLEVUE,2,0,0,0,0,0,0,0,0,0,0
#N/A,#N/A,ERIE COUNTY SHERIFF,"24,027",3,378,0,0,1,2,84,289,5,0
#N/A,#N/A,COLUMBUS,"10,285",54,422,1,10,26,17,93,286,43,5
Fairfield County,Lancaster,LANCASTER,"39,959",141,"1,826",0,30,46,65,271,"1,499",56,6
Fairfield County,Baltimore,BALTIMORE,"2,970",1,25,0,0,0,1,7,16,2,0
Fairfield County,Carroll,CARROLL,519,0,6,0,0,0,0,0,6,0,0
Fairfield County,Lithopolis,LITHOPOLIS,"1,350",0,13,0,0,0,0,3,10,0,0
#N/A,#N/A,MILLERSPORT,"1,050",0,2,0,0,0,0,0,2,0,0
Fairfield County,Pickerington,PICKERINGTON,"19,964",16,428,0,0,10,6,42,380,6,0
#N/A,#N/A,REYNOLDSBURG,927,2,33,0,0,1,1,4,28,1,0
