,County,City,POPULATION,VIOLENT CRIME,MURDER,FORCIBLE RAPE,ROBBERY,AGG ASSAULT
500,Medina County,Spencer,758.0,,,,,
501,Medina County,Hinckley,7688.0,1.0,,,1.0,
514,Mercer County,Celina,10405.0,9.0,,6.0,,3.0
515,Mercer County,Coldwater,4430.0,,,,,
516,Mercer County,Fort Recovery,1429.0,1.0,,,,1.0
517,Mercer County,Rockford,1121.0,,,,,
518,Mercer County,Saint Henry,2428.0,,,,,
521,Miami County,Piqua,20591.0,24.0,1.0,7.0,13.0,3.0
522,Miami County,Tipp City,9720.0,6.0,,1.0,4.0,1.0
523,Miami County,Troy,25141.0,17.0,,3.0,13.0,1.0
524,Miami County,Covington,2593.0,,,,,
531,Montgomery County,Dayton,142139.0,1401.0,26.0,116.0,638.0,621.0
532,Montgomery County,Centerville,24105.0,19.0,,2.0,5.0,12.0
533,Montgomery County,Germantown,5574.0,5.0,,2.0,,3.0
534,Montgomery County,Kettering,55952.0,50.0,,22.0,20.0,8.0
536,Montgomery County,Miamisburg,20273.0,32.0,,7.0,11.0,14.0
537,Montgomery County,Moraine,6336.0,29.0,,5.0,16.0,8.0
538,Montgomery County,Clayton,13268.0,9.0,,2.0,5.0,2.0
539,Montgomery County,Trotwood,24540.0,76.0,1.0,16.0,48.0,11.0
540,Montgomery County,Vandalia,15316.0,21.0,,4.0,5.0,12.0
541,Montgomery County,Huber Heights,37314.0,32.0,,4.0,11.0,17.0
542,Montgomery County,West Carrollton,13203.0,25.0,,7.0,10.0,8.0
543,Montgomery County,Brookville,5910.0,11.0,,3.0,2.0,6.0
544,Montgomery County,Englewood,13526.0,9.0,,2.0,5.0,2.0
545,Montgomery County,New Lebanon,4013.0,6.0,,4.0,,2.0
565,Muskingum County,Zanesville,25529.0,104.0,2.0,9.0,41.0,52.0
566,Muskingum County,Frazeysburg,1329.0,,,,,
567,Muskingum County,New Concord,2494.0,,,,,
573,Ottawa County,Oak Harbor,2758.0,1.0,,,1.0,
574,Ottawa County,Port Clinton,6050.0,5.0,,,2.0,3.0
575,Ottawa County,Genoa,2335.0,2.0,,,,2.0
576,Ottawa County,Marblehead,902.0,,,,,
581,Paulding County,Paulding,3568.0,2.0,,1.0,1.0,
582,Paulding County,Oakwood,605.0,,,,,
587,Perry County,Crooksville,2551.0,,,,,
588,Perry County,New Lexington,4791.0,5.0,,,,5.0
591,Perry County,Somerset,1490.0,1.0,,,1.0,
592,Perry County,Thornville,1002.0,,,,,
595,Pickaway County,Circleville,13388.0,31.0,1.0,6.0,14.0,10.0
596,Pickaway County,Ashville,4120.0,1.0,,,,1.0
597,Pickaway County,Commercial Point,1590.0,2.0,,,,2.0
604,Portage County,Aurora,15567.0,7.0,,2.0,2.0,3.0
605,Portage County,Kent,28933.0,62.0,,7.0,18.0,37.0
606,Portage County,Hiram,1407.0,,,,,
608,Portage County,Streetsboro,16049.0,5.0,,,,5.0
614,Preble County,Eaton,8369.0,17.0,,3.0,1.0,13.0
617,Preble County,West Alexandria,1352.0,3.0,,1.0,,2.0
620,Putnam County,Ottawa,4438.0,1.0,,1.0,,
622,Putnam County,Leipsic,2081.0,,,,,
627,Richland County,Mansfield,47480.0,178.0,1.0,27.0,93.0,57.0
630,Richland County,Plymouth,940.0,,,,,
