,County,City,MONTH,ORI,AGENCY NAME,POPULATION,VIOLENT CRIME,PROPERTY CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT
502,Medina County,Lodi,12,OH05208,LODI,"2,778",1,53,,,,1
503,Medina County,Seville,6,OH05209,SEVILLE,"2,333",2,3,,1,1,
504,Medina County,Hinckley,12,OH05212,HINCKLEY TOWNSHIP,"7,777",2,64,,2,,
518,Mercer County,Celina,12,OH05401,CELINA,"10,392",11,377,,4,3,4
519,Mercer County,Coldwater,10,OH05404,COLDWATER,"4,451",2,44,,,,2
520,Mercer County,Fort Recovery,12,OH05405,FORT RECOVERY,"1,422",,11,,,,
521,Mercer County,Rockford,9,OH05408,ROCKFORD,"1,117",,7,,,,
522,Mercer County,Saint Henry,10,OH05409,ST. HENRY,"2,480",,3,,,,
525,Miami County,Piqua,12,OH05502,PIQUA,"20,656",33,"1,044",,18,14,1
526,Miami County,Tipp City,12,OH05503,TIPP CITY,"9,799",9,193,,4,3,2
527,Miami County,Troy,12,OH05504,TROY,"25,424",20,797,,4,9,7
528,Miami County,Covington,12,OH05506,COVINGTON,"2,596",1,34,,,,1
570,Muskingum County,Zanesville,12,OH06001,ZANESVILLE,"25,378",109,"1,614",1.0,16,38,54
571,Muskingum County,Dresden,2,OH06003,DRESDEN,"1,515",,,,,,
572,Muskingum County,Frazeysburg,7,OH06004,FRAZEYSBURG,"1,318",1,4,,1,,
573,Muskingum County,New Concord,12,OH06006,NEW CONCORD,"2,489",1,4,,,,1
574,Muskingum County,Roseville,12*,OH06009,ROSEVILLE,752,1,10,,,,1
579,Ottawa County,Oak Harbor,12,OH06201,OAK HARBOR,"2,750",3,50,,1,,2
580,Ottawa County,Port Clinton,12,OH06202,PORT CLINTON,"6,046",16,153,,6,2,8
582,Ottawa County,Genoa,6,OH06205,GENOA,"2,332",1,2,,,,1
583,Ottawa County,Marblehead,9,OH06206,MARBLEHEAD,899,,,,,,
588,Paulding County,Paulding,12,OH06301,PAULDING,"3,521",,16,,,,
589,Paulding County,Oakwood,7,OH06309,"OAKWOOD, PAULDING COUNTY",594,,1,,,,
594,Perry County,Crooksville,11,OH06401,CROOKSVILLE,"2,513",,18,,,,
595,Perry County,New Lexington,12,OH06402,NEW LEXINGTON,"4,749",14,183,,3,2,9
598,Perry County,Somerset,9,OH06411,SOMERSET,"1,471",,33,,,,
599,Perry County,Thornville,9,OH06412,THORNVILLE,995,,13,,,,
602,Pickaway County,Circleville,12,OH06501,CIRCLEVILLE,"13,491",23,800,,12,4,7
603,Pickaway County,Ashville,12,OH06502,ASHVILLE,"4,118",1,43,,,1,
604,Pickaway County,Commercial Point,12,OH06503,COMMERCIAL POINT,"1,587",,18,,,,
611,Portage County,Aurora,12,OH06701,AURORA,"15,457",9,158,,1,3,5
612,Portage County,Kent,12,OH06703,KENT,"30,121",56,661,,5,26,25
613,Portage County,Windham,12,OH06706,WINDHAM,"2,185",2,35,,1,,1
614,Portage County,Hiram,3,OH06708,HIRAM,"1,450",,3,,,,
615,Portage County,Kent,12,OH06711,KENT STATE UNIVERSITY,,1,174,,1,,
622,Preble County,Camden,6,OH06802,CAMDEN,"2,002",,2,,,,
625,Preble County,West Alexandria,12,OH06809,WEST ALEXANDRIA,"1,355",,20,,,,
628,Putnam County,Ottawa,9,OH06901,OTTAWA,"4,404",,4,,,,
629,Putnam County,Columbus Grove,5,OH06904,COLUMBUS GROVE,"2,086",1,1,,,,1
630,Putnam County,Leipsic,7,OH06911,LEIPSIC,"2,056",1,13,,,,1
632,Putnam County,Pandora,3,OH06914,PANDORA,"1,143",,3,,,,
637,Richland County,Mansfield,12,OH07001,MANSFIELD,"46,832",180,"3,192",,44,82,54
640,Richland County,Plymouth,05*,OH07003,PLYMOUTH,930,,4,,,,
641,Richland County,Shelby,12,OH07004,SHELBY,"9,131",11,366,,6,4,1
642,Richland County,Bellville,10,OH07005,BELLVILLE,"1,887",,15,,,,
643,Richland County,Lexington,1,OH07007,LEXINGTON,"4,751",2,7,,2,,
647,Ross County,Chillicothe,12,OH07101,CHILLICOTHE,"21,679",73,"1,948",,8,29,36
650,Sandusky County,Clyde,6,OH07202,CLYDE,"6,281",2,88,,1,,1
651,Sandusky County,Fremont,12,OH07203,FREMONT,"16,515",42,959,,1,14,27
662,Shelby County,Sidney,12,OH07501,SIDNEY,"20,980",35,"1,243",,8,18,9
663,Shelby County,Fort Loramie,3,OH07504,FORT LORAMIE,"1,498",,3,,,,
668,Stark County,Canton,12,OH07604,CANTON,"72,598",673,"4,253",11.0,72,357,233
669,Stark County,Massillon,12,OH07608,MASSILLON,"32,159",73,987,,15,31,27
670,Stark County,Alliance,12*,OH07601,ALLIANCE,"22,104",83,977,1.0,14,12,56
671,Stark County,Brewster,12,OH07602,BREWSTER,"2,163",,13,,,,
672,Stark County,Canal Fulton,12,OH07603,CANAL FULTON,"5,486",1,80,,,,1
675,Stark County,Louisville,12,OH07607,LOUISVILLE,"9,143",6,184,,,2,4
