RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07
10315,Beavercreek,Ohio,1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170100,170900,1.63E+05,150600,155600,172600,181800,168800,148400,140500,143600,156100,168100,169200,164300,1.57E+05,163400,1.59E+05,158600,152400,143600,144100,143900,153700,150100,145200,145700,145300,159400,154900,159100,152100,158500,158200,160100,1.59E+05,159400,1.55E+05,145100,140500,140400,155300,157100,155600,139900,138600,141200,1.59E+05,161600,164100,155500,157400,167900,171300,171100,162100,1.62E+05,165200,161400,163600,163100,166200,166700,163900,165900,168400,172400,171100,170200,169300,167500,164900,163400,167800,170100,1.75E+05,176100,173300,173400,176200,1.81E+05,178400,176500,176900,174100,173400,174100,180800,209600,208700,206700,200800,200500,203400,185100,191400,191800,197800,191100,199300,203400,205900,196800,186100,1.89E+05,189700,1.92E+05,
45221,Fairfield,Ohio,1025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118300,1.25E+05,123800,139800,130900,130400,115400,122700,126600,130100,132900,126400,126200,123300,123100,124800,124500,124100,124500,109300,105400,102300,122800,129100,132400,127700,127500,123200,110700,114600,120100,133600,135300,138100,139200,137600,135500,140600,140400,140800,141300,140900,135300,134800,126600,132400,130500,140600,141400,140500,146200,1.48E+05,151600,150300,1.54E+05,154800,149300,136800,137100,144400,156700,152800,149800,146400,147200,149800,155700,157300,163900,163100,171700,163900,160500,
24624,Euclid,Ohio,1036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39900,3.90E+04,36400,36400,38200,4.70E+04,46700,4.70E+04,55300,54600,56500,41100,41200,41300,44500,44900,39600,35700,38600,41700,43900,42400,42900,42100,43300,4.40E+04,45500,4.70E+04,5.10E+04,45800,46800,46400,55500,5.80E+04,53600,54800,50400,53200,53200,53800,5.80E+04,57700,6.10E+04,59600,60600,59600,59800,61400,62400,66100,66500,65700,62300,60400,58700,59300,63300,6.70E+04,67500,64900,63800,63600,72300,74400,77200,72900,72400,76100
5398,Kent,Ohio,1046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121600,115700,91100,94900,93700,114100,113100,114900,105400,104100,109100,1.11E+05,115800,113700,117100,107600,104700,97500,1.01E+05,103300,107300,104100,106100,118600,135700,137700,125700,1.17E+05,118700,114200,114800,111700,119100,126200,1.32E+05,1.37E+05,132500,124200,123200,123800,126800,137900,140100,136600,124200,129700,140400,144300,143400,143700,142700,137600,167100,167200,1.61E+05,123900,122900,125100,128700,1.27E+05,126300,126200,128100,131500,132400,134400,142100,150700,1.59E+05,155300,149500,142200,134400,138300,143600,150400,156100,153300,151100,145600,143800,143300,136600,142700,164800,171200,166800,148200,137600,1.40E+05,131200,142900,142600,154700,146500
21386,Wooster,Ohio,1051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126600,128400,121800,125100,125600,116900,101700,99800,106300,118100,119600,120400,123400,112500,117400,123100,144800,1.43E+05,131800,119400,112700,118100,117900,125200,118200,118400,120400,118500,124100,126100,128800,127800,124200,126700,122500,119400,124600,1.27E+05,126600,126400,123600,120100,115700,115900,121800,122400,124200,1.25E+05,125600,1.27E+05,1.30E+05,135500,142800,132600,1.35E+05,1.31E+05,131100,127300,134800,146200,145200,142800,152400,147700,135100,121400,126800,134700,125800,127900,131500,147100,152600,148400,142100,1.41E+05,142300,1.50E+05,1.57E+05,158800,161600,1.52E+05,149500,142100,139500,143500,146800,157200,156800,148400,142100,144400,149200,145900,142200,
50327,Brunswick,Ohio,1053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143100,137500,136700,125800,123600,120300,118100,1.23E+05,130100,134800,1.45E+05,145100,147900,144800,1.51E+05,152900,151300,150800,153200,148700,148100,154200,165500,1.72E+05,1.68E+05,163900,154800,150100,149600,161900,163400,167900,158300,1.58E+05,152400,1.52E+05,150100,150900,153100,156500,163400,167200,163400,157400,154100,155600,1.54E+05,1.52E+05,146300,153200,154800,161500,158100,157800,158300,158100,1.51E+05,153100,166800,180400,185100,1.72E+05,1.71E+05,170100,173400,170300,174700,173600,185200,180900,181500,172600,172400,174800,174800,179200,180900,191100,187200,188400,178300,178400,1.81E+05,176600,185100,187100,190400,185800,186600
56162,Painesville,Ohio,1121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120500,126500,130300,124100,122500,1.22E+05,125300,111400,104900,1.03E+05,118600,120200,1.20E+05,121300,118200,122900,126500,129200,117400,116300,120300,129800,130900,1.33E+05,129900,124400,126700,1.31E+05,134700,131600,123700,140300,138800,149900,138400,134100,132600
38999,Hilliard,Ohio,1135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204700,205900,213500,210900,216800,214400,220800,225300,233500,240600,2.39E+05,237300,234300,234600,2.31E+05,234600,236200,224300,227100,2.27E+05,237900,234600,2.34E+05,237700,2.44E+05,250500,250400,243300,246500,252600,256600,271800,275700,273900,260300,260700,265300,260800,257300,252300,251900,252200,2.53E+05,264800,286700,300200,295200,273600,267200,264200
23789,Bowling Green,Ohio,1156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126700,1.47E+05,156400,155700,150900,160500,156400,135900,1.22E+05,124500,1.32E+05,134300,131400,133700,1.40E+05,143100,151600,148600,152800,140500,145700,143800,149100,142600,145100,145600,149200,144100,143900,144300,140200,150100,150700,152500,153900,155500,152500,143600,1.43E+05,144200,138400,133300,1.38E+05,144800,147900,144900,147900,153600,159400,165800,157800,148800,137700,151300,162300,166600,163600,164400,1.67E+05,1.67E+05,1.65E+05,162800,159800,165100,180400,206300,198800,182500,153500,153700,163800,163300,165200,158600,1.82E+05,189500,182900,163500,1.63E+05,158300,163700,154100,
5586,Lebanon,Ohio,1166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210300,202500,199700,204300,204500,1.95E+05,189700,179500,1.88E+05,191400,196500,190100,193800,198600,204600,197800,195500,198300,2.02E+05,202500,195100,195800,203300,2.08E+05,211800,201100,208300,2.09E+05,212300,2.01E+05,196700,190900,194900,203400,225700,239500,239800,226900,220700,218400,
39769,Miamisburg,Ohio,1182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93400,89500,8.80E+04,97200,101900,101600,102200,96700,8.90E+04,94600,101800,109100,108900,116400,112300,110100,116700,135200,142900,132700,125400,110900,112800,109400,109100,111700,109800,117100,113100,116900,107800,112700,115600,117100,121300,110100,113400,110800,118500,123600,121200,119700,122700,125100,127600,124100,123500,117800,122700,118700,124200,117700,125600,118700,117900,117100,121600,133300,132100,140800,1.37E+05,138700,128400,126100,121900,128100,138200,137200,126900,119500,127100,139700,142200,133700,136300,130300,147200,148800,154400,149900,139900,145500,141400,155500,151100,168800,164800,162400,147700,151300,168300,1.65E+05,159500,148400,148200,147200,147700,150600,
19911,Perrysburg,Ohio,1197,1.78E+05,171700,170600,182100,174400,167300,153500,152900,1.81E+05,1.90E+05,198800,167300,157300,147200,158300,162400,166100,160500,152600,144400,165700,175800,188800,174400,174400,167100,170800,176200,177600,175400,159100,1.64E+05,1.61E+05,171200,183800,1.78E+05,177600,164800,173200,169800,172100,174600,174400,187100,188200,201600,205400,188400,182900,148900,163500,166400,175100,174900,149600,161900,160100,194800,187300,197400,196200,195300,1.89E+05,178300,177500,175700,1.69E+05,1.70E+05,173600,173400,170300,177200,1.75E+05,180500,168900,180900,185500,1.95E+05,1.92E+05,183400,175700,176900,188600,188800,190700,185600,189500,184300,182700,183800,192100,195100,191300,183100,198500,200300,207900,193100,196300,1.91E+05,201100,204700,205400,200500,203200,205100,2.03E+05,182200,179300,179700,199500,206200,204100,193300,193300,203200,213800,227800,224800,222200,208100,215300,221400,2.19E+05,203400,204800,208500,2.19E+05,217400,222700,221900,209600,213400,216800,227600,221900,
40554,Reynoldsburg,Ohio,1212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140200,149800,142900,139600,129800,132700,149300,150800,150300,142500,145600,149500,146100,151600,155500,161300,155600,161500,155900,1.58E+05,153600,155500,160600,1.55E+05,160600,157800,165400,166700,181300,182900,181100,161200,166700,165400,177700,172700,179500,180600,179200,178500,174200,173700,160600,160500,160200,170900,181200,174700
18647,Huber Heights,Ohio,1218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88900,82500,77200,78500,76300,79800,80600,82700,77700,75400,76800,71900,71800,72800,82200,87800,91800,90500,86200,8.80E+04,83600,86400,83800,88800,87800,88200,87500,85800,8.10E+04,82700,87100,105800,106400,93500,79100,79300,93300,95500,100800,99700,104700,100100,99300,95600,100400,105800,108600,107200,107500,106500,106200,99900,99200,100100,107200,108400,111200,110200,108800,108800,113100,116100,1.15E+05,117700,121400,124700,118700,127800,126500,125400,112300,116800,118400,120900,112800,116700,114600,
