ORI,AGENCY NAME,County Name,POPULATION,VIOLENT CRIME,PROPERTY CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT,BURGLARY,LARCENY,MTR VEHICLE THEFT,ARSON
OH01852,UNIVERSITY HEIGHTS,Cuyahoga County,"13,104",30,288,,4,19,7,16,257,15,
OH01853,VALLEY VIEW,Cuyahoga County,"2,007",1,47,,,,1,7,34,6,1
OH01854,WALTON HILLS,Cuyahoga County,"2,308",1,19,,1,,,7,11,1,
OH01856,HIGHLAND HILLS,Cuyahoga County,944,,,,,,,,,,
OH01857,WESTLAKE,Cuyahoga County,"32,330",13,366,,1,9,3,25,326,15,
OH01859,WOODMERE VILLAGE,Cuyahoga County,859,1,41,,,1,,,36,5,
OH01861,CLEVELAND STATE UNIVERSITY,Cuyahoga County,,13,146,,3,10,,6,124,16,
OH01862,LINNDALE,Cuyahoga County,177,,,,,,,,,,
OH01863,CLEVELAND METRO PARKS,Cuyahoga County,,14,106,,3,5,6,2,98,6,4
OH01864,CUYAHOGA COMMUNITY COLLEGE,Cuyahoga County,,,32,,,,,2,29,1,
OH01800,CUYAHOGA COUNTY SHERIFF,Cuyahoga County,,3,3,1,1,,1,,3,,
OH01901,GREENVILLE,DARKE COUNTY,"12,772",40,274,,13,7,20,36,217,21,7
OH01900,DARKE,DARKE COUNTY,"33,058",8,5,,,,8,3,2,,2
OH02001,DEFIANCE,DEFIANCE COUNTY ,"16,594",26,464,,14,3,9,54,390,20,1
OH02000,DEFIANCE,DEFIANCE COUNTY ,"18,083",13,135,,9,,4,31,100,4,1
OHCOP00,COLUMBUS,DELAWARE COUNTY,"8,276",45,344,1,9,20,15,71,231,42,4
OH02101,DELAWARE,DELAWARE COUNTY,"39,315",64,697,,35,8,21,119,556,22,11
OH02105,POWELL,DELAWARE COUNTY,"13,029",6,103,,2,2,2,12,90,1,
OH02106,SHAWNEE HILLS,DELAWARE COUNTY,785,,6,,,,,1,5,,
OH02107,SUNBURY,DELAWARE COUNTY,"5,360",1,26,,,1,,5,20,1,
OH02503,DUBLIN,DELAWARE COUNTY,"4,534",3,53,,1,1,1,6,45,2,
OH02510,WESTERVILLE,DELAWARE COUNTY,"8,531",9,205,,3,3,3,17,184,4,
OH02100,DELAWARE,DELAWARE COUNTY,"93,188",60,"1,139",,23,9,28,211,908,20,6
OH02202,HURON,ERIE COUNTY,"6,950",4,116,,1,1,2,24,92,,
OH02203,SANDUSKY,ERIE COUNTY,"24,861",70,995,1,13,31,25,187,769,39,2
OH02204,VERMILION,ERIE COUNTY,"4,603",1,41,,,,1,6,35,,
OH02205,BAY VIEW,ERIE COUNTY,603,,8,,,,,4,4,,
OH02206,BERLIN HEIGHTS,ERIE COUNTY,713,,,,,,,,,,
OH02208,MILAN,ERIE COUNTY,983,1,7,,1,,,,7,,
OH02210,PERKINS TOWNSHIP,ERIE COUNTY,"11,773",9,303,1,,6,2,10,292,1,
OH02211,CEDAR POINT,ERIE COUNTY,,,18,,,,,,18,,
OH02200,ERIE COUNTY SHERIFF,ERIE COUNTY,"24,187",3,292,,,,3,53,234,5,
OHCOP00,COLUMBUS,FAIRFIELD COUNTY,"10,505",54,412,2,11,24,17,85,277,50,5
OH02301,LANCASTER,FAIRFIELD COUNTY,"40,026",127,"1,706",,24,33,70,236,"1,382",88,12
OH02303,BALTIMORE,FAIRFIELD COUNTY,"2,973",,15,,,,,3,11,1,1
OH02306,CARROLL,FAIRFIELD COUNTY,520,,3,,,,,2,1,,
OH02307,LITHOPOLIS,FAIRFIELD COUNTY,"1,448",,13,,,,,4,9,,
OH02308,MILLERSPORT,FAIRFIELD COUNTY,"1,050",,2,,,,,1,1,,
OH02309,PICKERINGTON,FAIRFIELD COUNTY,"20,297",38,351,,6,12,20,20,315,16,
OH02312,SUGAR GROVE,FAIRFIELD COUNTY,433,,1,,,,,,1,,
OH02508,REYNOLDSBURG,FAIRFIELD COUNTY,936,3,26,,1,1,1,3,22,1,
OH02300,FAIRFIELD,FAIRFIELD COUNTY,"75,853",38,962,,15,6,17,153,793,16,2
OH02401,WASHINGTON COURT HO,FAYETTE COUNTY,"14,136",41,548,,16,14,11,79,459,10,4
OH02400,FAYETTE,FAYETTE COUNTY,"14,453",37,432,1,5,3,28,109,308,15,1
OHCOP00,COLUMBUS,FRANKLIN COUNTY,"853,424","4,379","33,652",139,899,"1,919","1,422","6,955","22,613","4,084",370
OH02307,LITHOPOLIS,FRANKLIN COUNTY,42,,,,,,,,,,
OH02309,PICKERINGTON,FRANKLIN COUNTY,76,,1,,,,,,1,,
OH025A1,CAPITAL UNIVERSITY,FRANKLIN COUNTY,,,53,,,,,10,41,2,
OH02501,BEXLEY,FRANKLIN COUNTY,"13,773",20,420,1,4,10,5,104,301,15,
OH02503,DUBLIN,FRANKLIN COUNTY,"39,242",27,456,1,10,8,8,51,388,17,1
OH02504,GAHANNA,FRANKLIN COUNTY,"35,243",25,791,1,13,5,6,87,677,27,6
OH02505,GRANDVIEW HEIGHTS,FRANKLIN COUNTY,"7,831",,43,,,,,5,37,1,
OH02506,GROVE CITY,FRANKLIN COUNTY,"40,421",47,"1,365",4,14,24,5,112,"1,197",56,
OH02507,HILLIARD,FRANKLIN COUNTY,"36,144",17,404,,6,2,9,75,293,36,2
OH02508,REYNOLDSBURG,FRANKLIN COUNTY,"27,631",71,780,1,16,35,19,98,656,26,3
OH02509,UPPER ARLINGTON,FRANKLIN COUNTY,"35,214",12,512,,3,6,3,88,417,7,2
OH02510,WESTERVILLE,FRANKLIN COUNTY,"30,887",35,740,,9,13,13,60,667,13,2
OH02511,WHITEHALL,FRANKLIN COUNTY,"18,835",125,"1,269",,11,69,45,187,"1,001",81,12
