ORI,AGENCY NAME,County Name,POPULATION,VIOLENT CRIME,PROPERTY CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT,BURGLARY,LARCENY,MTR VEHICLE THEFT,ARSON
OH08408,MARIETTA COLLEGE,Washington County,,,3,,,,,,3,,
OH08400,WASHINGTON COUNTY SHERIFF,Washington County,"37,799",9,146,,2,,7,39,98,9,1
OH07710,NORTON,Wayne County,4,,,,,,,,,,
OH08501,ORRVILLE,Wayne County,"8,527",15,107,,6,,9,17,84,6,
OH08502,RITTMAN,Wayne County,"6,496",9,107,,3,2,4,35,64,8,1
OH08503,WOOSTER,Wayne County,"27,172",102,916,,30,24,48,157,722,37,6
OH08504,APPLE CREEK,Wayne County,"1,188",2,4,,,,2,,4,,
OH08507,CRESTON,Wayne County,"2,097",1,20,,,,1,6,12,2,1
OH08511,MARSHALLVILLE,Wayne County,761,1,1,,1,,,,1,,
OH08514,SMITHVILLE,Wayne County,"1,277",1,1,,1,,,,1,,
OH08500,WAYNE COUNTY SHERIFF,Wayne County,"61,363",66,541,2,13,4,47,214,297,30,6
OH08602,MONTPELIER,Williams County,"3,976",27,139,,5,1,21,28,105,6,
OH08607,PIONEER,Williams County,"1,412",3,31,,2,,1,5,24,2,
OH08600,WILLIAMS COUNTY SHERIFF,Williams County,"19,588",4,24,,,1,3,11,10,3,
OH08701,BOWLING GREEN,Wood County,"31,779",41,587,,20,6,15,86,486,15,3
OH08702,NORTH BALTIMORE,Wood County,"3,546",10,46,,2,,8,9,36,1,
OH08703,PERRYSBURG,Wood County,"21,732",7,232,,3,4,,10,221,1,
OH08706,BLOOMDALE,Wood County,686,1,5,,,,1,3,2,,
OH08707,BRADNER,Wood County,"1,024",1,2,,,,1,,2,,
OH08718,NORTHWOOD,Wood County,"5,423",19,138,,2,4,13,17,116,5,
OH08719,PEMBERVILLE,Wood County,"1,425",,1,,,,,,1,,
OH08724,WAYNE,Wood County,927,,,,,,,,,,
OH08727,BOWLING GREEN STATE,Wood County,,,31,,,,,,31,,
OH08728,PERRYSBURG TOWNSHIP,Wood County,"12,784",5,167,,1,,4,21,139,7,
OH08700,WOOD COUNTY SHERIFF,Wood County,"29,991",26,343,2,12,1,11,99,228,16,3
OH08734,WOOD COUNTY PARK,Wood County,,,6,,,,,,6,,
