County,City,MONTH,ORI,AGENCY NAME,POPULATION,VIOLENT CRIME,PROPERTY CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT
#N/A,#N/A,12,OH03125,NEWTOWN,"2,664",2,33,,1,1,
#N/A,#N/A,12,OH03127,NORTH COLLEGE HILL,"9,340",25,418,,1,16,8
#N/A,#N/A,12,OH03128,NORWOOD,"19,052",70,"1,272",1,7,42,20
#N/A,#N/A,12*,OH03131,SHARONVILLE,"11,159",9,400,,2,5,2
#N/A,#N/A,12,OH03132,SILVERTON,"4,770",17,134,,5,3,9
#N/A,#N/A,12,OH03133,SPRINGDALE,"11,192",41,777,,6,24,11
#N/A,#N/A,12,OH03134,SPRINGFIELD TOWNSHIP,"36,330",74,842,4,3,44,23
#N/A,#N/A,12,OH03135,WOODLAWN,"3,283",12,117,1,,2,9
#N/A,#N/A,12,OH03136,WYOMING,"8,387",2,171,,,,2
#N/A,#N/A,12,OH03137,UNIVERSITY OF CINCINNATI,,7,349,,,4,3
#N/A,#N/A,12,OH03142,COLERAIN TOWNSHIP,"58,578",89,"1,781",4,6,47,32
#N/A,#N/A,5,OH03158,COLLEGE OF MOUNT ST JOSEPH,,,6,,,,
#N/A,#N/A,12,OH03100,HAMILTON COUNTY SHERIFF,"165,902",226,"4,747",3,43,96,84
#N/A,#N/A,12,OH03146,HAMILTON COUNTY PARKS,,,58,,,,
#N/A,#N/A,,,,,,,,,,
#N/A,#N/A,12*,OH00201,BLUFFTON,176,,3,,,,
Hancock County,Findlay,12,OH03201,FINDLAY,"41,660",76,"1,459",1,13,18,44
#N/A,#N/A,12,OH03200,HANCOCK COUNTY SHERIFF,"29,710",5,199,,2,,3
#N/A,#N/A,,,,,,,,,,
#N/A,#N/A,12,OH03301,ADA,"5,755",7,76,,2,,5
#N/A,#N/A,12,OH03302,KENTON,"8,171",13,352,1,2,3,7
#N/A,#N/A,12,OH03305,FOREST,"1,423",,19,,,,
#N/A,#N/A,12,OH03300,HARDIN COUNTY SHERIFF,"16,193",16,247,,2,3,11
#N/A,#N/A,,,,,,,,,,
#N/A,#N/A,12,OH03401,CADIZ,"3,313",1,23,,1,,
#N/A,#N/A,2,OH03407,JEWETT,683,,,,,,
#N/A,#N/A,1,OH03408,NEW ATHENS,326,,1,,,,
#N/A,#N/A,12,OH03400,HARRISON COUNTY SHERIFF,"11,255",,79,,,,
#N/A,#N/A,,,,,,,,,,
#N/A,#N/A,12,OH03501,NAPOLEON,"8,663",5,310,,2,1,2
#N/A,#N/A,6,OH03502,DESHLER,"1,796",,4,,,,
#N/A,#N/A,12,OH03500,HENRY COUNTY SHERIFF,"16,333",15,244,1,4,1,9
#N/A,#N/A,,,,,,,,,,
Highland County,Greenfield,12,OH03601,GREENFIELD,"4,538",4,216,,2,,2
Highland County,Hillsboro,12,OH03602,HILLSBORO,"6,495",9,316,,4,2,3
Highland County,Leesburg,12,OH03603,VILLAGE OF LEESBURG,"1,290",,37,,,,
Highland County,Lynchburg,01*,OH03604,LYNCHBURG,"1,470",1,,,,,1
#N/A,#N/A,12,OH03600,HIGHLAND COUNTY SHERIFF,"28,851",19,364,1,6,,12
#N/A,#N/A,,,,,,,,,,
#N/A,#N/A,01*,OH00506,BUCHTEL,15,,,,,,
Hocking County,Logan,12,OH03701,LOGAN,"7,153",7,342,1,1,5,
#N/A,#N/A,4,OH03700,HOCKING COUNTY SHERIFF,"22,127",1,56,,,1,
#N/A,#N/A,,,,,,,,,,
#N/A,#N/A,12*,OH00302,LOUDONVILLE,59,,1,,,,
#N/A,#N/A,12,OH03801,MILLERSBURG,"3,084",3,130,,1,1,1
#N/A,#N/A,12,OH03800,HOLMES COUNTY SHERIFF,"39,889",5,207,,,2,3
#N/A,#N/A,,,,,,,,,,
#N/A,#N/A,11*,OH02208,MILAN,362,1,4,,1,,
#N/A,#N/A,12,OH03901,NEW LONDON,"2,426",,21,,,,
#N/A,#N/A,12,OH03902,NORWALK,"16,906",19,542,,6,6,7
#N/A,#N/A,12,OH03907,MONROEVILLE,"1,392",,26,,,,
#N/A,#N/A,05*,OH07003,PLYMOUTH,900,,4,,,,
#N/A,#N/A,,,,,,,,,,
#N/A,#N/A,12,OH04001,JACKSON,"6,314",7,245,,2,2,3
#N/A,#N/A,12,OH04002,WELLSTON,"5,577",13,262,,4,2,7
#N/A,#N/A,12,OH04003,COALTON,469,2,46,1,,1,
#N/A,#N/A,12,OH04004,OAK HILL,"1,520",,36,,,,
#N/A,#N/A,8,OH04000,JACKSON COUNTY SHERIFF,"19,039",8,125,,3,2,3
#N/A,#N/A,,,,,,,,,,
#N/A,#N/A,6,OH04102,MINGO JUNCTION,"3,357",5,35,,,,5
#N/A,#N/A,12,OH04104,TORONTO,"4,937",9,8,,3,,6
Jefferson County,Wintersville,12,OH04105,WINTERSVILLE,"3,820",3,63,,,,3
#N/A,#N/A,1,OH04111,DILLONVALE,647,1,,,,1,
#N/A,#N/A,3,OH04122,SALINE TOWNSHIP,"1,312",,1,,,,
#N/A,#N/A,12,OH04124,WELLS TOWNSHIP,"2,755",3,64,,1,,2
#N/A,#N/A,12,OH04100,JEFFERSON COUNTY SHERIFF,"23,866",9,132,,,1,8
#N/A,#N/A,,,,,,,,,,
Knox County,Mount Vernon,12,OH04201,MOUNT VERNON,"16,748",20,896,,6,6,8
#N/A,#N/A,12,OH04203,DANVILLE,"1,021",,34,,,,
Knox County,Fredericktown,12,OH04204,FREDERICKTOWN,"2,469",,52,,,,
#N/A,#N/A,12*,OH04513,UTICA,20,,,,,,
#N/A,#N/A,12,OH04200,KNOX COUNTY SHERIFF,"40,468",24,621,,9,2,13
#N/A,#N/A,,,,,,,,,,
Lake County,Eastlake,12,OH04301,EASTLAKE,"18,423",16,432,,1,9,6
#N/A,#N/A,12,OH04302,FAIRPORT HARBOR,"3,097",10,132,,1,1,8
#N/A,#N/A,12,OH04304,KIRTLAND HILLS,643,,2,,,,
Lake County,Madison,8,OH04305,MADISON,"3,179",,23,,,,
Lake County,Mentor,12,OH04306,MENTOR,"46,979",43,"1,059",,20,11,12
#N/A,#N/A,11,OH04307,MENTOR-ON-THE-LAKE,"7,434",8,77,,3,1,4
Lake County,Painesville,12,OH04308,PAINESVILLE,"19,655",45,509,,7,32,6
#N/A,#N/A,12,OH04310,WAITE HILL,470,,2,,,,
Lake County,Wickliffe,5,OH04311,WICKLIFFE,"12,635",,59,,,,
Lake County,Willoughby,12,OH04312,WILLOUGHBY,"22,374",14,492,,3,4,7
#N/A,#N/A,5,OH04318,MADISON TOWNSHIP,"15,617",1,14,,,,1
#N/A,#N/A,12,OH04321,LAKELAND COMMUNITY,,1,24,,,,1
#N/A,#N/A,12,OH04322,KIRTLAND,"6,851",,36,,,,
#N/A,#N/A,12,OH04300,LAKE COUNTY SHERIFF,"45,832",195,301,,20,2,173
#N/A,#N/A,12,OH04324,LAKE METROPARKS,,,12,,,,
#N/A,#N/A,,,,,,,,,,
#N/A,#N/A,1,OH04401,COAL GROVE,"2,156",1,,,,,1
#N/A,#N/A,12,OH04402,IRONTON,"11,049",18,249,,,8,10
#N/A,#N/A,12,OH04407,SOUTH POINT,"3,959",8,52,,,,8
#N/A,#N/A,12,OH04400,LAWRENCE COUNTY SHERIFF,"44,017",42,811,,3,5,34
#N/A,#N/A,,,,,,,,,,
#N/A,#N/A,12*,OH02508,REYNOLDSBURG,"8,827",18,273,,2,12,4
#N/A,#N/A,12*,OH02521,NEW ALBANY,29,,,,,,
#N/A,#N/A,12,OH04501,NEWARK,"47,702",78,"2,558",,26,28,24
Licking County,Granville,2,OH04503,GRANVILLE,"5,634",,7,,,,
#N/A,#N/A,12,OH04507,HEATH,"10,410",20,603,,10,1,9
Licking County,Hebron,12,OH04508,HEBRON,"2,354",1,35,,1,,
Licking County,Johnstown,12,OH04509,JOHNSTOWN,"4,862",3,99,,1,1,1
#N/A,#N/A,5,OH04510,KIRKERSVILLE,529,,,,,,
#N/A,#N/A,2,OH04511,PATASKALA,"15,126",1,22,,,1,
Licking County,Saint Louisville,1,OH04512,ST. LOUISVILLE,374,,,,,,
#N/A,#N/A,12*,OH04513,UTICA,"2,109",3,71,,1,,2
#N/A,#N/A,4,OH04516,OHIO STATE UNIVERSITY: NEWARK,,1,9,,1,,
#N/A,#N/A,12,OH04500,LICKING COUNTY SHERIFF,"63,237",209,"1,129",2,20,9,178
#N/A,#N/A,,,,,,,,,,
Logan County,Bellefontaine,12,OH04601,BELLEFONTAINE,"13,147",45,583,,10,12,23
#N/A,#N/A,11,OH04602,RUSSELLS POINT,"1,365",2,25,,,,2
Logan County,De Graff,4,OH04604,DE GRAFF,"1,267",,2,,,,
Logan County,West Liberty,12,OH04610,WEST LIBERTY,"1,784",2,11,,,,2
#N/A,#N/A,12,OH04600,LOGAN COUNTY SHERIFF,"25,702",7,455,,2,1,4
#N/A,#N/A,,,,,,,,,,
#N/A,#N/A,12*,OH02204,VERMILION,"5,800",6,77,,1,2,3
#N/A,#N/A,12,OH04701,AMHERST,"12,040",9,219,,,8,1
Lorain County,Lorain,12,OH04705,LORAIN,"63,582",303,"2,804",6,30,161,106
#N/A,#N/A,12,OH04706,OBERLIN,"8,305",12,192,,4,4,4
Lorain County,North Ridgeville,12,OH04707,NORTH RIDGEVILLE,"30,905",14,266,,3,5,6
Lorain County,Sheffield Lake,12,OH04708,SHEFFIELD LAKE,"9,050",6,117,,3,2,1
Lorain County,Grafton,12,OH04710,GRAFTON,"5,716",4,17,,1,,3
#N/A,#N/A,12,OH04700,LORAIN COUNTY SHERIFF,"60,759",42,916,,13,13,16
#N/A,#N/A,11,OH04718,LORAIN COUNTY METRO PARK,,,3,,,,
#N/A,#N/A,,,,,,,,,,
Lucas County,Toledo,12,OH04807,TOLEDO,"283,035","2,902","7,167",28,129,962,"1,783"
#N/A,#N/A,11*,OH02604,SWANTON,109,,,,,,
Lucas County,Maumee,12,OH04801,MAUMEE,"14,081",12,534,,5,3,4
Lucas County,Oregon,12,OH04802,OREGON,"20,188",28,792,,8,9,11
#N/A,#N/A,12,OH04803,OTTAWA HILLS,"4,481",5,33,,,2,3
Lucas County,Sylvania,12,OH04806,SYLVANIA TOWNSHIP,"29,363",15,603,,,11,4
Lucas County,Holland,12,OH04810,HOLLAND,"1,758",8,257,,,5,3
Lucas County,Waterville,12,OH04811,WATERVILLE,"5,496",5,56,,3,,2
Lucas County,Whitehouse,12,OH04812,WHITEHOUSE,"4,325",3,22,,2,,1
#N/A,#N/A,12,OH04813,UNIVERSITY OF TOLED,,8,278,,1,3,4
#N/A,#N/A,12,OH04819,TOLEDO FIRE DEPARTMENT OF FIRE,,,,,,,
#N/A,#N/A,12,OH04800,LUCAS COUNTY SHERIFF,"50,884",69,723,,8,15,46
#N/A,#N/A,,,,,,,,,,
Madison County,London,12,OH04901,LONDON,"9,867",16,257,,3,4,9
Madison County,West Jefferson,12,OH04902,WEST JEFFERSON,"4,192",2,103,,,1,1
#N/A,#N/A,12*,OH04906,PLAIN CITY,"3,387",,8,,,,
#N/A,#N/A,12,OH04900,MADISON COUNTY SHERIFF,"25,221",12,601,,5,2,5
#N/A,#N/A,,,,,,,,,,
Mahoning County,Boardman,12,OH05002,BOARDMAN,"40,277",40,"1,673",1,3,34,2
Mahoning County,Youngstown,12*,OH05009,YOUNGSTOWN,"64,927",528,"3,581",14,27,170,317
#N/A,#N/A,12*,OH01501,COLUMBIANA,661,,11,,,,
#N/A,#N/A,12*,OH01506,SALEM,4,,,,,,
#N/A,#N/A,02*,OH01513,WASHINGTONVILLE,343,,,,,,
#N/A,#N/A,12,OH05001,AUSTINTOWN,"36,192",56,967,,12,14,30
#N/A,#N/A,6,OH05003,CAMPBELL,"8,093",1,64,,1,,
#N/A,#N/A,12,OH05004,CANFIELD,"7,411",2,75,,1,,1
#N/A,#N/A,12,OH05005,LOWELLVILLE,"1,129",,14,,,,
#N/A,#N/A,12,OH05006,POLAND VILLAGE,"2,510",,18,,,,
#N/A,#N/A,12,OH05007,SEBRING,"4,337",9,109,,2,2,5
Mahoning County,Struthers,12,OH05008,STRUTHERS,"10,522",11,168,,2,1,8
Mahoning County,New Middletown,10,OH05012,NEW MIDDLETOWN,"1,594",,7,,,,
#N/A,#N/A,12,OH05013,BEAVER TOWNSHIP,"6,606",7,135,,3,1,3
#N/A,#N/A,12,OH05014,YOUNGSTOWN STATE UNIVERSITY,,2,111,,1,1,
#N/A,#N/A,6,OH05015,SMITH TOWNSHIP,"4,380",1,28,,,1,
#N/A,#N/A,12,OH05016,SPRINGFIELD TOWNSHIP,"6,583",6,89,,1,,5
#N/A,#N/A,12,OH05018,GOSHEN TOWNSHIP,"3,178",8,110,,,,8
#N/A,#N/A,11,OH05019,MILL CREEK METROPARK,,1,16,,,1,
#N/A,#N/A,9,OH05020,MILTON TOWNSHIP,"2,504",2,41,,,,2
#N/A,#N/A,9,OH05021,JACKSON TOWNSHIP,"2,078",2,40,,,,2
#N/A,#N/A,12,OH05022,POLAND TOWNSHIP,"12,227",3,55,,1,,2
#N/A,#N/A,12,OH05023,COITSVILLE TOWNSHIP,"1,369",1,31,,,1,
#N/A,#N/A,12*,OH07601,ALLIANCE,40,,1,,,,
#N/A,#N/A,12,OH05000,MAHONING COUNTY SHERIFF,"16,457",,157,,,,
#N/A,#N/A,,,,,,,,,,
#N/A,#N/A,12,OH05101,MARION,"36,937",135,"1,976",1,29,66,39
#N/A,#N/A,4,OH05109,OHIO STATE UNIVERSITY: MARION,,,7,,,,
#N/A,#N/A,12,OH05100,MARION COUNTY SHERIFF,"29,367",42,"1,193",,9,20,13
#N/A,#N/A,,,,,,,,,,
Medina County,Brunswick,12,OH05201,BRUNSWICK,"34,402",16,288,1,1,5,9
Medina County,Medina,12,OH05202,MEDINA,"26,492",19,436,1,6,5,7
Medina County,Wadsworth,12,OH05203,WADSWORTH,"21,758",18,463,,8,3,7
#N/A,#N/A,2,OH05207,WESTFIELD CENTER,"1,133",,2,,,,
Medina County,Lodi,12,OH05208,LODI,"2,778",1,53,,,,1
Medina County,Seville,6,OH05209,SEVILLE,"2,333",2,3,,1,1,
Medina County,Hinckley,12,OH05212,HINCKLEY TOWNSHIP,"7,777",2,64,,2,,
#N/A,#N/A,12,OH05213,MONTVILLE TOWNSHIP,"11,399",4,87,,,3,1
#N/A,#N/A,12,OH05214,MEDINA TOWNSHIP,"8,706",4,192,,2,1,1
#N/A,#N/A,12,OH05215,BRUNSWICK HILLS TOWNSHIP,"10,078",,88,,,,
#N/A,#N/A,12*,OH08502,RITTMAN,115,,3,,,,
#N/A,#N/A,08*,OH08507,CRESTON,99,,,,,,
#N/A,#N/A,6,OH05200,MEDINA COUNTY SHERIFF,"46,587",1,,,1,,
#N/A,#N/A,12,OH05216,MEDINA COUNTY PARK,,,,,,,
#N/A,#N/A,,,,,,,,,,
#N/A,#N/A,12,OH05301,MIDDLEPORT,"2,506",3,24,,,,3
#N/A,#N/A,9,OH05302,POMEROY,"1,844",1,6,,,,1
#N/A,#N/A,2,OH05305,SYRACUSE,822,,1,,,,
#N/A,#N/A,12,OH05300,MEIGS COUNTY SHERIFF,"17,367",13,275,3,3,1,6
#N/A,#N/A,,,,,,,,,,
Mercer County,Celina,12,OH05401,CELINA,"10,392",11,377,,4,3,4
Mercer County,Coldwater,10,OH05404,COLDWATER,"4,451",2,44,,,,2
Mercer County,Fort Recovery,12,OH05405,FORT RECOVERY,"1,422",,11,,,,
Mercer County,Rockford,9,OH05408,ROCKFORD,"1,117",,7,,,,
Mercer County,Saint Henry,10,OH05409,ST. HENRY,"2,480",,3,,,,
#N/A,#N/A,12,OH05400,MERCER COUNTY SHERIFF,"21,131",9,160,,6,,3
#N/A,#N/A,,,,,,,,,,
Miami County,Piqua,12,OH05502,PIQUA,"20,656",33,"1,044",,18,14,1
Miami County,Tipp City,12,OH05503,TIPP CITY,"9,799",9,193,,4,3,2
Miami County,Troy,12,OH05504,TROY,"25,424",20,797,,4,9,7
Miami County,Covington,12,OH05506,COVINGTON,"2,596",1,34,,,,1
#N/A,#N/A,12*,OH05714,HUBER HEIGHTS,967,1,34,,,1,
#N/A,#N/A,12*,OH05723,UNION,24,,,,,,
#N/A,#N/A,12,OH05500,MIAMI COUNTY SHERIFF,"39,347",18,526,,13,1,4
#N/A,#N/A,,,,,,,,,,
#N/A,#N/A,12,OH05600,MONROE COUNTY SHERIFF,"12,206",3,67,,1,,2
#N/A,#N/A,,,,,,,,,,
#N/A,#N/A,12,OH05702,DAYTON,"141,167","1,240","7,714",31,114,520,575
#N/A,#N/A,12*,OH05701,CENTERVILLE,"23,952",19,435,,6,2,11
#N/A,#N/A,12,OH05703,GERMANTOWN,"5,520",1,42,,,,1
#N/A,#N/A,12*,OH05705,KETTERING,"55,437",53,"1,277",1,24,15,13
#N/A,#N/A,12,OH05707,MIAMI TOWNSHIP,"29,128",38,"1,221",1,13,5,19
#N/A,#N/A,12,OH05708,MIAMISBURG,"20,151",19,676,,4,8,7
#N/A,#N/A,12,OH05709,MORAINE,"6,317",30,720,1,4,13,12
#N/A,#N/A,12,OH05711,CLAYTON,"13,211",5,210,,,5,
#N/A,#N/A,12,OH05712,TROTWOOD,"24,282",110,"1,247",1,11,48,50
#N/A,#N/A,12,OH05713,VANDALIA,"15,181",22,339,,5,11,6
#N/A,#N/A,12*,OH05714,HUBER HEIGHTS,"37,151",59,"1,363",2,10,30,17
#N/A,#N/A,12,OH05715,WEST CARROLLTON,"13,079",29,393,2,7,15,5
#N/A,#N/A,12,OH05716,BROOKVILLE,"5,867",2,101,,,1,1
#N/A,#N/A,12,OH05718,ENGLEWOOD,"13,455",15,446,,2,7,6
#N/A,#N/A,12,OH05720,NEW LEBANON,"3,992",1,149,,,,1
#N/A,#N/A,12,OH05722,RIVERSIDE,"25,115",45,625,1,10,20,14
#N/A,#N/A,12*,OH05723,UNION,"6,369",7,159,,1,2,4
#N/A,#N/A,12,OH05724,BUTLER TOWNSHIP,"7,864",12,406,,3,4,5
#N/A,#N/A,12,OH05725,GERMAN TOWNSHIP,"2,893",,49,,,,
#N/A,#N/A,12,OH05727,JACKSON TOWNSHIP,"3,686",,28,,,,
#N/A,#N/A,12,OH05728,PERRY TOWNSHIP,"3,347",,25,,,,
#N/A,#N/A,9,OH05729,CLAY TOWNSHIP,"4,237",1,23,,,,1
#N/A,#N/A,12,OH05733,SINCLAIR COMMUNITY COLLEGE,,,66,,,,
#N/A,#N/A,05*,OH08308,CARLISLE,210,,,,,,
#N/A,#N/A,12*,OH08314,SPRINGBORO,"1,231",,14,,,,
#N/A,#N/A,12,OH05700,MONTGOMERY COUNT SHERIFF,"62,944",171,"1,449",4,29,74,64
#N/A,#N/A,,,,,,,,,,
#N/A,#N/A,12,OH05801,MCCONNELSVILLE,"1,810",1,20,,,1,
#N/A,#N/A,10,OH05800,MORGAN COUNTY SHERIFF,"13,084",10,42,2,1,,7
#N/A,#N/A,,,,,,,,,,
#N/A,#N/A,11,OH05901,MOUNT GILEAD,"3,658",3,131,,,3,
#N/A,#N/A,12,OH05902,CARDINGTON,"2,046",1,79,,,,1
#N/A,#N/A,1,OH05904,EDISON,440,,1,,,,
#N/A,#N/A,12,OH05900,MORROW COUNTY SHERIFF,"28,904",13,304,,2,3,8
#N/A,#N/A,,,,,,,,,,
Muskingum County,Zanesville,12,OH06001,ZANESVILLE,"25,378",109,"1,614",1,16,38,54
Muskingum County,Dresden,2,OH06003,DRESDEN,"1,515",,,,,,
Muskingum County,Frazeysburg,7,OH06004,FRAZEYSBURG,"1,318",1,4,,1,,
Muskingum County,New Concord,12,OH06006,NEW CONCORD,"2,489",1,4,,,,1
Muskingum County,Roseville,12*,OH06009,ROSEVILLE,752,1,10,,,,1
#N/A,#N/A,9,OH06010,SOUTH ZANESVILLE,"1,975",,17,,,,
#N/A,#N/A,7,OH06013,MUSKINGUM UNIVERSITY,,,7,,,,
#N/A,#N/A,12,OH06000,MUSKINGUM COUNTY SHERIFF,"52,620",51,"1,149",1,30,8,12
#N/A,#N/A,,,,,,,,,,
Ottawa County,Oak Harbor,12,OH06201,OAK HARBOR,"2,750",3,50,,1,,2
Ottawa County,Port Clinton,12,OH06202,PORT CLINTON,"6,046",16,153,,6,2,8
#N/A,#N/A,1,OH06203,CLAY CENTER,277,,1,,,,
Ottawa County,Genoa,6,OH06205,GENOA,"2,332",1,2,,,,1
Ottawa County,Marblehead,9,OH06206,MARBLEHEAD,899,,,,,,
#N/A,#N/A,12,OH06208,ROCKY RIDGE,414,,,,,,
#N/A,#N/A,9,OH06214,CARROLL TOWNSHIP,"2,130",,11,,,,
#N/A,#N/A,12,OH06200,OTTAWA COUNTY SHERIFF,"20,252",14,345,1,13,,
#N/A,#N/A,,,,,,,,,,
Paulding County,Paulding,12,OH06301,PAULDING,"3,521",,16,,,,
Paulding County,Oakwood,7,OH06309,"OAKWOOD, PAULDING COUNTY",594,,1,,,,
#N/A,#N/A,8,OH06310,PAYNE,"1,171",1,5,,1,,
#N/A,#N/A,12,OH06300,PAULDING COUNTY SHERIFF,"13,565",9,223,,,2,7
#N/A,#N/A,,,,,,,,,,
#N/A,#N/A,12*,OH06009,ROSEVILLE,"1,102",1,16,,,,1
Perry County,Crooksville,11,OH06401,CROOKSVILLE,"2,513",,18,,,,
Perry County,New Lexington,12,OH06402,NEW LEXINGTON,"4,749",14,183,,3,2,9
#N/A,#N/A,11,OH06403,NEW STRAITSVILLE,719,,16,,,,
#N/A,#N/A,4,OH06407,JUNCTION CITY,815,1,2,,,,1
Perry County,Somerset,9,OH06411,SOMERSET,"1,471",,33,,,,
Perry County,Thornville,9,OH06412,THORNVILLE,995,,13,,,,
#N/A,#N/A,12,OH06400,PERRY COUNTY SHERIFF,"22,482",2,120,1,1,,
#N/A,#N/A,,,,,,,,,,
Pickaway County,Circleville,12,OH06501,CIRCLEVILLE,"13,491",23,800,,12,4,7
Pickaway County,Ashville,12,OH06502,ASHVILLE,"4,118",1,43,,,1,
Pickaway County,Commercial Point,12,OH06503,COMMERCIAL POINT,"1,587",,18,,,,
#N/A,#N/A,12,OH06508,SOUTH BLOOMFIELD,"1,778",,40,,,,
#N/A,#N/A,12,OH06500,PICKAWAY COUNTY SHERIFF,"35,740",20,882,,7,4,9
#N/A,#N/A,,,,,,,,,,
#N/A,#N/A,12,OH06601,WAVERLY,"4,317",,109,,,,
#N/A,#N/A,12,OH06600,PIKE COUNTY SHERIFF,"24,142",7,294,,3,,4
#N/A,#N/A,,,,,,,,,,
Portage County,Aurora,12,OH06701,AURORA,"15,457",9,158,,1,3,5
Portage County,Kent,12,OH06703,KENT,"30,121",56,661,,5,26,25
Portage County,Windham,12,OH06706,WINDHAM,"2,185",2,35,,1,,1
Portage County,Hiram,3,OH06708,HIRAM,"1,450",,3,,,,
Portage County,Kent,12,OH06711,KENT STATE UNIVERSITY,,1,174,,1,,
#N/A,#N/A,12,OH06712,STREETSBORO,"16,115",10,70,,,2,8
#N/A,#N/A,12,OH06713,BRIMFIELD TOWNSHIP,"10,291",22,281,,13,4,5
#N/A,#N/A,12,OH06714,ROBINSON MEMORIAL HOSPITAL,,1,7,,,1,
#N/A,#N/A,12*,OH07713,TALLMADGE,277,,5,,,,
#N/A,#N/A,12,OH06700,PORTAGE COUNT Y SHERIFF,"72,927",30,"1,459",2,8,6,14
#N/A,#N/A,,,,,,,,,,
Preble County,Camden,6,OH06802,CAMDEN,"2,002",,2,,,,
#N/A,#N/A,2,OH06805,GRATIS,867,,,,,,
#N/A,#N/A,10,OH06807,NEW PARIS,"1,600",3,8,,,1,2
Preble County,West Alexandria,12,OH06809,WEST ALEXANDRIA,"1,355",,20,,,,
#N/A,#N/A,12,OH06800,PREBLE COUNTY SHERIFF,"27,549",17,374,,5,3,9
#N/A,#N/A,,,,,,,,,,
Putnam County,Ottawa,9,OH06901,OTTAWA,"4,404",,4,,,,
Putnam County,Columbus Grove,5,OH06904,COLUMBUS GROVE,"2,086",1,1,,,,1
Putnam County,Leipsic,7,OH06911,LEIPSIC,"2,056",1,13,,,,1
#N/A,#N/A,1,OH06913,OTTOVILLE,973,,1,,,,
Putnam County,Pandora,3,OH06914,PANDORA,"1,143",,3,,,,
#N/A,#N/A,5,OH06916,KALIDA,"1,553",1,2,,,,1
#N/A,#N/A,3,OH06917,BELMORE,142,,1,,,,
#N/A,#N/A,12,OH06900,PUTNAM COUNTY SHERIFF,"20,520",13,192,2,7,1,3
#N/A,#N/A,,,,,,,,,,
Richland County,Mansfield,12,OH07001,MANSFIELD,"46,832",180,"3,192",,44,82,54
#N/A,#N/A,12*,OH01702,CRESTLINE,18,,,,,,
#N/A,#N/A,12,OH07002,ONTARIO,"6,137",7,664,,2,2,3
Richland County,Plymouth,05*,OH07003,PLYMOUTH,930,,4,,,,
Richland County,Shelby,12,OH07004,SHELBY,"9,131",11,366,,6,4,1
Richland County,Bellville,10,OH07005,BELLVILLE,"1,887",,15,,,,
Richland County,Lexington,1,OH07007,LEXINGTON,"4,751",2,7,,2,,
#N/A,#N/A,4,OH07013,OHIO STATE UNIVERSITY: MANSFIELD,,,3,,,,
#N/A,#N/A,12,OH07000,RICHLAND COUNTY SHERIFF,"51,821",39,"1,405",1,8,19,11
#N/A,#N/A,,,,,,,,,,
Ross County,Chillicothe,12,OH07101,CHILLICOTHE,"21,679",73,"1,948",,8,29,36
#N/A,#N/A,12,OH07100,ROSS COUNTY SHERIFF,"55,692",85,"1,598",,19,17,49
#N/A,#N/A,,,,,,,,,,
Sandusky County,Clyde,6,OH07202,CLYDE,"6,281",2,88,,1,,1
Sandusky County,Fremont,12,OH07203,FREMONT,"16,515",42,959,,1,14,27
#N/A,#N/A,11,OH07200,SANDUSKY COUNTY SHERIFF,"27,798",79,253,,2,7,70
#N/A,#N/A,2,OH07210,SANDUSKY COUNTY PARK,,,,,,,
#N/A,#N/A,,,,,,,,,,
#N/A,#N/A,12,OH07301,NEW BOSTON,"2,227",1,158,,,,1
#N/A,#N/A,12,OH07302,PORTSMOUTH,"20,322",89,"1,578",,9,32,48
#N/A,#N/A,12,OH07309,SHAWNEE STATE UNIVERSITY,,,62,,,,
#N/A,#N/A,11,OH07300,SCIOTO COUNTY SHERIFF,"55,743",7,646,,2,3,2
#N/A,#N/A,,,,,,,,,,
#N/A,#N/A,1,OH07400,SENECA COUNTY SHERIFF,"25,026",,,,,,
#N/A,#N/A,,,,,,,,,,
Shelby County,Sidney,12,OH07501,SIDNEY,"20,980",35,"1,243",,8,18,9
Shelby County,Fort Loramie,3,OH07504,FORT LORAMIE,"1,498",,3,,,,
#N/A,#N/A,12,OH07505,JACKSON CENTER,"1,450",,23,,,,
#N/A,#N/A,1,OH07509,RUSSIA,649,,1,,,,
#N/A,#N/A,12,OH07500,SHELBY COUNTY SHERIFF,"24,269",11,249,1,4,,6
#N/A,#N/A,,,,,,,,,,
Stark County,Canton,12,OH07604,CANTON,"72,598",673,"4,253",11,72,357,233
Stark County,Massillon,12,OH07608,MASSILLON,"32,159",73,987,,15,31,27
Stark County,Alliance,12*,OH07601,ALLIANCE,"22,104",83,977,1,14,12,56
Stark County,Brewster,12,OH07602,BREWSTER,"2,163",,13,,,,
Stark County,Canal Fulton,12,OH07603,CANAL FULTON,"5,486",1,80,,,,1
#N/A,#N/A,6,OH07605,EAST CANTON,"1,589",,6,,,,
#N/A,#N/A,12,OH07606,HARTVILLE,"2,944",,51,,,,
Stark County,Louisville,12,OH07607,LOUISVILLE,"9,143",6,184,,,2,4
Stark County,Minerva,03*,OH07609,MINERVA,"1,937",,4,,,,
Stark County,Navarre,12,OH07610,NAVARRE,"1,937",,36,,,,
Stark County,North Canton,12,OH07611,NORTH CANTON,"17,380",12,350,,2,8,2
