County,City,MONTH,ORI,AGENCY NAME,POPULATION,VIOLENT CRIME,PROPERTY CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT
Clinton County,Wilmington,12,OH01404,WILMINGTON,"12,439",27,681,1,6,8,12
#N/A,#N/A,01*,OH03604,LYNCHBURG,2,,,,,,
#N/A,#N/A,9,OH01400,CLINTON COUNTY SHERIFF,"21,546",2,12,,1,,1
#N/A,#N/A,,,,,,,,,,
Columbiana County,Columbiana,12*,OH01501,COLUMBIANA,"5,654",4,99,,,,4
Columbiana County,East Liverpool,5,OH01502,EAST LIVERPOOL,"11,010",12,167,,6,3,3
Columbiana County,East Palestine,12,OH01503,EAST PALESTINE,"4,631",6,117,,2,2,2
Columbiana County,Lisbon,6,OH01505,LISBON,"2,771",5,22,,1,,4
Columbiana County,Salem,12*,OH01506,SALEM,"12,111",6,247,1,,1,4
#N/A,#N/A,12,OH01507,SALINEVILLE,"1,289",2,38,,1,,1
Columbiana County,Wellsville,2,OH01508,WELLSVILLE,"3,468",,,,,,
#N/A,#N/A,02*,OH01513,WASHINGTONVILLE,442,,,,,,
#N/A,#N/A,3,OH01514,LIVERPOOL TOWNSHIP,"3,932",2,5,,,1,1
#N/A,#N/A,12,OH01515,ST. CLAIR TOWNSHIP,"7,838",2,28,,,1,1
#N/A,#N/A,12,OH01519,PERRY TOWNSHIP,"4,487",1,4,,,,1
#N/A,#N/A,03*,OH07609,MINERVA,2,,,,,,
#N/A,#N/A,12,OH01500,COLUMBIANA COUNTY SHERIFF,"42,395",15,52,4,4,,7
#N/A,#N/A,,,,,,,,,,
Coshocton County,West Lafayette,12,OH01606,WEST LAFAYETTE,"2,303",,20,,,,
#N/A,#N/A,12,OH01600,COSHOCTON COUNTY SHERIFF,"34,514",28,641,2,,10,16
#N/A,#N/A,,,,,,,,,,
#N/A,#N/A,7,OH01701,BUCYRUS,"12,007",20,551,,6,9,5
#N/A,#N/A,12*,OH01702,CRESTLINE,"4,469",5,78,,1,2,2
#N/A,#N/A,12,OH01703,GALION,"10,202",22,589,,3,8,11
#N/A,#N/A,12,OH01704,NEW WASHINGTON,938,1,24,,,,1
#N/A,#N/A,12,OH01700,CRAWFORD COUNTY SHERIFF,"15,024",7,321,,1,1,5
#N/A,#N/A,,,,,,,,,,
Cuyahoga County,Cleveland,12,OHCLP00,CLEVELAND,"389,181","5,782","23,267",58,436,"3,496","1,792"
#N/A,#N/A,12,OH018A1,NOTRE DAME COLLEGE,,,16,,,,
Cuyahoga County,Bay Village,3,OH01801,BAY VILLAGE,"15,435",,,,,,
#N/A,#N/A,2,OH01802,BEACHWOOD,"11,812",3,69,,,,3
Cuyahoga County,Bedford,12,OH01803,BEDFORD,"12,858",31,396,,7,11,13
#N/A,#N/A,12,OH01804,BEDFORD HEIGHTS,"10,608",36,284,1,7,6,22
Cuyahoga County,Berea,12,OH01806,BEREA,"18,939",18,248,,3,4,11
#N/A,#N/A,6,OH01807,BRATENAHL,"1,180",2,4,,1,,1
Cuyahoga County,Brecksville,12,OH01808,BRECKSVILLE,"13,499",1,68,,,1,
Cuyahoga County,Broadview Heights,12,OH01809,BROADVIEW HEIGHTS,"19,277",11,13,,,,11
