,County,City,AGENCY NAME,POPULATION,VIOLENT CRIME,PROPERTY CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT,BURGLARY,LARCENY,MTR VEHICLE THEFT,ARSON
530,Putnam County,Leipsic,LEIPSIC,"2,021",1,15,0,0,0,1,3,11,1,0
532,Putnam County,Pandora,PANDORA,"1,146",0,4,0,0,0,0,0,4,0,0
535,Richland County,Mansfield,MANSFIELD,"46,656",209,"2,605",3,58,63,85,679,"1,805",121,26
538,Richland County,Plymouth,PLYMOUTH,914,1,6,0,1,0,0,2,4,0,0
540,Richland County,Bellville,BELLVILLE,"1,863",1,29,0,1,0,0,3,25,1,0
541,Richland County,Lexington,LEXINGTON,"4,715",0,5,0,0,0,0,0,5,0,0
543,Ross County,Chillicothe,CHILLICOTHE,"21,692",94,"1,747",0,8,34,52,350,"1,355",42,2
545,Sandusky County,Bellevue,BELLEVUE,"4,411",0,7,0,0,0,0,1,5,1,0
546,Sandusky County,Clyde,CLYDE,"6,233",3,148,0,0,2,1,39,108,1,1
547,Sandusky County,Fremont,FREMONT,"16,215",32,842,2,0,11,19,155,668,19,0
553,Seneca County,Fostoria,FOSTORIA,"9,183",7,29,0,2,2,3,7,21,1,0
554,Seneca County,Tiffin,TIFFIN,"17,637",13,418,0,5,3,5,76,328,14,0
556,Shelby County,Sidney,SIDNEY,"20,797",45,926,0,16,16,13,206,699,21,3
557,Shelby County,Fort Loramie,FORT LORAMIE,"1,493",0,5,0,0,0,0,0,4,1,0
559,Stark County,Canton,CANTON,"71,652",677,"3,664",8,77,171,421,951,"2,474",239,18
561,Stark County,Alliance,ALLIANCE,"21,973",99,769,0,13,11,75,149,601,19,8
562,Stark County,Brewster,BREWSTER,"2,169",0,20,0,0,0,0,2,17,1,0
563,Stark County,Canal Fulton,CANAL FULTON,"5,489",2,73,0,2,0,0,14,56,3,0
565,Stark County,Hartville,HARTVILLE,"2,974",1,53,0,0,1,0,8,45,0,0
566,Stark County,Louisville,LOUISVILLE,"9,115",14,114,0,2,2,10,24,84,6,0
567,Stark County,Minerva,MINERVA,"1,944",3,24,1,0,0,2,0,23,1,0
568,Stark County,Navarre,NAVARRE,"1,916",0,19,0,0,0,0,4,15,0,0
569,Stark County,North Canton,NORTH CANTON,"17,435",9,271,0,3,2,4,44,219,8,1
570,Stark County,Beach City,BEACH CITY,"1,007",0,0,0,0,0,0,0,0,0,0
574,Stark County,Magnolia,MAGNOLIA,714,1,33,0,0,0,1,10,20,3,0
576,Summit County,Akron,AKRON,"197,257","1,216","8,646",34,212,415,555,"2,483","5,483",680,94
577,Summit County,Barberton,BARBERTON,"26,172",75,799,0,17,10,48,145,614,40,3
578,Summit County,Cuyahoga Falls,CUYAHOGA FALLS,"49,064",67,"1,143",0,24,14,29,116,977,50,5
579,Summit County,Hudson,HUDSON,"22,470",4,92,0,1,0,3,27,62,3,0
580,Summit County,Macedonia,MACEDONIA,"11,794",8,197,0,1,4,3,11,183,3,0
582,Summit County,Northfield,NORTHFIELD,"3,630",2,46,0,0,1,1,4,40,2,0
585,Summit County,Tallmadge,TALLMADGE,"17,213",23,397,0,4,9,10,72,310,15,0
586,Summit County,Twinsburg,TWINSBURG,"18,888",20,131,1,1,5,13,19,109,3,1
